	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_70	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21
1700080N15Rik	0.0	0.31	6.96	0.0	34.59	0.0	0.0	7.45	52.32	83.4	31.12	4.3	33.73	28.08	39.73	54.58	31.16	52.04	39.78	0.0	46.4	12.6	65.71	39.42	102.65	0.0	0.0
6720401G13Rik	0.0	6.37	0.0	2.22	0.0	12.66	0.0	0.0	3.61	0.1	0.0	0.0	0.0	67.05	0.08	60.33	18.21	17.27	5.63	3.82	21.26	2.97	31.44	0.0	1.1	0.0	0.0
A930015D03Rik	0.0	38.8	0.0	0.0	0.0	0.0	0.0	0.0	14.84	0.0	30.0	0.0	0.0	0.0	0.0	66.25	0.0	0.0	0.0	26.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acbd4	0.0	2.95	0.0	0.0	0.0	0.23	0.0	0.0	4.97	0.0	32.9	0.0	0.0	1.61	20.07	59.0	1.94	0.0	0.0	6.74	36.54	0.0	6.62	9.05	0.0	0.0	0.0
Armcx4	0.0	9.1	0.05	0.0	12.13	0.07	0.0	0.0	0.14	1.44	0.0	0.07	0.0	0.1	0.18	18.68	0.13	7.63	4.43	0.0	0.07	0.15	20.63	0.0	0.0	0.06	0.0
Atrnl1	0.0	0.0	7.5	0.0	5.23	0.0	0.3	7.46	11.57	0.0	11.15	25.53	0.49	6.04	0.0	47.22	41.62	46.14	13.74	0.67	3.46	2.43	89.86	25.01	26.53	0.0	0.0
Bcr	0.0	0.0	0.0	0.0	6.99	0.0	3.42	0.65	12.48	0.0	0.41	2.34	0.91	0.19	26.64	35.46	7.46	12.42	0.0	12.04	0.0	0.08	0.15	17.2	4.88	0.0	0.0
Bod1	0.0	0.0	0.18	0.0	9.23	0.68	0.0	0.0	0.25	0.0	22.92	34.19	16.54	0.0	25.51	85.06	24.36	1.42	14.29	11.89	0.0	27.87	16.93	94.79	8.04	0.0	0.0
Brd2	0.22	12.09	0.0	0.26	0.29	0.32	2.63	0.33	14.44	2.1	0.0	13.31	1.64	21.85	0.0	31.09	11.86	3.45	18.39	15.22	22.64	1.32	28.71	24.4	20.92	0.0	6.26
C130079G13Rik	1.02	0.03	0.0	0.0	0.23	0.13	0.0	0.12	0.61	0.0	0.19	0.0	0.46	0.0	0.0	1.88	0.77	0.59	0.26	0.29	0.23	0.58	1.09	0.0	0.28	0.0	0.0
Cacna1d	0.0	0.16	0.0	0.0	0.0	0.11	8.05	0.0	0.35	12.04	0.0	3.32	5.65	0.85	0.0	29.25	0.0	0.0	0.33	0.28	8.99	1.1	19.15	0.22	0.3	0.0	0.0
Ccdc28b	0.0	0.15	0.0	0.0	0.0	0.0	1.87	5.38	0.0	0.0	16.31	0.0	0.0	105.43	165.95	114.23	0.0	46.93	80.04	55.68	3.27	163.31	117.62	46.68	0.0	0.0	0.0
Cds1	0.0	0.0	0.0	0.0	45.84	0.0	74.62	50.17	66.65	71.07	50.76	21.16	49.56	0.53	4.32	80.31	55.33	136.04	94.74	44.03	58.31	43.08	95.62	149.85	59.69	0.0	0.0
Cox4nb	0.3	0.0	0.1	0.17	11.4	0.08	22.94	19.9	0.14	0.11	0.11	0.0	25.7	31.22	0.0	35.48	0.5	22.07	26.12	0.25	0.2	7.77	43.9	8.98	0.2	0.53	0.0
Cpeb1	0.0	0.04	42.54	0.0	1.02	0.0	0.08	0.0	0.0	0.49	0.0	29.37	33.75	0.4	18.86	82.29	45.57	46.01	0.0	14.61	5.47	0.0	63.19	0.0	0.06	0.11	0.0
