	Calb2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_34	Cux2_tdTpositive_cell_68	Cux2_tdTpositive_cell_75	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_76	Gad2_tdTpositive_cell_78	Nos1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_8	Ntsr1_tdTpositive_cell_63	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_51	Ntsr1_tdTnegative_cell_52	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_14	Rbp4_tdTpositive_cell_67	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_90	Rbp4_tdTpositive_cell_113	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_117	Rbp4_tdTpositive_cell_143	Rbp4_tdTpositive_cell_146	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_164	Rbp4_tdTpositive_cell_166	Rbp4_tdTpositive_cell_168	Rorb_tdTpositive_cell_10	Rorb_tdTpositive_cell_23	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_52	Scnn1a.Tg2_tdTpositive_cell_19	Scnn1a.Tg3_tdTpositive_cell_1	Scnn1a.Tg3_tdTpositive_cell_63	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTpositive_cell_83	Slc17a6_tdTpositive_cell_20	Vip_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_40	CAV_VISp_Contra_tdTpos_cell_4
1110018G07Rik	0.08	135.91	6.29	0.08	71.11	0.0	0.0	0.0	140.34	1.03	0.0	173.92	4.9	2.82	106.84	5.13	0.0	70.57	0.0	32.46	85.9	105.8	28.91	0.16	65.55	145.38	27.66	77.11	1.84	140.83	160.04	81.65	0.06	52.02	17.2	85.46	111.56	0.0	11.67	21.98	89.89	26.31	10.83	4.69	139.89	0.09	73.32	10.53	47.69	39.11	14.16
2900097C17Rik	3410.2	2287.59	3132.95	2561.91	2587.94	0.0	0.0	1621.9	5042.0	3580.2	5798.15	2456.24	2632.08	3911.78	4378.97	2985.69	18.42	4056.35	0.37	4531.62	3256.2	4413.74	2101.33	2325.41	2929.23	2673.59	3131.18	2210.96	4549.57	2730.69	2908.9	3681.3	2600.2	4293.98	2771.97	2104.89	2400.17	2563.27	3661.59	2050.51	2502.18	2323.9	2641.97	2550.26	2451.28	2687.29	2487.97	1777.44	4337.71	2550.64	2778.67
4930455F23Rik	7.12	0.0	161.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61	0.0	7.03	0.0	0.0	102.51	0.0	113.48	34.71	333.75	0.0	0.0	13.77	52.47	1.42	46.19	0.0	87.67	54.86	45.28	117.1	0.53	0.0	0.0	107.06	19.93	0.18	70.72	143.8	0.0	85.71	69.97	4.41	230.72	144.51	0.0	63.72	112.93	2.99
4930539N22Rik	0.0	15.92	12.82	0.0	0.0	0.0	0.0	0.0	0.0	10.89	0.0	0.0	21.77	15.65	0.0	14.78	0.0	94.0	0.0	0.0	0.0	0.0	13.28	103.46	5.85	22.07	27.27	42.71	0.0	0.0	0.0	0.0	25.25	0.0	16.33	13.1	15.54	0.0	13.01	3.33	4.8	15.07	10.33	119.73	7.27	100.14	0.65	0.0	8.03	23.14	5.88
Actl6b	0.0	86.56	76.98	149.23	3.04	0.0	0.0	0.0	0.0	0.0	8.79	7.77	50.71	57.11	25.2	242.17	0.0	35.41	0.0	82.83	39.41	3.84	34.39	111.1	93.1	17.26	47.55	85.48	2.22	2.6	39.82	56.18	65.35	52.15	37.36	42.76	80.1	31.22	0.0	105.78	1.35	6.04	65.32	3.81	11.36	39.39	15.19	0.8	22.15	2.94	77.8
Adora1	0.0	38.64	4.02	123.34	45.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	120.66	209.78	267.75	0.0	6.58	0.0	107.24	77.92	89.85	89.04	14.83	149.74	43.85	10.09	7.0	0.0	17.54	189.9	133.52	157.01	184.63	161.15	6.21	62.67	33.74	37.19	34.63	16.79	84.72	5.72	36.38	67.98	110.63	89.16	0.0	75.48	36.4	1.63
Agap2	0.78	2.32	3.37	6.42	6.15	0.0	0.0	0.0	2.42	0.5	0.17	1.04	5.52	5.14	7.49	6.72	0.0	1.51	0.0	2.81	1.87	0.83	1.1	2.35	11.65	2.88	2.89	3.57	3.26	11.36	4.08	4.92	3.43	3.34	4.33	1.23	2.66	10.33	4.93	3.53	3.73	9.11	3.06	2.36	9.24	1.46	2.87	6.31	3.88	2.07	4.57
Akap11	0.14	55.74	41.94	8.12	22.09	0.0	0.19	0.24	48.54	17.19	11.57	276.15	27.67	0.13	1.49	0.12	0.0	19.29	0.35	1.52	27.68	49.92	22.63	6.22	3.63	37.8	50.8	18.22	45.25	38.14	58.41	22.1	25.36	10.51	39.35	21.38	20.99	59.83	51.56	35.36	11.81	64.18	53.56	75.71	33.67	0.0	23.77	54.14	17.66	68.27	34.21
Arhgap20	0.07	3.8	0.86	63.14	0.21	0.0	0.0	0.0	6.79	0.0	0.0	0.0	1.92	0.13	60.44	3.79	0.0	18.32	0.0	73.14	5.31	0.07	0.05	97.29	23.14	70.37	24.33	0.09	0.09	0.0	1.56	57.0	7.42	23.26	4.92	0.0	0.89	101.45	1.85	19.47	5.21	4.79	3.02	58.26	60.79	18.05	1.48	0.0	11.76	0.0	37.56
Arhgap26	0.0	62.13	15.17	150.97	172.87	0.0	0.21	94.06	0.0	18.07	127.83	12.19	175.89	141.25	117.17	204.71	91.5	72.78	0.08	155.22	216.68	133.23	51.11	91.35	81.71	63.98	193.72	167.94	129.93	186.16	160.9	171.57	26.05	111.27	126.22	90.95	61.59	43.48	176.89	34.08	174.59	410.21	100.33	246.36	181.47	224.99	100.53	0.46	212.92	146.11	75.77
