	Chrna2_tdTpositive_cell_54	Pvalb_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610009L18Rik	0.0	0.0	0.0	5.69	10.08	8.12
1700047I17Rik2	1.48	6.7	9.03	17.56	16.4	17.92
1810024B03Rik	0.0	0.0	0.0	0.94	0.45	0.41
4930509J09Rik	0.0	0.0	0.0	0.13	0.0	0.14
5830473C10Rik	0.0	0.0	0.0	0.18	0.17	0.09
Acta2	0.0	0.0	0.0	9.56	12.04	11.19
Agmo	0.0	0.0	0.0	6.02	5.76	4.32
Arvcf	0.0	0.0	0.0	17.34	18.33	18.61
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atp9a	10.85	9.78	39.45	263.17	276.86	268.06
BC013712	0.0	0.0	0.0	0.93	0.99	1.4
Bspry	0.0	0.0	0.0	0.68	0.7	0.71
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccl27b	0.54	8.29	10.04	30.63	28.29	22.96
Cdk5rap2	0.0	0.0	0.0	6.07	5.22	7.81
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cmtm5	0.0	0.0	0.0	86.04	85.98	81.99
Cmya5	0.0	0.0	0.0	2.38	2.25	2.65
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dctn1	0.36	41.61	56.25	236.1	267.0	252.09
Ddx54	0.0	0.39	1.46	28.29	33.01	31.66
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fam177a	1.48	6.7	9.03	17.56	16.4	17.92
Fbxo32	0.37	0.93	0.84	11.67	10.29	12.21
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxk1	0.03	0.1	0.0	23.74	24.68	24.65
Gli3	0.0	0.0	0.0	3.04	3.58	3.93
Gls	0.03	33.32	10.21	225.87	209.02	220.21
Gm10471	0.0	0.0	0.0	0.97	0.59	0.59
Gm13306	0.54	8.29	10.04	30.63	28.29	22.96
Gm16157	0.0	0.0	0.0	0.53	0.6	0.5
Gm19897	0.0	0.0	0.0	1.71	1.77	1.79
Gm2506	0.54	8.29	10.04	30.63	28.29	22.96
Gm4934	0.0	0.0	0.0	0.09	0.06	0.0
Gm4952	0.0	0.0	0.0	0.07	0.06	0.2
H2-DMb2	0.0	0.0	0.0	1.25	0.65	1.41
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hirip3	0.0	0.0	0.0	21.72	21.68	21.07
Hook3	0.0	17.53	13.72	24.13	17.99	24.34
Hsd3b6	0.0	0.0	0.0	0.47	0.39	0.37
Hsd3b7	0.0	0.0	0.0	9.05	11.19	9.85
Kcnab2	0.2	87.19	78.89	267.74	284.22	279.19
Kcnv1	0.0	0.0	0.0	63.37	52.87	60.46
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif23	0.0	0.0	0.0	1.69	1.16	1.16
Krt73	0.0	0.0	0.0	1.84	2.04	1.61
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lingo3	0.0	0.0	0.0	33.56	40.24	33.17
Lrrc3	1.1	2.38	1.41	9.65	8.87	9.62
Lrrc36	0.0	0.0	0.0	0.81	0.63	0.67
Mcm6	0.0	0.0	0.0	7.41	6.6	6.81
Mib2	0.0	0.0	1.22	65.64	74.95	70.23
Mms19	0.0	9.36	0.0	26.59	26.33	25.8
Mpnd	8.64	2.76	0.0	75.09	82.06	72.83
Myh3	0.0	0.0	0.0	1.56	1.47	1.17
Nav2	2.62	0.34	2.89	19.69	18.55	23.2
Ndst4	0.0	0.0	0.0	7.38	8.38	9.83
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Pcx	0.0	0.0	0.5	45.6	46.82	43.87
Phf21b	0.0	0.0	0.0	8.47	9.0	8.22
Pofut1	0.0	3.69	0.18	12.9	12.57	13.66
Ppapdc3	0.0	0.0	0.0	26.75	28.17	27.89
