	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_53	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Sst_tdTpositive_cell_40	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_29
4930481A15Rik	2.43	0.91	2.11	5.29	2.0	4.55	7.62	0.0	5.12	12.13	7.8	1.12	1.86	0.0	2.9	2.12
4933433P14Rik	0.0	0.0	0.0	371.61	0.06	108.25	24.31	0.0	147.25	50.58	176.32	59.22	167.38	121.29	102.26	0.0
Adrbk2	96.74	0.29	0.27	1.47	0.05	69.66	1.2	0.06	0.35	69.39	20.63	28.72	0.15	0.19	19.01	0.18
Ankrd50	0.92	0.0	0.0	79.27	0.1	13.22	41.84	0.0	0.0	44.13	38.97	1.22	0.0	69.89	2.43	9.21
Atp5e	323.13	407.98	336.33	704.07	271.14	169.11	678.38	0.0	426.17	450.95	541.95	630.38	287.45	338.06	401.55	322.3
Atp5f1	1529.02	1193.74	649.29	2012.79	923.45	773.87	1561.41	1274.62	2471.92	2257.47	2170.35	925.82	1218.41	1007.65	778.64	641.53
Atp5g1	949.89	1209.24	883.82	1169.64	395.34	1133.24	2047.1	110.61	1964.4	1584.22	1846.09	977.96	1374.07	1091.77	926.51	582.52
Atp5k	790.69	568.19	476.21	618.72	295.58	529.59	1146.01	356.46	783.72	899.96	732.52	256.08	761.49	528.42	665.17	622.22
Atp5l	1221.87	943.25	1025.28	1180.46	903.59	1037.61	1148.84	771.04	1628.55	1240.86	1167.58	725.89	1148.84	1224.03	782.67	1012.68
Cd164	310.01	0.0	108.79	45.67	77.72	0.0	181.73	0.0	0.0	144.93	369.79	0.0	11.0	0.0	0.0	0.0
Cdh12	94.82	0.0	0.0	0.0	0.49	0.0	8.26	0.07	0.13	0.09	84.29	0.06	14.0	161.39	0.0	0.0
Cenpa	76.04	0.0	0.0	302.25	99.94	78.34	127.92	0.0	209.09	66.19	69.24	0.0	0.0	0.0	205.38	0.0
Cox7a2	926.23	1043.94	772.31	626.67	499.19	434.34	1172.71	0.0	869.24	872.8	1226.68	827.67	424.36	295.12	647.11	484.92
Cox7b	523.48	379.91	591.58	354.4	280.21	502.54	995.53	82.45	604.8	926.14	878.84	409.68	275.45	523.52	555.42	378.31
