	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_33	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_46	Slc17a6_tdTpositive_cell_18
1700025K23Rik	0.0	49.24	23.14	0.0	0.0	103.3	154.29	123.58	0.0	0.0	111.74	0.0	0.0	58.98	10.51	27.14	100.83	243.4	286.98	181.05	110.34	0.0	0.0
1810022K09Rik	851.92	171.17	139.84	0.0	295.65	476.52	590.6	139.01	124.12	174.47	270.73	31.42	202.46	362.39	138.68	160.12	0.5	369.91	355.81	80.86	147.73	122.94	381.58
4930563M20Rik	0.0	5.5	16.04	0.0	3.07	6.83	20.89	3.53	13.76	4.29	4.94	9.79	5.38	9.03	8.47	0.82	10.29	12.86	1.92	0.0	3.16	3.47	6.26
4933433P14Rik	0.0	81.38	235.02	0.0	10.12	8.31	279.93	137.29	0.28	86.76	0.0	239.84	86.76	45.67	106.31	183.83	194.32	200.72	72.54	218.13	121.42	0.0	45.42
9530091C08Rik	5.89	6.17	8.01	1.41	57.28	84.57	114.68	56.54	3.92	3.97	60.6	12.24	3.67	4.58	24.92	17.35	171.64	72.28	9.5	0.76	26.51	9.48	2.32
AI593442	0.0	2321.96	3479.06	0.0	1368.65	2417.7	1924.54	2303.69	3270.62	1878.22	1854.46	1048.59	1627.34	804.98	1554.95	1262.52	941.49	2607.84	1507.73	1346.29	746.58	602.91	1086.51
AW146154	0.0	4.65	247.01	0.0	35.96	3.08	130.37	16.5	0.77	3.37	7.58	6.64	1.93	4.27	1.78	1.34	96.59	6.58	0.87	0.98	1.17	9.41	10.05
Acaa1a	0.0	2.16	27.86	0.0	1.53	0.0	81.0	15.43	2.05	0.0	0.0	1.05	23.32	45.75	3.18	0.0	44.02	93.16	0.95	0.19	0.0	0.81	50.63
Arl8b	0.0	495.28	979.8	0.0	772.95	868.72	738.67	490.21	433.88	278.88	273.66	384.14	381.84	533.05	471.1	1154.8	317.63	960.61	510.38	55.23	315.77	297.74	534.5
As3mt	0.0	0.05	154.81	0.0	0.0	0.0	137.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.47	0.0	0.1	197.83	0.0	0.0	0.0	0.0	0.0
Bace1	0.0	50.51	0.64	0.0	19.53	113.98	101.01	0.05	136.25	90.4	4.48	0.22	161.52	73.09	42.24	54.83	44.7	45.65	0.0	120.04	83.09	0.0	111.41
Bcat1	0.0	0.01	0.01	0.0	0.64	50.42	50.65	1.85	51.48	0.03	0.0	39.88	0.27	21.25	70.0	31.55	0.14	41.81	1.67	4.64	0.0	42.98	0.0
Bhlhe41	0.0	0.0	0.0	0.0	0.0	0.0	16.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.21	0.0	0.0	0.0	0.0	0.0
C130071C03Rik	0.0	0.21	17.77	0.0	3.37	136.31	207.09	6.82	0.0	0.0	0.0	0.0	0.0	64.09	17.36	9.27	1.17	17.99	0.0	0.0	10.13	0.0	0.0
Cd200r2	1.91	9.02	14.09	0.0	12.85	20.14	20.89	19.09	13.78	8.62	11.28	11.14	6.37	13.45	9.66	9.8	16.45	14.3	8.48	0.0	14.71	8.45	11.6
Cd74	0.0	0.02	0.0	0.0	0.16	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	80.3	25.94	0.0	0.0	0.0
Cdkl2	0.0	0.02	132.15	0.0	0.05	0.05	98.83	29.2	2.38	0.0	0.0	0.0	0.0	4.14	11.81	4.33	84.86	33.33	0.0	0.0	0.0	0.0	0.0
Cmc1	0.0	0.0	57.07	0.0	6.21	146.09	0.0	0.0	0.0	0.0	28.67	0.0	0.0	0.83	54.03	41.46	126.11	119.22	0.0	0.0	0.0	0.0	0.0
Copg	0.0	335.39	637.61	0.0	422.24	128.25	868.85	155.09	180.39	142.17	183.5	225.44	136.06	357.26	217.62	133.19	204.63	262.25	119.93	53.06	189.85	0.98	120.72
Cops3	0.0	20.5	248.13	0.0	274.06	0.2	729.92	231.59	249.02	472.25	540.26	170.03	174.5	589.73	212.93	164.63	181.92	692.33	166.9	290.3	274.51	149.4	0.43
Cops4	185.24	41.25	95.81	0.0	453.54	334.97	351.86	157.31	0.0	42.64	423.32	290.98	281.48	281.02	467.37	95.41	386.7	417.1	143.44	194.32	0.0	0.0	364.12
Dld	0.0	399.71	174.66	0.0	324.94	318.29	506.95	357.5	553.53	208.96	278.57	3.69	202.22	256.07	399.19	238.31	391.48	510.22	293.66	494.19	3.58	81.18	459.01
Dnajc16	0.09	0.07	1.62	0.0	0.05	3.11	65.35	0.05	0.0	0.0	0.0	0.0	0.0	32.11	0.03	9.03	0.31	76.8	0.08	0.0	4.86	12.13	0.0
Dvl3	0.0	59.7	57.0	0.0	49.72	62.39	148.98	3.34	23.0	108.95	41.25	42.11	0.0	75.66	68.25	19.09	57.55	40.51	58.27	55.75	110.11	72.59	45.51
Eef2k	0.48	22.2	31.57	0.0	0.26	16.42	111.42	0.55	0.19	0.21	0.61	0.14	0.07	0.49	2.94	0.21	0.97	0.63	0.03	0.11	0.93	0.23	0.1
Eif3i	0.0	228.93	548.82	0.0	312.98	382.29	299.65	887.86	471.41	458.41	161.85	371.56	334.04	493.08	413.34	252.06	141.5	606.44	289.4	593.59	306.1	188.89	775.41
Emb	0.0	16.16	272.35	0.0	11.63	59.99	283.63	22.81	0.0	0.0	0.0	230.69	28.8	27.6	0.0	0.0	67.12	27.63	0.0	0.0	48.45	0.0	0.0
Ephb2	0.0	1.49	1.19	0.0	0.76	1.28	4.79	2.09	0.82	1.62	0.51	0.67	0.25	1.13	0.56	4.77	3.73	2.82	0.6	0.47	0.82	0.63	0.14
Ercc3	0.0	0.04	0.0	0.0	0.07	0.07	222.13	0.07	0.0	127.99	1.1	0.0	0.0	0.0	0.12	283.65	0.07	0.08	10.05	0.0	0.0	123.51	0.0
Eri1	0.0	0.1	0.05	0.0	0.07	0.22	75.54	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	7.68	0.0	26.96	0.14	0.0	0.0	0.13	62.91
Fiz1	0.0	0.0	41.44	0.0	0.0	0.0	83.48	0.0	2.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm15987	0.0	1.07	0.0	0.0	1.21	0.0	4.78	0.0	0.0	0.42	0.0	0.44	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0
Gm6634	1.74	10.19	8.61	0.0	4.92	13.09	15.57	5.07	8.57	4.83	5.79	2.82	1.91	4.29	6.49	7.81	27.92	15.88	4.88	0.0	5.04	4.11	6.35
Gmfb	0.0	66.42	414.22	0.0	0.94	203.42	270.88	471.61	255.97	186.46	14.4	21.9	195.84	203.02	86.09	0.03	282.95	283.2	63.04	0.0	24.7	192.67	64.57
Jrkl	0.0	0.0	157.3	0.0	145.07	0.06	158.15	0.07	0.0	0.44	83.03	0.0	0.0	0.0	0.0	0.0	0.06	102.86	0.0	0.0	12.69	0.0	0.0
Kdm5b	0.0	2.76	11.38	1.18	49.72	74.97	10.84	0.28	0.37	0.0	30.4	22.9	3.47	23.35	13.42	14.38	79.2	68.65	27.71	23.23	0.5	15.83	34.28
Kif3b	0.0	17.32	55.36	0.0	12.0	1.92	49.44	7.32	10.35	0.0	0.0	3.94	6.21	29.65	0.04	0.58	20.43	47.61	0.12	0.0	1.54	0.0	0.0
Mdga2	0.1	3.58	66.13	0.75	0.42	0.19	65.36	0.42	0.28	13.91	0.93	22.31	2.54	14.39	5.64	0.11	0.83	3.27	0.3	0.07	0.38	0.21	0.5
Mif4gd	0.0	0.0	0.0	0.0	0.0	0.15	113.58	0.0	0.0	0.0	0.0	0.0	0.33	0.99	0.0	0.0	0.14	116.79	0.0	0.0	0.0	0.0	0.0
Mtap9	0.0	87.87	208.43	1.19	43.09	106.58	151.64	5.58	122.72	28.85	1.72	72.67	35.55	57.72	61.05	51.07	48.59	149.78	107.72	0.0	38.69	33.12	193.89
Necab3	0.0	0.05	51.09	0.0	0.21	159.51	165.58	0.78	197.61	0.0	0.0	0.51	114.32	240.17	3.08	35.99	4.78	395.18	0.0	0.0	0.0	0.0	178.29
Nlrc3	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nup153	0.0	38.7	0.07	0.0	0.03	0.0	80.69	0.33	0.0	0.5	0.24	0.08	0.0	39.16	0.0	22.25	0.72	0.75	0.0	0.0	0.0	7.61	8.75
Odz3	0.0	0.03	0.0	0.0	0.46	21.71	3.52	4.08	1.24	0.04	0.0	0.33	0.08	13.91	0.99	6.44	78.57	58.46	5.53	6.46	5.32	35.71	2.82
Orc4	0.0	161.05	225.45	0.0	197.81	234.64	510.2	0.53	64.14	67.3	1.64	59.36	59.03	24.66	46.48	0.36	141.36	61.29	60.38	89.47	1.9	66.23	58.89
Panx1	0.0	0.0	0.0	0.0	82.3	0.0	120.98	0.0	0.0	120.73	0.0	0.0	0.0	0.0	0.1	0.0	11.19	0.0	0.0	0.0	0.0	0.0	0.0
Pigm	0.05	3.62	2.33	0.0	2.41	2.9	111.69	8.13	0.88	0.24	3.53	0.49	1.0	3.37	3.68	13.3	40.36	12.48	3.56	0.05	1.46	1.54	0.17
Plaa	0.0	0.03	45.12	0.0	59.99	0.0	70.31	64.78	1.33	0.0	0.0	2.32	0.0	6.14	14.13	0.64	17.17	60.62	0.0	0.0	0.0	0.0	0.0
Plk1s1	0.0	1.01	0.0	0.0	0.0	33.57	116.89	0.0	0.0	71.62	0.0	0.0	0.0	0.0	3.52	0.0	0.0	148.04	0.0	0.0	0.0	0.0	0.0
Psg28	5.0	21.63	16.17	0.0	23.32	19.78	22.99	13.99	12.87	13.05	6.12	11.93	7.84	12.89	19.34	16.06	37.54	30.11	12.53	1.01	18.11	13.69	8.29
Rabepk	0.0	145.05	363.11	0.0	0.42	0.54	312.14	2.35	293.65	335.24	0.0	97.86	30.6	64.13	0.12	138.86	174.37	95.43	0.58	0.0	42.54	1.08	12.01
Rcbtb2	0.0	0.0	0.0	0.0	0.06	0.0	107.21	0.64	0.0	42.4	0.0	0.0	0.0	0.0	0.0	0.0	0.15	102.1	0.0	0.0	0.23	0.0	0.0
Rdh1	12.44	30.49	55.34	0.0	83.87	54.69	65.1	44.13	40.13	37.8	34.19	29.26	18.62	45.22	42.0	52.25	63.93	60.67	38.43	3.23	33.13	37.88	31.82
Rfc2	0.0	49.35	52.02	0.0	1.63	30.42	157.26	3.59	0.0	0.0	38.39	0.0	0.0	38.81	12.09	110.6	27.44	120.2	0.0	3.18	2.14	0.0	151.41
Rgs4	562.03	3554.62	4793.66	2.55	5873.8	4839.36	5539.67	4276.53	4053.59	4595.67	5390.4	4377.15	3267.12	3698.23	5219.32	5037.98	5187.94	4921.82	6274.8	5381.62	4444.37	3589.98	6781.39
Rps6ka5	0.0	0.04	90.08	0.0	0.0	1.99	93.9	0.0	4.54	0.0	0.0	0.0	0.1	0.0	0.0	0.0	37.07	28.8	0.0	0.0	0.0	0.0	0.0
Snx2	0.0	442.19	165.37	0.0	572.44	102.76	555.82	130.99	443.01	316.32	231.48	92.62	23.05	133.89	135.17	225.72	294.19	236.69	27.88	77.69	280.9	101.48	122.09
Stradb	0.0	0.0	0.31	0.0	173.7	142.47	102.42	0.09	167.07	0.0	0.0	0.2	114.7	72.18	149.16	58.5	0.3	182.82	72.52	0.15	0.0	0.0	0.0
Th1l	0.0	0.04	83.74	0.0	224.07	213.38	165.24	102.54	126.52	0.0	0.0	0.0	0.0	4.84	277.38	46.94	89.32	242.15	0.0	0.0	22.51	0.0	0.0
Tmem181a	0.0	17.59	48.75	0.0	114.73	93.25	0.12	44.4	54.68	6.22	2.51	44.0	0.39	19.81	1.7	41.21	5.17	179.82	0.0	0.0	68.49	53.74	24.71
Tshz3	0.0	8.76	112.54	0.0	6.74	67.76	101.9	4.62	0.08	6.58	0.39	21.55	7.0	33.67	37.62	60.79	101.06	65.87	0.59	8.3	8.38	1.9	1.06
Wdr33	0.0	25.34	30.77	497.36	185.65	139.74	517.28	159.66	170.09	106.12	151.06	114.83	157.18	129.86	265.47	34.66	386.61	428.22	285.97	0.0	149.02	1.13	2.99
Zfp738	0.0	0.03	0.05	0.0	0.0	0.0	113.55	0.05	45.62	0.0	0.26	0.0	0.0	0.0	0.0	0.0	59.63	133.71	0.07	0.97	0.0	41.17	86.5
Zfp781	10.57	11.4	12.12	0.0	14.33	15.75	277.16	16.24	9.11	10.07	10.62	228.83	5.42	15.99	10.58	140.18	25.53	188.06	13.07	0.33	11.88	20.86	10.89
c8_tRNA-Ala-GCG	0.0	0.0	15.91	0.0	0.0	0.0	22.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.91	6.89	0.0	0.0	0.0	0.0	0.0	0.0
