	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500015L24Rik	0.0	0.0	0.79	1.48	0.95
1600015I10Rik	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
2210409D07Rik	0.0	0.0	0.0	0.0	0.48
2700081L22Rik	0.0	0.0	1.16	0.78	0.68
4930528F23Rik	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.07	0.0	0.07
9230102K24Rik	0.0	0.0	0.15	0.14	0.16
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
Adamdec1	0.0	0.0	0.04	0.0	0.04
Adamts4	0.0	0.0	15.98	17.45	19.48
Akr1c12	0.0	0.0	0.08	0.0	0.08
Amac1	0.0	0.0	0.6	0.25	0.41
Apob	0.0	0.0	0.01	0.0	0.01
Atp10b	1.19	0.1	1.55	1.31	1.86
Atp8b3	0.0	0.0	0.04	0.04	0.09
B3gnt9-ps	0.0	0.0	3.04	4.29	3.86
C8b	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.1	0.09	0.1
Ccr3	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.07	0.0	0.07
Cyp3a57	0.0	0.0	0.06	0.0	0.06
D6Mm5e	0.0	0.0	0.1	0.09	0.1
Ddc	0.0	0.0	7.47	7.61	6.81
Ddi2	0.0	0.0	27.95	26.68	27.82
Dmrta1	0.0	0.0	0.13	0.11	0.33
Dnajb2	22.45	0.0	86.09	89.56	87.84
Dock6	0.0	0.04	10.18	9.84	10.89
Dyrk4	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.1	0.09	0.1
Eme1	0.0	0.0	0.05	0.44	0.48
Fam57a	0.0	0.0	15.81	16.02	16.2
Fasn	0.0	0.0	77.8	80.97	82.98
Fcna	0.0	0.0	0.61	0.5	0.55
Fmo4	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.03	0.03	0.06
Gm12633	0.0	0.0	0.06	0.0	0.06
Gpr15	0.0	0.0	0.23	0.22	0.32
Gzma	0.0	0.0	0.12	0.0	0.12
Hhla1	0.0	0.0	0.04	0.04	0.09
Hist1h2be	0.0	0.0	2.16	2.9	2.39
Hn1l	0.0	0.0	3.7	5.25	4.34
Hoxc8	0.0	0.0	0.04	0.04	0.09
Inhbc	0.0	0.0	0.05	0.05	0.1
Kctd19	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.05	0.05	0.05
Lctl	0.0	0.0	0.2	0.19	0.11
Lect1	0.0	0.0	1.18	1.7	1.15
Lect2	0.0	0.0	0.12	0.0	0.12
Lpar3	0.0	0.0	0.36	0.26	0.46
Lss	0.31	0.0	18.59	20.62	23.66
Ltf	0.0	0.0	0.04	0.0	0.04
Ly6g6f	0.0	0.0	0.75	0.53	0.39
Mast4	0.04	0.0	17.08	15.93	18.12
Mfsd7a	0.0	0.0	0.47	0.37	0.61
Msh4	0.0	0.0	0.03	0.03	0.06
Myog	0.0	0.0	0.07	0.0	0.07
Ndst1	0.0	0.0	47.6	45.85	47.01
Nipal4	0.63	0.25	4.22	4.01	4.3
Nkain2	0.0	0.0	43.75	43.56	41.28
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nox4	0.0	0.0	0.06	0.0	0.06
Nron	0.0	0.0	0.03	0.03	0.06
Obox5	0.0	0.0	0.15	0.14	0.16
Olfr1419	0.0	0.0	0.1	0.09	0.1
Olfr15	0.0	0.0	0.11	0.0	0.11
Ppp1r10	0.0	5.83	31.54	31.11	33.43
Prps1l1	0.0	0.0	0.06	0.0	0.06
Raet1d	0.0	0.0	0.16	0.0	0.16
Rbm12b	0.0	0.0	14.18	12.33	13.27
Rnase13	0.0	0.0	0.17	0.0	0.17
Slc26a1	0.0	0.0	1.28	1.52	2.05
Slfnl1	0.0	0.0	0.06	0.0	0.06
Smok3a	0.0	0.0	0.11	0.03	0.11
Sp7	0.0	0.0	1.99	2.77	2.24
Sspo	0.0	0.0	0.69	0.5	0.7
Tas1r2	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.12	0.0	0.12
Tmem81	0.0	0.0	4.34	4.87	5.42
Tnfrsf26	0.28	0.08	0.9	0.53	1.09
Ttc39d	0.0	0.0	0.05	0.05	0.05
Usp26	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Vmn1r45	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.04	0.04	0.09
Vmo1	0.0	0.0	0.15	0.14	0.16
Zp3r	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	455.05	25813.35	24091.17	24561.45
mt_AK166684	0.0	6.63	18796.57	17507.83	18655.33
