	Gad2_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_66	Rbp4_tdTpositive_cell_123	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.22
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.0	0.19	0.19
1700023A16Rik	0.0	0.0	0.0	0.16	0.16
1700034F02Rik	0.0	0.0	0.0	0.14	0.14
1700061J05Rik	0.0	0.0	0.0	0.11	0.11
2310043L19Rik	0.0	0.0	0.0	0.15	0.15
2310065F04Rik	0.0	0.0	0.0	0.07	0.07
4833403I15Rik	0.0	0.0	0.0	0.03	0.03
4930403N07Rik	0.0	0.0	0.0	0.04	0.04
4930447K03Rik	0.0	0.0	0.0	0.2	0.2
4930528F23Rik	0.0	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4931423N10Rik	0.0	0.0	0.0	0.22	0.22
5830403M04Rik	0.0	0.0	0.0	0.16	0.16
5830411N06Rik	0.0	0.0	0.0	0.07	0.07
5830432E09Rik	0.0	0.0	0.0	0.28	0.28
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
A4gnt	0.0	0.0	0.0	0.07	0.07
Abca13	0.0	0.0	0.0	0.03	0.03
Abhd16b	0.0	0.0	0.0	0.06	0.06
Adamdec1	0.0	0.0	0.0	0.04	0.04
Adamts12	0.0	0.0	0.0	0.19	0.19
Akr1c12	0.0	0.0	0.0	0.08	0.08
Angpt1	0.0	0.0	0.0	4.05	4.05
Ankrd1	0.0	0.0	0.0	0.17	0.17
Ano7	0.0	0.0	0.0	0.09	0.09
Apob	0.0	0.0	0.0	0.01	0.01
Atp8b3	0.0	0.0	0.0	0.04	0.09
Awat2	0.0	0.0	0.0	0.13	0.13
BC051537	0.0	0.0	0.0	0.24	0.24
Barhl1	0.0	0.0	0.0	0.03	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.0	0.04	0.04
Bnc2	0.0	0.0	0.0	0.27	0.27
Bsnd	0.0	0.0	0.0	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.1
Capn13	0.0	0.0	0.0	0.04	0.04
Ccdc154	0.0	0.0	0.0	0.04	0.04
Ccdc63	0.0	0.0	0.0	0.09	0.09
Ccl2	0.0	0.0	0.0	0.13	0.13
Ccr3	0.0	0.0	0.0	0.03	0.03
Cd27	0.0	0.0	0.0	0.48	0.48
Cd97	0.0	0.0	0.0	10.16	8.59
Ceacam15	0.0	0.0	0.0	0.07	0.07
Clec12b	0.0	0.0	0.0	0.07	0.07
Cpa3	0.0	0.0	0.0	0.07	0.07
Cyp2c55	0.0	0.0	0.0	0.05	0.05
Cyp3a57	0.0	0.0	0.0	0.06	0.06
D630039A03Rik	0.0	0.0	0.0	0.31	0.42
D6Mm5e	0.0	0.0	0.0	0.1	0.1
Dhrs2	0.0	0.0	0.0	0.08	0.08
Dhx58	0.0	0.0	0.0	1.52	1.52
Dnajc5b	0.0	0.0	0.0	0.11	0.11
Dnmt3l	0.0	0.0	0.0	0.12	0.12
Dppa1	0.0	0.0	0.0	0.09	0.09
Dspp	0.0	0.0	0.0	0.11	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.1
F630028O10Rik	0.0	0.0	0.0	0.07	0.07
F630111L10Rik	0.0	0.0	0.0	0.06	0.06
Fam170b	0.0	0.0	0.0	0.12	0.12
Fam187a	0.0	0.0	0.0	0.13	0.13
Fam83b	0.0	0.0	0.0	0.06	0.06
Fgfr4	0.0	0.0	0.0	0.03	0.03
Fmo4	0.0	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Foxi1	0.0	0.0	0.0	0.04	0.09
Foxp4	0.0	0.0	0.0	18.34	18.34
Gabra6	0.0	0.0	0.0	0.04	0.08
Gabrr3	0.0	0.0	0.0	0.07	0.07
Gcet2	0.0	0.0	0.0	0.07	0.07
Gm12633	0.0	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.0	0.14	0.14
Gm20554	0.0	0.0	0.0	0.08	0.08
Gm4745	0.0	0.0	0.0	0.08	0.08
Gpr44	0.0	0.0	0.0	0.08	0.08
Gpr65	0.0	0.0	0.0	0.15	0.15
Gzma	0.0	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.0	0.04	0.04
Hhla1	0.0	0.0	0.0	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.07	0.07
Il17c	0.0	0.0	0.0	0.16	0.16
Il18rap	0.0	0.0	0.0	0.04	0.04
Itga9	0.0	0.0	0.0	3.97	3.97
Itpr2	0.0	0.0	0.0	6.05	7.73
Kctd19	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.0	0.05	0.05
Krt26	0.0	0.0	0.0	0.27	0.27
Lao1	0.0	0.0	0.0	0.05	0.05
Lect2	0.0	0.0	0.0	0.12	0.12
Lipm	0.0	0.0	0.0	0.11	0.11
Ltbp2	0.0	0.0	0.0	0.3	0.3
Ltf	0.0	0.0	0.0	0.04	0.04
