	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Calb2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_68	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_33	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700012A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	20.61	0.0	0.0	126.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	2.52	2.37	1.8
2410042D21Rik	0.0	0.0	0.0	0.0	1.72	123.67	32.62	0.0	0.0	43.71	0.0	0.0	30.87	0.0	0.0	117.93	0.0	11.43	0.0	56.91	5.3	0.0	166.44	0.0	11.87	0.09	0.0	0.04	0.23	0.0	0.0	0.06	0.14	0.0	21.41	28.32	16.69	19.85	13.1	13.53	12.96
2610002D18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.59	0.33
3110007F17Rik	0.0	0.0	0.0	0.0	0.0	0.0	86.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.09	0.0	0.0	62.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	3.84	3.87
4930451I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	56.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0
4930590J08Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.89	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.41	0.22	0.45
6430527G18Rik	13.88	16.67	8.67	5.5	4.23	0.88	63.93	0.0	14.77	2.27	5.33	0.0	3.68	0.0	0.0	2.84	6.03	3.25	3.18	4.76	5.64	3.12	11.92	2.05	2.25	2.9	17.39	2.57	0.08	0.0	0.0	7.6	0.03	0.0	8.4	5.9	3.32	5.62	62.46	66.67	51.85
9030418K01Rik	0.0	0.0	0.0	22.25	35.06	0.0	32.44	0.0	0.0	0.0	0.0	68.96	45.68	0.0	0.0	0.0	0.31	121.84	11.9	0.0	4.29	0.0	4.76	0.0	28.52	0.0	0.0	0.0	22.74	0.05	0.05	0.0	0.06	0.13	9.18	5.56	5.04	4.93	36.44	33.14	34.81
A330021E22Rik	0.0	35.53	0.0	0.0	0.0	0.0	80.78	0.0	0.0	3.12	109.98	0.0	0.0	0.0	75.24	14.09	12.12	0.0	0.0	7.06	0.0	0.35	0.0	0.0	0.39	0.0	0.0	1.17	0.0	0.0	0.0	0.05	0.0	0.0	0.74	2.82	3.8	2.99	10.83	10.38	12.28
Aars	221.15	63.64	0.0	78.89	96.01	0.0	233.36	0.0	30.44	73.93	0.0	0.08	10.11	75.76	0.1	15.89	26.72	62.54	0.09	97.8	5.38	20.97	41.2	2.02	0.0	68.78	0.0	61.95	61.41	91.01	0.02	0.28	18.77	61.09	28.59	43.5	30.95	28.9	88.43	91.86	91.75
Acbd6	0.0	30.44	42.92	0.0	0.29	0.0	57.88	0.0	30.31	0.0	74.69	63.75	1.52	1.85	0.24	3.27	41.17	0.0	2.25	25.98	20.29	0.0	8.03	0.0	7.47	0.23	4.96	0.11	0.0	91.78	0.23	44.08	1.11	15.49	2.65	6.4	6.39	13.19	56.59	68.62	59.92
Aff3	0.0	0.0	0.09	0.0	0.0	0.0	32.93	0.0	0.0	18.8	0.0	0.0	0.0	0.0	8.94	0.0	0.0	0.07	0.0	8.1	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.0	4.83	5.94	3.0	2.98	25.41	23.65	24.79
Aifm3	0.0	9.36	4.97	0.0	0.76	26.07	134.67	0.0	20.4	75.18	14.95	4.17	0.61	15.71	3.29	121.09	92.01	1.07	13.41	11.13	18.51	104.88	6.27	0.0	5.89	61.43	0.0	0.04	102.04	0.0	6.85	188.21	1.53	0.0	1.58	5.84	5.05	4.97	70.87	73.98	75.26
Ampd2	27.56	19.42	76.73	0.11	0.06	0.12	250.0	0.0	0.0	0.0	245.42	154.4	0.11	0.0	37.02	47.55	0.0	17.21	0.0	0.0	0.0	0.0	0.0	0.27	61.35	0.07	0.0	15.8	93.03	0.09	0.0	53.95	0.04	0.0	27.48	43.81	42.86	41.26	43.08	46.45	44.94
Ankrd42	0.0	0.05	0.0	0.0	0.0	0.0	75.98	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.4	0.0	1.18	0.0	0.0	0.0	0.0	44.07	0.0	8.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.04	5.15	2.72	3.99	14.08	11.49	13.4
