	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Cux2_tdTpositive_cell_124	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_41	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_42	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Slc17a6_tdTpositive_cell_38	Sst_tdTpositive_cell_77	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_10pg_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Adcy1	0.0	0.0	0.0	54.33	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.48	1.73	61.81	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.07	0.04	0.03	0.02	0.09	0.04	0.02	0.06	0.0	21.62	4.1	36.15	43.89	51.82	49.75	33.61	224.96	212.91	233.52
Ankrd52	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	20.93	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.92	0.0	0.0	0.0	0.0	0.0	23.56	0.0	0.05	0.05	0.76	0.21	0.51	39.4	37.08	40.22
Ap2a1	0.0	0.0	0.0	53.93	0.0	0.0	0.1	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.03	42.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	75.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	6.33	2.59	2.3	2.44	43.39	210.18	226.06	220.98
Basp1	0.0	0.0	0.0	125.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.33	45.04	367.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.1	0.23	0.14	0.4	0.0	0.0	0.0	0.0	101.63	40.71	93.61	96.64	91.91	88.09	56.42	481.54	530.49	509.16
Cacna1e	0.0	0.0	0.0	223.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.23	18.78	37.04	0.0	0.0	0.19	0.07	0.0	0.0	0.05	0.05	0.13	0.06	0.13	0.04	0.2	0.0	0.04	0.06	0.0	27.76	14.27	30.05	45.14	63.72	28.16	17.01	78.28	66.78	84.4
Calm3	2.65	4.96	7.51	340.42	3.4	283.24	0.0	4.07	96.73	442.69	403.61	0.0	0.28	378.42	7.11	0.13	0.0	188.42	153.46	122.03	243.36	9.31	0.0	0.38	5.27	4.71	13.82	136.37	0.28	5.11	0.16	51.37	158.4	568.29	5.14	51.82	3.27	0.19	115.86	145.69	173.25	151.57	168.96	204.7	142.63	1592.64	1647.07	1645.95
Camk2b	0.0	0.0	0.0	88.77	0.0	0.0	0.0	0.0	0.0	0.17	0.24	0.0	0.0	0.17	0.0	0.07	0.0	0.0	133.29	77.36	475.4	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.52	0.18	0.22	0.38	0.56	0.0	0.0	0.0	0.0	97.07	23.48	69.66	85.23	73.92	90.47	149.74	532.26	557.69	545.35
Ccl27b	0.0	0.0	0.0	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.38	89.75	344.85	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.46	0.11	0.0	0.0	0.0	0.0	9.5	0.0	0.23	33.18	6.75	114.56	125.27	61.27	76.52	17.69	30.63	28.29	22.96
Clstn1	0.0	0.0	0.0	63.16	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.24	6.43	15.32	71.7	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.25	0.16	0.13	0.15	0.11	0.16	0.26	0.22	0.0	0.0	14.95	31.59	43.48	45.4	47.83	134.51	777.34	797.87	800.57
Clu	20246.09	26766.18	23026.24	1305.89	43205.41	24449.86	23267.38	23836.7	21238.51	18677.01	15191.74	15187.31	23460.47	24519.01	19869.71	28167.35	32772.96	20006.22	1872.56	742.86	83.49	21994.48	26961.32	29404.63	17584.22	28438.97	21552.19	32708.09	19562.5	8407.21	18001.23	20559.94	19567.3	28173.78	32237.45	27458.42	19230.71	22353.74	280.99	2505.7	907.34	987.52	713.83	868.62	1941.85	861.77	913.28	889.97
