	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_53	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_16	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_57	Pvalb_tdTpositive_cell_4	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_21	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Vip_tdTpositive_cell_16
4921508A21Rik	67.72	22.91	13.6	39.79	18.12	3.14	29.32	0.88	0.78	48.74	27.75	57.89	82.95	128.9	6.37	5.35	6.69	8.21	6.63	36.9	33.04	8.79	29.19	1.0	0.73	13.94	80.72	3.08	32.12	43.61	81.42	0.81	131.0	0.97	177.6	8.28	416.45	0.53	26.05	92.55	294.36	3.52	30.4	74.3	2.41	17.23	136.13	4.5	28.32	150.4	29.84	29.5	5.71	10.65	261.35	0.76	0.0	0.0	0.0	0.0
4930511M06Rik	222.16	74.51	147.88	54.23	100.99	82.59	94.2	0.88	16.95	172.97	18.28	190.35	215.88	148.43	443.24	95.48	3.2	153.48	190.44	113.57	173.44	245.49	159.41	5.28	61.27	31.0	149.33	174.7	316.03	268.12	126.82	65.63	200.33	84.54	72.66	84.22	344.78	10.35	4.23	486.26	1120.28	32.42	82.61	163.87	148.86	82.62	182.19	69.07	128.92	77.89	195.19	102.75	118.74	104.95	429.89	27.87	38.3	61.16	64.54	0.0
Acnat1	36.61	26.26	16.63	17.76	17.13	9.41	17.52	2.28	0.27	39.87	4.7	41.77	45.24	43.62	79.41	31.7	3.6	22.32	31.49	19.53	16.96	47.29	13.98	0.05	7.94	4.13	21.97	25.51	37.35	39.84	30.48	19.79	37.94	15.74	21.82	13.49	118.29	0.31	0.0	124.44	202.55	10.93	8.62	38.82	28.69	25.47	81.71	20.64	30.01	40.65	13.92	32.1	40.97	23.28	89.8	11.79	13.96	6.58	8.51	6.0
Aldoc	13275.38	17703.9	19416.5	16689.54	27830.39	13110.56	15503.2	17258.59	0.55	22432.92	14871.08	9562.8	7011.64	11372.87	14232.78	16251.98	0.0	14260.23	16673.43	15617.1	11488.11	14652.43	21732.8	48.11	37.91	7969.48	14019.0	16496.13	15983.35	13257.46	16006.52	14423.97	13460.76	10543.1	11696.93	8364.93	0.81	0.0	0.0	0.0	1.12	0.0	0.11	23123.65	16995.63	22112.8	0.0	13224.32	22568.75	12474.19	13449.16	24349.99	15144.23	19480.1	1.05	0.0	0.0	0.0	0.0	28.75
Amy2a2	0.27	0.0	0.06	0.05	0.0	0.0	0.04	0.0	0.0	0.1	0.15	0.1	0.1	0.56	0.0	0.0	0.0	0.0	0.14	1.06	1.3	0.21	0.77	0.0	0.0	0.05	1.47	0.92	0.29	1.53	1.18	0.0	0.32	0.21	0.31	0.12	8.3	0.0	0.0	2.48	1.87	0.02	0.2	0.03	0.25	0.15	0.77	0.17	0.19	2.36	0.0	0.58	0.08	0.04	1.81	0.0	0.0	0.0	0.0	0.0
Amy2a3	0.27	0.0	0.06	0.05	0.0	0.0	0.04	0.0	0.0	0.1	0.15	0.1	0.1	0.56	0.0	0.0	0.0	0.0	0.14	1.06	1.3	0.21	0.77	0.0	0.0	0.05	1.47	0.92	0.29	1.53	1.18	0.0	0.32	0.21	0.31	0.12	8.3	0.0	0.0	2.48	1.87	0.02	0.2	0.03	0.25	0.15	0.77	0.17	0.19	2.36	0.0	0.58	0.08	0.04	1.81	0.0	0.0	0.0	0.0	0.0
Amy2a4	0.27	0.0	0.06	0.05	0.0	0.0	0.04	0.0	0.0	0.1	0.15	0.1	0.1	0.56	0.0	0.0	0.0	0.0	0.14	1.06	1.3	0.21	0.77	0.0	0.0	0.05	1.47	0.92	0.29	1.53	1.18	0.0	0.32	0.21	0.31	0.12	8.3	0.0	0.0	2.48	1.87	0.02	0.2	0.03	0.25	0.15	0.77	0.17	0.19	2.36	0.0	0.58	0.08	0.04	1.81	0.0	0.0	0.0	0.0	0.0
BC024386	7.53	3.5	4.13	6.28	1.72	3.59	18.92	0.0	7.96	5.92	1.29	12.68	1.34	5.18	24.65	2.76	0.21	4.93	8.52	7.52	7.4	1.33	0.97	0.0	3.35	2.81	3.6	1.72	6.17	8.36	3.34	1.25	31.52	3.43	2.37	3.65	9.25	0.59	4.65	29.59	46.98	0.89	1.14	5.62	7.09	12.87	4.25	5.58	32.07	19.2	8.95	4.25	8.12	6.4	11.1	8.71	4.13	0.81	0.75	0.0
Bambi-ps1	64.91	31.27	122.92	1.05	71.52	10.3	77.62	0.0	37.25	3.55	7.08	123.1	84.37	81.59	116.39	57.02	0.0	136.85	65.3	84.36	50.15	39.76	95.87	0.49	0.26	2.11	17.9	148.41	56.31	140.3	102.09	17.96	152.08	12.99	51.36	18.99	263.94	0.0	0.0	166.63	329.42	1.45	0.0	70.88	59.34	63.31	89.37	32.81	62.25	45.23	11.58	8.21	123.01	16.33	196.54	0.0	3.25	3.67	0.0	0.0
Birc5	6.37	3.89	4.21	1.18	5.51	1.29	0.4	0.0	2.07	2.59	0.99	15.41	9.37	4.89	10.91	7.45	0.12	2.22	2.24	4.27	0.36	5.86	3.86	0.0	0.21	2.03	6.36	5.36	1.21	7.09	1.08	0.9	17.09	3.18	7.86	1.97	6.56	0.0	0.0	16.56	52.67	3.58	1.68	7.84	6.91	3.14	7.26	1.86	0.89	2.35	2.69	2.17	0.86	3.28	12.54	2.45	1.37	2.74	1.53	0.0
