	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610009B22Rik	409.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1291.6	569.46	0.0	0.0	601.62	0.0	415.89	0.9	197.24	1017.59	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	472.99	599.92	0.0	0.0	23.08	0.0	791.11	0.0	0.0	104.76	123.16	132.17	106.48	132.35	210.09	159.66	136.8	157.52	118.03	35.14	35.42	35.09
1110002N22Rik	0.0	0.0	0.0	0.0	0.0	525.4	614.51	0.0	736.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	581.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5	41.24	33.11	11.66	34.98	32.06	69.91	38.99	42.47	29.31	6.93	6.38	8.2
1110021J02Rik	4.48	0.0	8.62	8.14	5.85	2.43	8.87	9.49	154.51	6.11	6.57	2.61	3.49	6.4	5.15	168.64	16.08	2.57	4.11	9.43	3.28	3.17	3.1	2.7	4.16	8.11	4.26	100.47	5.53	4.44	4.49	3.06	2.92	1.77	25.03	2.09	16.04	13.05	13.77	14.01	7.33	22.55	21.58	13.23	19.03	23.84	33.32	33.8	34.72
1700113I22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	602.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.99	43.5	17.79	16.19	23.93	30.82	34.21	14.77	20.4	20.81	3.37	2.67	2.96
2610027L16Rik	0.19	0.0	0.12	0.12	0.0	0.0	0.0	0.0	3.17	0.0	0.0	0.0	0.0	0.22	0.0	0.18	1.96	1.87	0.56	0.0	0.0	0.0	0.0	0.0	0.22	0.33	0.32	0.1	0.61	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.09	2.61	0.09	0.16	0.0	4.09	1.31	0.54	0.98	2.11	8.48	9.03	7.62
3010026O09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.2	0.27	0.0	0.0	0.0	0.0	0.0	0.0	18.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.29	32.79	37.0	34.28	54.17	42.22	68.51	50.77	59.76	41.46	13.24	19.78	17.67
4831440E17Rik	0.3	0.07	0.1	0.0	0.0	0.0	0.11	1.12	363.39	0.6	0.0	0.0	0.18	0.2	0.0	0.0	0.44	0.66	1.1	0.0	0.26	0.07	0.08	0.13	0.12	0.2	0.1	0.07	0.45	0.0	0.56	0.0	0.34	1.1	0.13	0.0	0.08	3.23	10.47	4.87	3.42	16.41	5.46	1.71	2.63	3.29	2.73	2.53	3.78
4833424O15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.91	0.0	0.0	0.0	0.0	0.2	0.0	0.0	30.84	0.0	0.16	0.0	0.0	0.48	0.17	0.0	0.0	0.0	0.0	0.19	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.18	18.08	8.05	9.3	13.68	11.53	6.36	10.99	10.99	12.66	36.14	33.71	33.7
4833442J19Rik	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	834.63	0.39	0.36	877.59	0.0	0.0	0.0	0.0	18.05	2.98	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	11.86	0.0	5.46	6.93	18.01	0.0	1.59	13.09	12.93	9.94	3.51	4.32	4.25
4930448K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.07	0.0
