	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_56	Ntsr1_tdTnegative_cell_44	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010011I20Rik	0.0	0.0	0.0	18.66	18.45	18.67
2810055G20Rik	0.0	0.0	0.0	0.5	0.24	0.52
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4933421O10Rik	2.45	2.79	0.0	13.43	11.32	13.93
6330418K02Rik	0.0	0.0	0.0	5.05	4.86	5.07
8430419L09Rik	0.0	3.23	0.0	139.39	141.01	160.23
8430431K14Rik	0.0	0.19	0.0	0.49	0.29	0.21
Acly	2.3	57.88	0.0	111.13	110.2	109.44
Agap1	0.0	0.0	32.86	35.1	34.98	36.53
Aifm3	0.0	0.0	0.0	70.87	73.98	75.26
Aldh7a1	0.0	0.0	0.0	62.52	60.34	66.5
Atg3	0.0	0.0	0.0	37.58	39.89	38.39
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bbs9	0.0	0.0	0.0	10.06	12.28	10.93
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Btc	0.22	0.0	0.0	1.24	1.37	1.42
C87414	0.0	0.0	0.0	0.08	0.04	0.0
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Camkk2	1.17	0.07	0.0	173.23	165.59	174.65
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cnnm1	0.0	0.04	0.0	63.15	65.54	67.49
Cox4nb	0.0	0.0	0.0	30.81	31.83	32.07
Csnk2a2	0.0	0.0	0.0	19.92	21.69	20.2
Ctxn1	0.0	0.0	0.0	635.52	680.06	633.26
Cyyr1	0.0	0.0	0.0	3.47	2.83	2.85
Fez2	0.0	0.0	0.0	47.68	48.78	46.83
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gal3st4	0.0	0.0	0.0	3.6	3.54	3.55
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Glul	8.03	0.58	90.26	1091.38	1065.36	1142.56
Gm11202	0.0	0.0	0.06	0.14	0.04	0.09
Gm8615	0.0	0.0	0.0	0.19	0.2	0.42
Gm872	0.0	0.0	0.0	1.13	0.85	1.12
Gnai2	56.32	99.3	5.09	159.13	172.93	169.97
Gpr26	0.0	0.0	0.0	67.54	58.53	83.82
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hipk3	5.46	0.0	0.0	44.09	41.78	41.53
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kctd12	0.0	2.27	0.0	50.31	45.97	46.67
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klf9	0.0	9.61	0.0	127.72	133.21	122.44
Klhdc8a	0.0	0.04	0.0	10.79	11.57	10.51
Map4k5	0.0	0.0	0.0	31.84	29.24	30.08
Mdm2	1.84	0.0	0.0	35.46	36.94	33.29
Mib2	0.0	0.06	4.81	65.64	74.95	70.23
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Myh9	10.41	0.17	3.0	34.12	34.72	35.82
Ncdn	0.0	14.58	0.0	907.72	1022.47	941.79
Ncf1	0.46	0.52	0.16	9.87	9.09	9.17
Nhlrc3	0.0	0.0	0.0	5.88	6.98	7.78
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Pcdhb18	0.0	0.0	0.0	4.13	4.15	4.47
Phc1	0.0	0.0	0.1	34.46	37.13	36.5
Phyhipl	0.0	44.44	0.14	162.08	156.56	157.41
Ppp1cc	0.0	0.08	0.16	191.89	210.87	186.07
Ralgapa1	66.37	34.34	0.0	67.52	58.81	68.62
Sh3bp5l	0.0	0.0	0.0	37.93	42.11	39.34
Shank1	0.08	2.68	0.0	148.7	139.9	181.16
Shisa7	0.0	0.0	0.0	75.61	74.19	79.5
Slc22a23	0.0	0.0	0.0	39.19	38.53	38.48
Slc35a3	0.07	1.52	0.0	12.91	11.54	11.36
Snord88c	0.0	0.0	0.0	4.14	1.95	6.15
Svop	0.0	0.0	0.0	162.41	167.3	157.31
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Thap4	0.0	0.0	0.0	17.47	16.97	19.4
Tmc7	0.0	0.0	0.0	10.75	10.23	11.23
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttyh3	3.94	0.04	0.0	133.49	133.67	145.53
Unc5d	0.0	0.0	0.0	19.17	15.33	20.3
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Veph1	1.59	1.12	0.41	3.28	2.62	3.64
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zdhhc3	0.0	0.07	0.0	24.69	26.51	25.39
Zfp574	0.0	0.0	0.0	20.24	21.56	19.83
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c7_LSU-rRNA_Hsa	17.7	12.8	0.0	94.71	85.64	91.89
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
