	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_64	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_41	Rbp4_tdTpositive_cell_165	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930431P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.35	0.04	0.09
6430527G18Rik	13.62	5.33	1.82	0.0	10.99	3.99	6.74	7.56	1.19	0.88	4.24	6.38	5.16	2.7	0.0	5.6	8.62	0.0	7.27	21.98	5.9	14.51	62.46	66.67	51.85
Adcy5	0.0	2.25	0.0	0.0	0.0	0.0	2.61	3.75	0.0	0.0	13.09	0.0	0.0	13.97	20.56	8.49	7.1	0.0	4.96	19.51	0.0	0.0	139.88	145.98	149.99
Adcy7	3.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	4.83	0.0	2.36	4.07	4.16	4.16
Adipor1	27.16	17.69	15.46	23.32	7.71	16.45	0.3	3.06	14.77	0.6	20.18	0.69	1.67	101.34	2.3	16.37	36.1	24.67	2.43	48.09	4.96	13.14	76.62	83.36	79.95
Akna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.07	0.0	0.0	2.42	1.92	2.06
Astn2	10.41	0.0	0.0	0.0	0.0	0.11	0.0	0.12	0.52	0.53	0.29	0.0	0.06	0.14	0.97	0.7	0.18	0.07	9.8	0.72	0.0	0.95	24.18	24.75	22.11
Axin2	2.88	0.0	0.0	0.0	0.0	0.26	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	3.03	0.0	0.07	6.57	0.0	1.69	17.5	16.6	15.16
BC060267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.27	0.0	0.0	0.0	0.0	7.38	0.0	8.74	5.58	5.28	5.35
Bmpr1a	0.0	0.0	0.0	17.2	0.0	0.0	0.0	0.0	18.3	0.11	23.9	0.0	0.0	0.0	37.72	2.69	34.77	0.0	39.59	34.95	0.0	8.55	26.12	23.76	26.09
