	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_83	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_30	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_50	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Tac2_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600021P15Rik	0.0	0.0	0.0	0.0	0.12	0.0	0.0	44.55	0.0	5.48	34.83	0.0	2.97	0.0	2.89	26.84	27.31	56.84	0.44	0.84	4.4	0.0	187.21	0.0	9.27	33.87	4.61	5.5	67.43	0.0	31.72	81.87	0.12	25.15	0.0	0.0	3.55	85.59	0.0	22.73	0.0	51.83	29.68	32.12	30.11
2610204G22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.26	16.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.47	1.56
2900092E17Rik	431.84	0.0	0.2	141.72	0.0	0.98	127.7	2.29	0.0	0.54	31.11	36.6	52.04	0.0	2.96	31.5	61.41	63.57	77.72	0.0	44.97	15.46	362.58	0.0	67.94	0.0	39.52	52.25	21.82	47.02	42.2	0.0	0.0	114.21	27.35	74.2	27.6	132.59	98.32	52.71	168.68	0.0	70.08	78.55	74.26
4930448I06Rik	0.0	0.0	1.03	1.42	0.0	0.43	0.47	4.25	0.0	0.0	0.0	1.59	0.0	2.01	0.0	0.58	0.0	0.69	0.0	0.27	1.36	0.54	4.15	2.91	2.08	0.0	0.0	4.11	1.02	1.68	0.0	0.0	0.0	0.0	2.25	0.0	1.11	1.26	0.7	0.0	0.0	0.0	1.36	1.12	1.43
5830418P13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.48	0.85
6430598A04Rik	0.0	0.1	0.08	0.0	0.7	0.0	0.77	0.0	0.0	0.28	3.54	0.0	0.0	0.0	0.0	5.15	0.0	0.0	1.25	0.0	1.02	6.24	28.31	0.07	0.0	0.0	0.0	0.25	6.29	5.65	0.0	0.0	0.0	13.96	8.63	0.0	1.42	0.0	0.06	0.0	0.0	0.0	54.53	60.75	57.14
A830082K12Rik	0.21	1.23	4.47	15.87	11.09	12.44	17.22	6.36	3.78	5.64	6.3	26.09	62.73	15.29	4.02	53.01	35.43	4.38	86.62	8.07	3.33	6.1	116.23	1.55	19.24	5.89	9.47	9.71	1.19	9.97	16.5	7.19	9.19	15.33	8.99	26.79	9.32	20.02	28.6	17.85	4.1	5.32	12.0	10.76	11.26
Ablim2	0.0	0.0	0.0	0.0	22.11	0.0	0.0	17.4	0.0	0.0	2.63	0.38	0.0	34.16	6.14	3.72	4.0	6.69	0.0	0.13	4.34	28.27	68.33	0.0	4.36	0.12	1.36	0.0	0.6	27.53	0.0	9.68	4.55	0.0	23.8	8.85	2.71	27.72	23.99	0.11	0.0	0.97	99.48	96.84	98.33
Aga	0.0	0.0	0.0	0.0	41.15	0.0	0.0	83.08	0.0	66.64	127.91	0.0	0.0	0.0	153.56	0.0	0.0	0.0	0.0	0.0	14.77	34.65	174.76	0.0	93.31	0.0	49.09	75.4	0.0	0.0	0.0	0.0	0.0	0.0	62.88	0.0	0.0	0.0	0.0	26.3	0.54	0.0	10.33	9.22	10.83
Ak3	0.0	0.0	0.0	0.0	12.77	0.0	0.0	2.07	0.0	0.0	0.0	2.09	1.0	0.0	0.0	27.55	0.0	36.13	0.0	0.11	0.78	3.64	4.8	0.09	0.0	6.68	53.91	0.77	0.0	0.0	0.0	0.0	1.17	0.49	25.45	0.0	26.63	0.0	2.05	0.0	0.0	0.0	76.83	70.38	72.65
