	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_72	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_70	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700010K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.25	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.92	0.0	0.48
1700011J10Rik	0.0	0.34	0.0	0.0	21.54	0.0	55.8	58.41	2.57	0.0	0.73	0.0	0.0	6.94	6.29	0.0	27.27	14.99	13.73	14.71
1700066B19Rik	0.0	0.0	0.28	0.0	0.0	0.0	0.0	10.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.22	0.13
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930538K18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	3.0	2.33
4933424G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.12
5033404E19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.96	0.9
5830418P13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.69	0.48	0.85
8430403D17Rik	0.0	0.0	0.0	0.0	0.35	0.0	0.14	1.53	0.69	0.0	0.0	0.37	0.0	0.22	0.0	0.14	0.12	0.44	0.26	0.18
8430431K14Rik	0.2	0.0	0.0	0.0	0.0	0.0	55.14	0.42	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.21	0.0	0.49	0.29	0.21
A530072M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.66	0.72
AI747448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0
Acbd6	5.08	16.29	5.24	0.0	29.27	0.0	0.0	42.16	4.38	4.66	0.39	4.63	5.1	0.28	1.06	2.43	32.91	56.59	68.62	59.92
Acot6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45	5.01	6.2
Adam17	0.52	0.0	0.0	0.0	0.0	8.74	0.0	47.11	0.81	13.5	0.0	42.22	1.35	0.0	3.33	0.0	0.0	11.96	10.24	12.28
Adam4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.24	0.21
