	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_44	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_1	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7	0.0	0.0	0.0	0.28	1.15	0.38	0.2	1.98	0.0	0.48	0.33	0.0	0.84	0.0	2.55	0.06	0.43	0.58	0.0	0.34	1.24	0.86	1.15	0.63	0.0	0.0	0.0	0.0	0.0	0.33	0.0	4.27	1.55	0.0	0.0	0.0	0.45	2.15	0.0	0.0	0.81	0.0	0.43	1.18	1.46	0.0	0.35	0.53	0.4	2.5	1.16	2.02	1.53	3.04
1110014N23Rik	9.5	13.03	0.0	0.0	0.0	0.0	0.0	16.7	93.67	0.0	7.04	2.62	0.47	0.0	0.0	25.54	0.0	8.85	0.0	0.0	2.94	0.0	0.21	0.0	0.0	0.0	11.47	0.0	0.0	42.24	15.47	0.0	32.04	1.43	0.0	0.0	0.11	52.04	41.15	0.0	27.65	6.7	0.0	7.19	0.0	0.0	0.0	0.2	0.0	13.01	0.0	0.0	0.0	0.0	0.0	0.0	4.2	6.28	8.59	97.99	46.45	55.38	48.92
1700011J10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.42	0.0	0.0	0.0	0.0	121.38	0.0	7.91	1.28	10.5	0.0	0.0	0.43	16.15	21.54	0.0	2.71	32.17	0.0	3.79	0.0	0.0	9.87	0.0	0.0	0.0	0.0	12.74	0.0	2.21	0.21	13.75	9.5	5.58	0.0	8.5	67.67	0.04	6.06	9.66	0.0	0.0	0.0	0.0	0.0	7.54	0.0	0.0	2.41	4.64	3.23	1.13	14.99	13.73	14.71
1700040I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.06	0.0	7.15	3.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	16.11	11.04	0.0	24.68	26.67	26.12
1700047I17Rik2	6.75	8.8	0.66	0.32	2.15	26.62	5.1	16.25	26.59	49.44	15.13	3.6	61.73	16.63	1.23	7.92	4.6	0.97	5.07	10.07	22.21	2.3	7.08	10.01	22.97	12.78	10.53	5.51	4.19	26.95	5.27	1.07	3.41	11.48	15.79	11.15	2.03	3.87	17.02	12.08	9.09	16.78	0.37	18.26	23.92	11.71	8.08	6.97	15.19	14.63	2.86	6.64	31.99	1.29	0.67	12.49	13.41	14.19	19.02	20.73	17.56	16.4	17.92
1700065D16Rik	0.23	0.0	0.0	0.0	0.0	0.0	0.06	0.09	0.26	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.1	0.0	0.11	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.26	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.07	0.33	0.62	0.66
4930502E18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.83	2.06	0.3	0.0	0.58	0.79	0.34
6030468B19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.09	0.18	0.19
6530418L21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.12	6.48	4.2	0.11	0.25	0.0	10.93	0.0	0.0	0.08	0.13	0.0	0.15	0.08	0.16	0.0	0.05	19.33	0.07	0.0	0.0	0.06	0.0	0.07	0.0	0.1	0.0	0.0	6.0	0.0	0.09	0.06	0.0	0.0	6.45	20.4	0.0	0.0	0.05	0.07	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.1	0.0	0.16	28.86	23.51	20.58	0.71	62.45	58.55	56.76
Adam17	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.37	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.02	0.0	0.0	0.0	4.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	6.65	5.5	0.0	0.0	0.0	0.0	0.0	8.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	1.32	4.53	0.01	11.96	10.24	12.28
