	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_tdTpositive_cell_174
2410002O22Rik	6.24	6.92	0.85	2.77	142.44	612.16	0.0	3.1	175.07	145.6	81.51	33.98	48.08	91.65	140.32	243.19	63.3	64.58	55.06
2810407C02Rik	0.0	0.0	0.0	63.15	0.0	0.0	0.0	0.16	0.0	46.01	0.0	2.3	0.59	75.14	43.99	2.37	11.16	30.62	4.41
4933403F05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.38	0.71	0.0	11.59	0.0	3.45	8.7	39.93	15.44	6.66	0.0
Ankhd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.23	2.63	3.02	5.76	5.88	0.0	1.37	19.99	7.61	3.78	7.13	51.39
C330006A16Rik	0.0	0.0	0.0	0.0	143.83	0.0	0.0	96.19	0.13	0.0	292.58	255.85	3.19	144.06	134.07	93.63	170.38	51.98	6.7
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.81	11.75	29.61	11.59	0.69	1.74	389.64
Cox7b	0.0	114.61	69.15	0.0	62.96	0.0	0.0	308.19	0.0	408.71	179.5	162.05	6.55	659.58	609.99	1721.9	749.25	798.84	1.24
Dos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.77	0.1	1.23	0.71	24.08	17.54	11.43	14.47	22.86	8.9
Dynll2	8.06	0.0	0.0	0.0	0.0	0.0	0.0	4.33	0.0	8.26	43.59	22.33	0.0	35.22	10.52	26.69	15.23	12.17	56.46
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.81	11.75	29.61	11.59	0.69	1.74	389.64
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	0.73	7.21	0.06	0.0	3.4	0.0	12.07	23.92	0.0
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	0.73	7.21	0.06	0.0	3.4	0.0	12.07	23.92	0.0
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.81	11.75	29.61	11.59	0.69	1.74	389.64
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	0.73	7.21	0.06	0.0	3.4	0.0	12.07	23.92	0.0
Golga7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.62	36.05	128.27	992.84	236.98	10.83	170.28	256.58	12.26	201.46	61.73	397.47
Necap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.2	2.84	160.46	229.87	121.67	4.85	413.57	235.52	91.38	140.95	260.73	158.89
Oaz1-ps	230.18	0.0	0.0	426.86	156.77	889.03	16.19	215.05	462.41	345.3	933.54	629.77	0.0	266.23	375.8	334.21	506.15	338.75	603.85
Pcnxl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	1.45	3.44	0.0	6.0	5.0	0.1	0.0	4.33	45.34
Praf2	0.43	0.0	0.0	0.0	0.35	0.32	0.0	0.0	0.0	447.32	111.35	131.7	7.17	198.52	262.38	314.42	275.76	475.56	1.02
Rnft2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	42.04	0.0	0.0	0.11	2.31	0.0	0.0	6.65	6.81
Sprr2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.42	0.12	0.09	0.0	0.07	0.06	0.0	0.5	0.46	0.71
Sprr2a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.42	0.12	0.09	0.0	0.07	0.06	0.0	0.5	0.46	0.71
Syp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.49	0.13	140.8	173.7	111.76	4.67	133.45	191.78	91.02	161.25	350.25	154.84
Tmed9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.11	5.21	111.66	0.0	4.43	23.09	44.55	0.0	37.09	81.58	0.84
Uba3	0.0	1369.19	0.0	0.0	0.0	0.0	0.0	0.0	199.21	104.82	191.89	9.34	1.32	272.34	181.89	149.88	152.81	90.18	1.99
Ufsp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	48.94	138.96	0.14	6.29	122.58	149.61	145.62	129.33	73.92	63.4
Unkl	0.0	0.0	0.0	0.0	0.12	0.0	0.0	1.02	0.05	97.06	2.76	0.0	0.0	1.84	17.3	0.42	0.0	4.59	0.35
Vps45	0.0	0.0	0.0	0.0	0.16	0.0	0.0	19.54	0.0	49.13	76.71	0.57	2.4	38.88	37.93	15.06	4.19	59.5	103.13
Wdr61	0.0	0.0	0.0	39.14	0.0	0.0	6.54	229.5	0.0	349.25	198.2	256.45	4.32	111.89	283.92	12.93	291.94	198.16	1.04
mt_AK131577	2881.05	3754.58	2188.6	2463.02	3656.4	2809.06	4839.55	11869.87	6129.44	6636.2	5183.26	12410.34	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_AK132015	2881.05	3754.58	2188.6	2463.02	3656.4	2809.06	4839.55	11869.87	6129.44	6636.2	5183.26	12410.34	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_AK132098	2881.05	3754.58	2188.6	2463.02	3656.4	2809.06	4839.55	11869.87	6129.44	6636.2	5183.26	12410.34	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.06	0.18	223.51
mt_AK140265	4976.13	3872.32	3104.89	6723.34	3542.84	1902.17	4366.98	11204.42	15757.24	10167.62	8109.23	16103.86	11883.0	18285.22	10074.32	13642.02	14320.55	13558.45	10954.06
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.06	0.18	223.51
mt_AK142736	2891.68	3597.99	2147.01	3753.73	1508.43	442.81	1372.31	7897.7	9310.48	6153.74	5647.23	13837.49	7267.01	11295.75	6239.55	9501.73	9000.57	8688.9	5400.26
mt_AK162500	1193.59	7270.47	6229.01	7487.15	5468.28	8545.36	7744.57	18017.62	16972.65	15862.29	13510.06	31266.91	20312.88	18115.72	9254.81	13178.06	12142.02	13163.08	16571.2
mt_AK165865	6909.5	7207.68	5601.7	12982.26	16301.57	3612.28	11813.73	24175.67	21297.17	14986.14	15629.19	39977.13	18155.09	28666.62	15105.79	20551.69	20384.34	18446.12	17852.86
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.06	0.18	223.51
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.06	0.18	223.51
mt_AK167037	2881.05	3754.58	2188.6	2463.02	3656.4	2809.06	4839.55	11869.87	6129.44	6636.2	5183.26	12410.34	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_GU332589	15332.83	28558.05	21230.38	14764.74	12861.37	10490.52	12014.73	22738.66	26493.16	13741.48	13267.12	28909.02	12431.83	31086.28	16090.8	21460.06	22390.28	20242.91	19212.31
mt_X57779	2684.68	2771.37	1515.93	4209.86	3826.33	1347.33	3796.79	9293.52	6673.74	5660.5	6605.62	13394.37	7451.99	9044.92	4690.52	8949.42	5467.39	7051.59	4799.34
mt_X57780	2684.68	2771.37	1515.93	4209.86	3826.33	1347.33	3796.79	9293.52	6673.74	5660.5	6605.62	13394.37	7451.99	9044.92	4690.52	8949.42	5467.39	7051.59	4799.34
