	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Rbp4_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110004E09Rik	0.0	0.0	0.0	41.06	48.94	39.53
1110035M17Rik	0.0	0.0	0.0	6.03	5.32	5.63
1300001I01Rik	0.0	0.0	0.0	50.37	50.41	50.0
2210018M11Rik	0.0	0.0	0.0	29.21	25.53	30.09
4930422G04Rik	0.0	0.0	0.0	2.71	2.57	2.84
4930441O14Rik	0.0	0.0	0.0	2.75	2.62	2.62
4930526L06Rik	0.0	0.0	0.0	2.19	1.42	1.84
4930568E12Rik	0.0	0.0	0.0	0.65	0.12	0.26
5830417I10Rik	3.45	2.13	5.84	12.56	11.18	14.08
8030423J24Rik	0.0	0.0	0.0	0.0	0.44	0.24
A130010J15Rik	0.53	1.6	165.6	4.05	4.0	4.19
Adck4	0.0	0.0	0.0	21.52	23.98	23.52
Afmid	0.0	0.0	0.0	2.8	2.44	2.41
Aldh16a1	0.0	0.0	0.0	4.84	6.3	5.31
Aldh8a1	0.0	0.0	0.0	0.13	0.29	0.09
Anapc2	0.0	0.0	0.0	72.78	76.34	71.28
Ap1s2	0.0	0.0	0.0	10.64	8.83	9.72
Arhgap39	0.0	0.0	0.0	43.44	45.47	45.88
Asb10	0.0	0.0	0.0	0.26	0.2	0.4
Atf1	0.0	0.64	0.0	11.96	12.33	11.11
Atp13a1	0.0	0.0	0.0	33.43	34.23	35.3
Atp2b3	0.0	0.0	0.0	71.78	71.4	77.52
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC049352	0.0	0.0	0.0	0.83	0.78	0.49
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Card9	0.0	0.0	0.0	1.73	2.45	2.23
Cd2ap	0.0	0.0	0.0	16.43	12.39	15.98
Cyp20a1	0.0	0.0	0.0	14.09	13.9	12.77
Cyp2j6	0.0	0.0	0.0	12.75	12.52	13.69
D18Ertd653e	0.0	0.0	0.0	35.82	29.98	35.1
D930014E17Rik	0.0	0.0	0.0	4.06	4.11	3.44
Dhx34	0.0	0.0	0.0	8.82	8.48	8.41
Dnajc25	0.0	0.0	0.0	5.22	3.74	3.48
Eef1d	0.0	0.0	0.23	49.44	51.76	46.26
Eef2k	0.53	0.31	0.0	27.93	28.9	28.24
Fam20b	0.34	0.0	0.35	66.59	62.85	61.86
Fat1	0.0	0.0	0.0	12.35	11.48	14.61
Fgf1	0.0	0.24	0.0	29.53	29.14	33.48
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
H2-Ab1	0.0	0.0	0.0	2.27	3.73	2.09
Hey1	0.0	0.0	0.0	63.38	62.86	55.62
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Llgl1	0.0	49.11	0.0	33.9	37.16	37.52
Loxl3	0.0	0.0	0.0	3.13	2.57	2.91
Mbtps1	114.3	0.0	0.0	53.53	54.98	52.0
Mdn1	0.0	0.0	0.0	15.23	12.55	16.12
Mex3c	0.0	0.0	0.0	30.19	27.49	26.64
Mir568	2878.41	0.0	0.0	8.46	9.97	10.09
Mll1	15.67	0.0	0.0	41.15	35.88	42.39
Morc3	0.0	0.0	0.0	16.61	15.67	15.45
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Msn	0.0	0.0	1.0	16.38	17.79	17.49
Ncapd2	0.0	0.0	0.0	17.18	16.3	15.69
Nin	0.0	0.0	0.0	21.48	21.19	22.87
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nov	0.0	0.0	0.0	124.61	128.44	115.44
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nsun5	0.0	0.0	0.0	10.89	10.71	11.07
Nt5dc2	0.0	0.0	0.0	4.97	5.11	5.51
Nucb1	0.0	0.0	0.0	57.36	65.02	60.05
Nup188	0.0	0.0	0.0	10.3	11.62	11.45
Olfr1382	0.0	0.0	0.0	0.0	0.0	0.0
Otud1	0.0	0.0	0.0	27.69	27.04	25.24
Parg	0.0	0.0	2.92	22.44	21.15	23.7
Pcm1	0.05	0.0	0.0	35.87	28.05	34.56
Pfn1	0.98	0.0	18.28	226.7	228.79	213.61
Phlpp1	0.0	0.0	0.0	46.57	46.47	51.56
Pigw	4.6	0.0	0.11	6.0	4.95	5.9
Plscr3	0.0	0.0	0.0	12.29	13.6	11.0
Pot1a	0.0	0.0	0.0	13.12	14.24	15.9
Prrx1	0.58	0.07	0.0	4.61	4.23	4.13
Prtg	0.0	0.0	0.0	1.22	1.12	1.24
Pyroxd2	0.0	0.0	0.0	1.45	1.52	1.37
Rdx	0.0	1.34	0.0	50.89	48.85	51.03
Reps1	264.6	0.0	0.0	32.66	33.14	33.52
Rin3	0.0	0.0	0.0	1.63	2.16	1.51
