	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_15	Htr3a_tdTpositive_cell_101	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700030A11Rik	0.0	0.0	29.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.35
1700047I17Rik2	6.05	86.64	16.19	7.99	1.16	7.53	0.4	1.52	0.0	6.42	0.48	14.19	17.56	16.4	17.92
2310079F23Rik	0.0	0.0	37.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	4.16	4.48	4.42
2810011L19Rik	0.0	0.14	24.19	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	8.41	9.31	7.9
3110021A11Rik	0.0	0.0	23.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	1.05	0.89
4930578M01Rik	0.0	0.0	26.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.56	2.21	2.19
4933404K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.09	0.68	0.9
4933426M11Rik	0.0	0.09	77.28	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.34	26.72	26.95	27.21
9430091E24Rik	0.0	0.18	10.23	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	1.03	3.22	3.05	3.49
9930021D14Rik	0.0	0.0	7.66	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0
A130022J15Rik	0.43	0.29	126.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	21.85	18.38	21.81
Abhd2	0.0	0.0	53.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49	54.68	50.93	55.98
Adamts9	0.0	0.0	0.18	0.06	0.09	0.0	0.0	0.06	0.0	0.0	0.0	0.0	1.36	1.56	1.88
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Atxn2l	0.0	0.0	38.04	17.18	405.43	14.39	0.0	0.0	0.0	0.0	0.0	1.93	111.62	109.65	119.26
Avpi1	0.0	0.0	238.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.05	32.96	33.49	33.07
B930041F14Rik	0.0	0.0	35.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	24.23	28.27	28.31
C130060C02Rik	0.0	0.0	54.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.61	0.33	1.44
Calu	0.0	0.0	401.13	0.1	0.0	0.2	1085.77	8.43	0.0	1072.1	0.0	57.6	65.58	65.24	63.15
Ccdc13	0.0	0.0	14.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	3.93	4.37	4.75
Ccdc63	0.0	0.0	4.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.09	0.24	0.09
Chchd7	0.0	0.0	75.66	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.04	38.6	40.03	38.8
Coq5	0.0	0.0	231.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.86	35.38	37.21	32.49
Coq6	0.0	0.0	149.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.4	20.43	22.82	21.17
Crh	0.0	0.0	177.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	7.93	9.71
Cst3	66199.78	61505.62	132.85	79037.77	72522.19	67515.86	70378.51	80478.24	68326.69	75159.39	84616.84	361.27	1961.51	2186.93	2204.12
Ctnnd2	0.08	0.08	183.93	0.05	0.0	0.11	0.12	0.0	0.0	0.0	0.0	59.33	85.78	88.37	95.39
Cxcl14	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.82	106.23	110.86
Dgat2	0.0	0.0	129.22	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	15.51	74.08	85.02	74.02
Diap3	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.45	0.58
Dlx6as1	0.0	0.08	0.3	0.05	0.0	0.13	0.0	0.0	0.0	0.0	0.33	0.08	12.65	11.96	16.06
E2f3	0.0	2.0	26.26	0.0	0.0	0.13	0.0	0.0	0.0	179.13	0.0	2.54	15.93	16.73	15.67
Ell2	2.2	1.45	53.7	0.0	0.54	4.81	4.46	0.0	0.22	1.28	0.38	26.23	24.06	23.02	22.1
Enpp4	0.0	0.0	54.64	3.3	0.0	0.28	0.09	0.1	0.0	0.14	0.0	9.77	20.03	19.14	18.3
Espl1	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.65	0.49
Exoc8	0.42	0.04	63.82	0.09	0.4	0.44	0.2	0.06	94.51	308.3	0.09	11.5	11.97	11.93	11.09
Fam177a	6.05	86.64	16.19	7.99	1.16	7.53	0.4	1.52	0.0	6.42	0.48	14.19	17.56	16.4	17.92
Fam59a	0.0	0.1	53.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	18.62	18.24	21.1
Fam76a	0.0	0.0	100.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.72	50.55	53.05	46.35
Fign	0.05	0.0	113.28	0.04	0.0	0.21	0.16	0.22	0.08	0.0	0.0	0.24	1.08	0.69	1.03
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Frat2	0.0	0.0	36.6	0.31	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.16	7.51	8.93	8.29
