	Gad2_tdTpositive_cell_30	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_49	Rbp4_tdTpositive_cell_174	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110054O05Rik	0.0	16.98	0.28	0.38	1.2	0.0	0.91	3.19	2.49	40.01	2.1	15.05	13.57	14.75
1700071K01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.51	27.26	0.1	0.0	0.1
1810048J11Rik	0.0	0.13	0.0	0.07	27.42	2.25	79.18	0.48	9.49	69.61	224.41	26.14	25.48	24.51
2310022B05Rik	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.31	0.0	46.11	51.31	45.81
2610020C07Rik	1.08	0.0	0.15	0.0	0.42	0.16	0.49	0.0	0.0	38.57	1.11	1.44	1.55	1.08
4930448K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.14	0.07	0.0
4930467E23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.43	0.0	1.41	1.22	1.73
4932416K20Rik	0.0	0.0	0.86	0.09	0.24	0.0	0.19	0.0	0.0	0.22	0.47	0.17	0.24	0.15
AA986860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	2.44	2.49	2.45
Acad12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31	0.0	2.32	3.02	2.71
Adam15	0.16	0.0	1.44	1.18	28.54	2.68	0.5	0.0	5.34	10.45	0.0	76.22	84.02	81.5
Ager	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	4.38	0.0	0.44	1.1	0.83
Agpat1	0.0	13.17	0.0	5.98	11.38	8.42	5.86	11.04	21.14	159.82	9.91	125.67	129.98	132.53
Alk	0.0	0.0	0.0	0.0	0.0	0.0	0.06	5.74	0.0	15.29	0.0	4.35	4.09	4.66
Alox5ap	0.0	0.0	0.0	99.39	0.0	0.0	0.0	0.0	0.0	40.4	0.0	6.43	5.05	6.03
