	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_13	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51
1700034H14Rik	0.0	0.0	0.0	77.37	0.0	20.72	28.47	54.49	30.28	54.69	60.0	156.67	0.0	65.15	1.65	92.88
2610044O15Rik	0.0	32.49	240.25	107.75	37.45	18.85	4.12	19.37	14.16	3.22	145.74	242.65	41.24	9.6	9.02	111.18
4930549G23Rik	0.0	0.0	25.27	0.0	0.0	9.73	0.0	0.0	0.0	0.0	0.0	26.96	0.0	0.0	0.0	0.0
A030009H04Rik	0.0	599.75	793.91	73.62	296.95	79.74	221.31	75.75	189.12	413.2	241.71	902.88	379.24	372.8	151.56	142.61
A530058N18Rik	0.0	12.77	0.0	0.0	71.75	67.28	26.41	36.04	72.35	49.28	75.4	113.75	32.18	33.38	76.56	81.59
AW549542	0.0	0.0	0.0	0.0	0.0	0.24	0.21	0.17	0.0	0.0	0.25	0.5	0.0	0.05	0.0	0.0
Ajap1	0.0	0.0	0.0	0.0	0.16	0.0	10.24	0.0	6.78	0.0	0.85	87.76	21.47	0.0	0.0	0.0
Akr1d1	0.14	0.09	0.97	0.5	1.7	1.25	0.43	1.02	2.3	0.25	0.66	2.5	1.13	2.45	0.94	0.85
Alg5	0.0	0.0	0.0	43.63	89.69	38.22	0.0	8.93	0.19	0.0	69.36	148.16	78.44	0.0	0.0	0.0
Amy2a2	0.0	0.03	0.11	0.0	0.14	0.18	0.07	0.14	0.14	0.7	0.23	0.22	0.53	0.89	0.23	0.09
Amy2a3	0.0	0.03	0.11	0.0	0.14	0.18	0.07	0.14	0.14	0.7	0.23	0.22	0.53	0.89	0.23	0.09
Amy2a4	0.0	0.03	0.11	0.0	0.14	0.18	0.07	0.14	0.14	0.7	0.23	0.22	0.53	0.89	0.23	0.09
Arl1	0.0	118.89	328.38	109.06	172.33	123.11	205.59	128.75	229.91	129.93	274.37	496.61	84.14	149.11	154.0	82.36
Atg3	0.0	0.0	44.8	44.5	4.76	0.0	0.0	4.3	34.12	7.36	0.0	86.73	13.54	7.55	0.0	58.28
B4galnt2	0.77	0.28	6.38	0.26	4.27	3.46	5.98	3.1	2.13	1.45	2.58	5.04	3.26	1.7	2.26	3.22
BC031781	0.0	0.0	1.93	12.84	4.32	4.65	68.67	3.37	30.72	24.5	47.5	150.9	26.98	72.07	17.89	0.87
Becn1	0.0	0.0	236.35	114.18	113.64	45.96	105.45	1.67	1.52	42.93	65.67	279.54	167.09	64.32	3.67	5.4
Bloc1s3	0.23	0.27	3.46	0.32	5.32	3.22	2.31	2.11	2.54	4.12	2.7	5.18	7.12	3.22	2.09	3.06
Bop1	0.0	0.0	38.51	5.44	0.0	11.56	0.0	51.06	0.11	98.19	0.0	148.4	0.0	0.0	0.0	0.55
Ccdc78	0.47	0.13	13.45	0.0	3.08	1.15	1.5	5.59	5.54	1.06	2.53	12.9	12.34	3.68	3.35	3.71
Cdk11b	0.0	0.0	0.0	20.41	41.95	35.65	5.77	66.94	28.15	15.16	33.01	155.39	26.08	0.73	1.23	58.97
Chkb	0.0	0.0	107.88	0.72	78.91	0.0	0.0	1.42	1.6	9.9	5.78	110.8	0.0	6.75	9.37	40.65
Clk3	0.0	0.09	97.02	70.22	0.0	22.7	0.9	32.35	0.0	117.35	114.25	136.87	58.57	0.0	74.95	86.89
Cntfr	0.0	0.0	3.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.04	0.0	0.0	0.0	0.0
D14Ertd668e	0.0	0.0	0.0	0.0	0.91	0.48	1.0	0.46	0.31	0.22	0.81	19.57	13.92	0.12	0.0	0.5
Deaf1	0.0	3.03	10.95	0.0	46.46	23.52	0.0	7.94	2.21	0.0	0.0	53.9	47.52	48.93	0.0	0.0
Dis3l	0.0	0.0	2.6	14.39	0.0	0.37	0.48	0.09	12.47	23.61	0.0	72.73	1.44	0.32	0.14	2.67
Dnajc12	0.0	108.77	112.64	9.9	187.66	111.48	76.15	99.37	143.4	154.54	38.17	143.39	0.0	120.03	109.04	0.0
Dolk	0.0	145.37	120.97	0.0	0.0	0.0	7.94	34.14	32.21	46.78	67.18	224.76	0.0	28.55	3.0	0.0
Dopey2	0.0	0.0	18.62	0.07	0.57	19.67	0.0	0.0	0.0	9.42	0.0	32.35	7.97	1.02	0.86	6.35
Dzip1l	0.0	2.43	0.56	0.0	1.09	0.16	0.0	0.08	0.0	0.1	13.35	53.1	19.26	2.06	0.32	0.06
Eml6	0.0	0.0	0.04	0.0	0.35	0.0	0.27	0.0	7.19	0.0	0.05	18.55	0.0	1.93	0.13	0.0
Epb4.1l2	0.0	0.0	23.88	9.76	26.82	2.26	0.26	0.0	20.1	17.24	25.55	71.75	60.7	35.49	0.0	25.81
Fam131a	0.0	0.0	93.17	0.0	0.0	0.0	0.0	32.31	0.0	17.52	9.05	75.33	7.71	15.01	6.08	45.67
Fbxo16	0.0	0.0	0.0	0.0	26.36	0.0	0.0	0.0	0.0	40.61	0.0	79.82	40.62	0.0	40.69	0.0
Gigyf1	0.0	16.63	15.65	5.75	12.26	10.75	10.99	22.56	9.2	30.33	12.78	46.05	28.69	10.84	10.07	10.51
Glrp1	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0
Gm10845	115.62	58.95	269.04	84.34	175.1	129.46	171.82	190.0	158.77	128.5	149.06	185.48	124.98	93.97	105.02	116.38
Gm11545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0
Gm14431	0.0	0.05	19.34	0.74	0.0	5.1	1.79	1.31	2.52	4.65	1.51	24.4	6.24	4.83	0.24	1.92
Gm239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	1.05	0.0	4.51	0.0	0.0	2.94	0.0
Gm8898	0.0	0.05	19.34	0.74	0.0	5.1	1.79	1.31	2.52	4.65	1.51	24.4	6.24	4.83	0.24	1.92
Gm9866	0.0	160.84	131.6	0.0	49.23	145.12	97.6	25.08	23.51	0.0	73.16	101.84	266.52	0.0	73.09	0.0
Gtpbp2	0.0	0.0	92.32	0.0	37.61	1.11	7.49	0.0	0.0	9.74	0.0	61.63	2.5	1.92	19.94	4.77
Imp3	0.0	0.0	70.51	0.0	51.7	0.0	14.74	10.36	0.0	20.43	0.0	77.84	24.55	0.0	0.0	0.0
Imp4	0.0	0.0	0.0	0.11	36.72	19.72	0.0	0.55	11.29	0.0	0.0	104.94	133.31	0.0	37.18	0.0
Itgam	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.2	0.06	0.15	0.28	0.65	0.19	0.08	0.17	0.22
Kcnh7	0.0	0.0	70.76	1.3	73.67	5.61	44.49	5.46	8.72	9.41	12.99	128.09	19.08	30.77	4.06	7.03
LOC624759	0.0	0.0	0.99	0.18	0.33	0.92	4.33	1.39	0.37	0.96	0.77	10.57	2.1	0.61	0.5	1.25
Laptm4a	0.0	1.99	0.0	28.59	43.81	35.59	0.0	51.5	25.08	27.8	10.61	71.97	31.85	15.32	87.83	128.91
Ldhb	2593.67	5855.34	8550.52	10118.08	10894.4	10165.1	11261.44	10004.69	13571.31	12546.17	9755.78	7891.81	7750.55	8351.44	8111.86	11746.38
Lmx1a	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.23	0.0	0.11	0.0	0.06
Lrrc3	0.0	0.13	2.44	0.07	0.95	0.87	1.16	1.53	1.37	2.14	2.88	3.9	2.66	1.19	1.26	1.88
Lyplal1	0.0	0.0	13.35	0.0	0.0	2.09	0.0	46.08	1.07	42.63	8.7	97.98	0.0	0.0	1.36	0.0
Mgat1	0.0	0.0	0.63	0.0	8.21	22.56	0.0	0.12	0.22	0.0	0.0	51.5	0.73	0.0	19.35	18.95
Mgat5	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.53	27.29	46.39	0.0	0.0	0.0	0.0
Mob3c	0.0	0.41	17.21	0.0	1.63	16.77	40.28	4.26	2.54	1.78	2.51	63.32	2.92	5.74	4.82	2.63
Mrpl19	0.78	28.25	8.78	23.9	16.07	11.34	2.33	51.12	34.43	34.42	11.89	82.02	24.76	38.41	14.78	49.97
Nfs1	0.0	1.15	18.18	49.83	0.0	0.64	0.0	89.89	22.76	56.71	33.75	216.57	63.17	2.4	0.0	53.99
