	Cux2_tdTpositive_cell_67	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_123	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700007F19Rik	9.83	0.0	0.0	0.0	0.49	0.37	0.88
1700051A21Rik	0.41	0.0	0.0	0.0	0.37	0.42	0.38
4930451I11Rik	22.64	0.0	0.0	0.0	0.22	0.0	0.0
4930526I15Rik	32.39	0.0	0.0	0.0	9.85	11.43	11.1
4933401P06Rik	1.94	0.0	0.0	0.0	0.8	0.32	1.17
6330409N04Rik	255.03	0.0	0.0	0.22	62.63	66.4	60.54
6720468P15Rik	0.43	0.0	0.0	0.0	0.37	0.42	0.79
A230056P14Rik	68.89	0.0	0.0	0.0	23.66	21.59	19.52
Abr	106.37	0.0	0.0	7.62	272.97	271.82	286.04
Aqp3	0.61	0.0	0.0	0.22	0.07	0.21	0.0
BC003331	212.76	0.0	0.0	0.0	32.91	29.84	33.45
BC029214	128.44	0.0	0.0	0.0	41.71	43.11	43.4
Btn2a2	0.19	0.0	0.0	0.0	1.19	1.06	1.33
Btnl9	0.23	0.0	0.0	0.0	0.12	0.11	0.04
Cald1	11.46	0.0	1.85	0.0	19.01	17.05	18.07
Cc2d1b	32.37	0.0	0.0	0.0	24.99	25.37	24.34
Ccne2	69.97	0.0	0.0	0.0	4.5	4.41	4.46
Cdhr3	0.38	0.0	0.0	0.0	1.07	1.16	1.1
Cep350	14.6	0.0	0.0	0.0	14.35	12.47	14.36
Chrm3	1.07	0.0	0.0	0.0	41.39	40.9	39.7
Clk3	177.71	0.0	0.0	0.0	47.75	49.88	47.6
Cpd	44.31	0.0	0.0	0.0	39.33	37.42	38.35
Cul4b	101.27	0.0	0.0	0.07	33.07	30.49	31.84
Cyth3	12.39	0.0	2.0	0.0	26.55	27.59	26.54
D730045A05Rik	0.46	0.0	0.0	0.0	0.17	0.1	0.71
Dars2	158.84	0.0	1.74	0.27	15.36	14.16	13.53
Ddx55	49.09	0.0	0.0	10.77	21.72	21.72	21.82
Dennd5a	53.8	0.0	121.6	0.0	158.89	159.29	162.39
Dgka	88.76	0.0	0.0	0.0	8.34	8.44	9.21
Duxbl	0.28	0.0	0.0	0.0	0.92	2.0	1.18
Ebf4	2.77	0.0	0.0	0.0	9.17	8.46	10.38
Edem2	312.66	0.0	0.0	0.0	18.59	18.24	17.45
