	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_107	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_169	Rbp4_tdTpositive_cell_180	Rorb_tdTpositive_cell_40	Slc17a6_tdTpositive_cell_24	Sst_tdTpositive_cell_18	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040B10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.49	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0	77.39	0.0	43.29	0.0	0.0	0.0	19.09	0.0	62.52	0.0	0.0	0.0	7.35	0.74	0.0	15.91	7.05	1.78	0.0	0.0	0.0	0.0	0.0	62.38	1.23	0.0	0.0	0.0	0.0	0.0	0.0	6.04	6.14	3.24
1700003M02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	2.13	2.69
1700007K13Rik	0.0	0.0	0.0	12.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.06	0.0	0.0	20.77	0.0	0.0	0.0	57.97	0.0	0.0	0.0	4.2	0.0	0.0	4.07	0.0	0.9	2.73	0.0	0.0	0.0	2.98	0.0	0.0	2.84	0.0	0.0	0.0	0.0	0.0	0.0	4.82	5.26	4.45
1700034H14Rik	0.0	36.86	0.0	65.57	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.68	80.93	0.0	0.0	0.0	129.4	0.0	0.0	35.01	0.0	0.0	0.0	2.03	0.0	0.0	45.61	0.0	229.01	0.0	0.29	117.29	0.0	58.43	66.99	175.72	0.0	0.0	0.18	31.25	27.89	0.0	14.47	11.08	23.31	16.49	54.26	80.63	0.0	0.0	0.0	266.47	0.0	0.0	224.94	0.0	0.0	0.0	0.0	12.19	13.2	13.37
1700096K18Rik	0.22	0.29	0.46	0.44	1.35	0.23	0.23	0.05	0.5	0.17	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.42	0.44	0.0	0.0	0.0	0.94	0.0	0.45	0.0	0.22	0.7	1.61	0.0	2.29	0.0	0.0	0.67	0.37	0.39	0.85	0.41	0.16	0.21	8.06	0.2	2.36	0.0	0.0	0.98	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.4	0.31	0.62	0.0	0.18	0.0	3.24	3.83	3.56
2700081O15Rik	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.26	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	1.89	0.0	0.92	0.0	0.14	0.0	0.0	0.0	0.39	15.49	0.0	0.0	0.0	0.0	3.14	0.0	0.23	0.0	1.84	13.85	0.28	0.0	0.06	0.0	4.08	0.14	0.97	1.35	0.0	33.75	0.32	0.06	0.0	0.0	26.28	0.0	0.24	0.0	0.05	1.99	25.18	28.18	27.6
4930507D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.3	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	1.03	1.28
A830052D11Rik	0.28	0.8	1.07	0.58	0.83	0.0	0.0	0.0	0.0	0.17	0.65	1.49	1.5	1.15	1.68	0.0	0.73	0.27	0.56	0.6	0.4	0.3	0.0	1.43	0.86	0.19	0.57	0.21	0.49	0.96	50.3	0.86	3.17	1.93	1.98	1.31	1.28	0.9	2.16	1.02	0.0	1.25	0.25	0.97	0.44	0.31	0.94	6.62	0.88	0.95	0.38	1.24	0.25	0.35	1.2	0.48	0.71	0.27	0.0	0.85	1.17	3.93	2.61	4.15
AI429214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	3.48	0.24	0.0	0.16	0.35	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.07	0.0	0.0	0.0	0.08	0.0	0.0	37.07	0.0	1.56	0.0	0.0	0.18	0.0	0.0	0.19	0.6	0.0	0.18	0.37	0.0	0.0	0.0	0.18	0.5	0.0	0.0	0.0	0.0	0.28	0.08	0.0	0.0	0.2	0.0	0.06	0.13	0.0	3.3	3.29	3.74
AW046200	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.94	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	66.22	0.0	0.0	0.0	0.19	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	1.47	0.64	1.08
