	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_174
1700047I17Rik2	0.81	4.25	5.88	1.19	19.6	1.22	0.36	25.27
2700089I24Rik	0.51	0.0	5.74	0.37	22.84	0.0	0.82	10.62
4930451C15Rik	3.74	9.15	64.32	3.54	28.64	2.41	19.04	132.61
4930470H14Rik	38.7	481.43	1995.85	622.61	1090.14	113.22	132.91	3545.84
4930511M06Rik	16.95	59.53	202.05	31.0	218.33	18.65	92.08	486.26
4930578E11Rik	0.0	0.0	4.29	1.0	1.89	0.0	0.21	3.04
4932411L15	132.17	439.88	1448.86	839.99	1150.41	185.0	128.58	2548.71
9130221F21Rik	1.8	1.14	7.61	0.27	71.14	0.72	10.6	30.93
A130077B15Rik	333.82	600.89	2364.9	313.88	2411.2	164.17	959.54	6952.85
A630089N07Rik	288.54	872.74	2251.36	790.05	1791.01	239.86	486.18	4003.08
A730017L22Rik	21.15	67.99	175.54	28.98	154.45	8.91	84.87	736.13
Acsm2	0.47	1.67	4.69	2.52	3.58	0.75	1.67	4.71
Amy2a2	0.0	0.37	0.71	0.05	0.95	0.09	0.13	2.48
Amy2a3	0.0	0.37	0.71	0.05	0.95	0.09	0.13	2.48
Amy2a4	0.0	0.37	0.71	0.05	0.95	0.09	0.13	2.48
Ctla2a	27.9	57.03	190.57	36.51	246.66	59.68	103.53	783.78
Cxcl5	0.28	1.42	91.6	1.28	37.34	0.38	3.42	119.97
Cyp2j5	1.81	3.72	11.3	1.93	8.61	0.34	6.94	32.91
D830005E20Rik	19.06	44.77	182.03	34.1	270.67	17.62	52.36	340.08
Ermap	0.0	2.27	5.3	0.96	3.03	0.21	1.5	23.92
Fam177a	0.81	4.25	5.88	1.19	19.6	1.22	0.36	25.27
Gm17821	118.44	333.36	776.06	256.28	800.36	83.22	242.0	1734.48
Gm5460	0.0	2.69	1.77	0.11	0.56	0.0	0.81	27.65
Gm6300	19.2	80.81	205.49	34.85	233.22	18.04	98.38	651.67
Grk4	109.57	334.57	1259.42	273.22	796.28	91.85	438.86	2967.09
H2-Q4	74.91	83.41	232.14	19.82	143.04	12.81	57.22	583.73
Il1rl1	1.99	2.02	7.57	1.57	2.6	1.27	2.14	19.83
Il2ra	0.49	1.32	2.24	0.51	1.27	0.15	0.4	4.0
Kcnq1ot1	20.37	68.5	175.97	43.22	186.56	15.44	96.84	465.29
L3mbtl4	0.2	0.98	2.61	0.23	6.05	0.05	0.92	7.52
Olfr613	35.76	54.63	185.93	37.9	69.89	10.65	54.34	402.72
Pi15	8.76	14.07	51.24	4.59	42.42	2.1	16.54	147.8
Rdh1	13.02	20.58	74.51	5.29	64.55	2.64	30.48	213.95
Sass6	0.6	2.34	6.36	1.03	5.54	0.11	1.6	94.53
Slfn9	14.67	27.54	80.73	38.65	44.21	9.13	9.73	151.28
Tmppe	0.77	1.17	3.13	0.92	2.71	0.08	1.04	8.81
Tyms	33.05	38.08	140.05	17.19	85.63	12.21	38.06	441.41
Veph1	2.8	9.94	11.82	2.33	19.02	1.5	5.52	28.39
Xrcc3	0.0	3.57	18.44	1.73	10.11	0.37	2.03	33.28
Zfp488	132.75	227.35	651.77	114.93	450.72	43.31	147.56	1916.57
mt_AK131579	55662.18	73067.83	56311.06	94403.3	50469.69	60705.47	59803.41	50260.41
