	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610030E20Rik	0.73	0.99	1.63	0.74	1.53	1.17	2.32	0.99	2.84	14.38	2.21	0.97	1.21	1.35	0.73	0.48	14.31	12.93	13.89
1700020G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.36	0.0
1700091E21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.88	1.12
2610307P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.9	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.22	0.1
4930593A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.45
4933416C03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.05
5730528L13Rik	0.26	0.0	0.0	0.0	0.0	22.58	0.0	0.0	0.0	30.96	42.69	10.77	0.0	0.0	0.0	0.0	16.59	15.92	16.38
9230116N13Rik	0.21	0.0	0.15	0.0	0.15	0.4	0.2	0.0	0.0	26.58	0.0	0.0	0.0	0.18	0.0	0.0	0.29	0.42	0.53
9430031J16Rik	0.0	0.1	0.0	12.49	0.0	0.0	0.0	0.0	0.0	22.4	0.0	0.0	0.0	0.0	0.0	7.39	8.38	6.63	8.52
9830147E19Rik	0.0	1.31	3.73	2.58	1.79	0.87	1.94	0.67	2.03	43.22	0.83	1.6	0.95	1.19	2.41	1.27	1.7	1.42	1.68
A930019D19Rik	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.44
AU022252	0.0	51.36	0.0	0.0	0.0	0.0	0.0	0.0	0.86	26.79	0.0	0.0	0.0	0.0	0.0	0.0	16.01	16.89	16.36
Agrp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.44	0.97
Als2cl	0.94	0.0	0.67	0.44	0.48	0.16	0.56	0.15	0.14	10.02	0.0	0.3	0.33	0.0	0.54	0.27	6.49	7.6	6.57
Arhgef2	0.86	0.71	11.43	31.84	20.03	13.1	6.39	1.63	17.27	33.45	0.0	0.09	13.35	20.82	1.54	0.29	98.74	102.55	102.46
B230319C09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.39	0.55
Cass4	0.2	0.13	0.33	0.3	0.19	0.21	0.09	0.4	0.53	40.61	0.32	0.0	0.27	0.21	0.3	0.15	2.32	1.59	2.18
Ccl28	0.39	0.0	0.09	0.0	0.08	0.0	0.11	0.0	0.0	20.91	0.0	0.0	0.0	0.08	0.1	0.23	0.87	2.26	2.26
Cd247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6
Ceacam18	0.0	0.0	0.19	0.0	0.0	0.0	0.42	0.0	0.0	47.11	0.23	0.0	0.13	0.0	0.0	0.0	0.1	0.0	0.05
Chek1	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	15.86	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.96	0.96
Chpf	0.0	0.0	0.0	0.76	5.94	25.81	1.57	0.13	41.39	47.92	24.81	0.0	2.16	0.71	1.51	0.0	61.67	77.14	69.66
Clec4a1	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.5	0.33
Cntf	0.0	0.0	0.0	0.0	0.0	7.32	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	1.75	1.33	1.29
Cpxm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.74	0.0	0.0	0.0	0.0	0.0	0.0	6.82	7.88	6.11
Crlf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48	0.0	0.0	0.0	0.0	0.0	0.0	3.75	5.36	4.69
D630023F18Rik	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.18	0.0	63.97	0.0	0.0	0.0	0.0	0.0	0.0	3.41	4.21	3.31
Dclk2	0.0	0.0	0.0	0.0	0.36	1.0	0.0	0.0	0.0	58.31	2.25	0.48	0.25	0.09	0.0	0.32	45.98	50.09	47.27
