	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
2810403A07Rik	0.0	7.82	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	22.57	16.56	30.78	75.43	68.35	0.38	49.23	49.95
2810432L12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	86.93	40.69	51.73	93.26	63.08	0.55	247.56	90.48	52.67	50.57
4930572J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	0.0	23.94	0.0	62.99	67.03
6430598A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	3.81	8.86	5.61	8.44	0.0	54.53	57.14
AI593442	0.0	0.0	0.0	0.0	0.0	0.0	194.83	0.06	41.98	492.42	322.57	367.12	481.25	135.4	1059.81	119.17	97.39	98.41
Abat	0.0	0.0	0.0	0.0	0.0	0.0	101.58	0.0	8.55	91.83	66.46	176.71	120.68	118.93	371.28	52.72	168.41	169.07
Abhd3	0.0	0.0	0.0	0.0	0.0	0.0	96.17	0.0	328.65	113.73	130.79	0.0	49.68	93.54	83.35	0.37	66.17	68.77
Adam22	0.0	0.0	0.0	0.0	0.0	0.0	15.84	0.05	2.52	45.03	61.0	24.73	35.69	51.2	182.38	86.83	89.53	89.57
Arl2	0.0	0.0	0.0	0.0	0.0	0.0	179.12	0.0	0.0	115.99	82.87	50.18	219.72	286.45	552.05	240.96	87.39	87.68
Atcay	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.07	1.73	4.38	32.41	4.48	30.19	60.72	73.81	31.58	152.84	151.1
B630005N14Rik	0.0	0.0	141.27	0.0	0.03	0.08	0.0	1.47	1.14	0.0	4.54	0.08	15.29	0.13	60.26	0.49	23.16	20.92
Bcat1	0.0	0.0	0.0	0.0	0.0	0.0	34.18	0.02	0.49	21.73	32.48	18.57	72.05	53.74	173.89	6.68	28.48	29.07
Brd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.27	27.41	25.02	37.94	21.68	46.16	22.24	8.43	107.32	108.59
Capn10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.63	0.12	0.0	0.0	40.1	0.24	22.22	24.07
