	Calb2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_84	Ndnf_tdTpositive_cell_15	Nos1_tdTpositive_cell_10	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_51	Sst_tdTpositive_cell_73	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_53
1110008J03Rik	0.0	0.0	0.0	0.0	0.0	0.0	6.93	0.0	0.0	0.0	13.28	50.5	0.19	49.82	0.0	0.0	198.95	35.68	0.0	0.0	0.0	36.2
3830406C13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.5	154.04	0.25	48.72	0.0	115.94	127.26	119.1	0.0	0.0	0.0	25.63
5430405H02Rik	5.45	5.73	5.41	69.98	3.75	2.96	4.65	2.74	16.41	8.88	80.17	8.93	24.52	7.15	0.57	39.18	105.43	23.04	0.0	4.09	5.39	9.52
5730403B10Rik	367.87	168.45	88.11	367.56	216.01	138.03	0.09	173.14	324.83	107.08	359.81	194.47	444.49	386.24	242.5	244.42	725.9	366.02	76.55	208.35	46.45	643.97
Aacs	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	1.34	0.0	44.8	1.4	123.24	0.0	0.0	1.0	0.9	9.44	0.0	0.0	0.0	108.45
Akap7	0.0	138.42	101.49	61.58	95.25	0.0	0.11	187.47	0.0	4.73	176.53	30.28	1.33	17.47	4.9	13.71	124.3	110.95	0.0	0.53	0.16	280.73
Amy2a2	0.33	0.06	0.08	0.08	0.02	0.0	0.74	0.13	0.12	0.33	0.06	0.37	0.06	0.12	0.1	0.2	0.5	0.52	0.0	0.08	0.0	0.34
Amy2a3	0.33	0.06	0.08	0.08	0.02	0.0	0.74	0.13	0.12	0.33	0.06	0.37	0.06	0.12	0.1	0.2	0.5	0.52	0.0	0.08	0.0	0.34
Amy2a4	0.33	0.06	0.08	0.08	0.02	0.0	0.74	0.13	0.12	0.33	0.06	0.37	0.06	0.12	0.1	0.2	0.5	0.52	0.0	0.08	0.0	0.34
Ap2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.23	30.77	21.11	43.38	0.52	0.1	0.0	1.29	90.28	33.52	0.0	0.0	1.15	35.92
Arl5a	0.0	59.34	80.82	96.66	0.0	0.0	0.0	77.35	54.44	140.97	262.42	1.78	165.83	14.89	0.16	238.89	262.17	83.88	0.0	1.22	90.1	233.2
Atg5	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0	317.49	116.82	78.22	145.25	66.75	57.54	21.12	116.02	25.37	0.0	0.0	0.0	97.56
Bcar1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.91	11.43	0.22	0.0	0.09	86.84	0.2	0.0	1.88	20.97	120.01
Ccdc109a	0.0	53.5	0.0	0.0	0.0	4.77	135.41	0.0	0.0	0.0	94.43	0.0	0.0	35.27	26.38	55.07	53.15	36.47	0.0	0.0	0.0	170.55
Ccdc58	0.0	0.0	74.91	0.0	0.0	0.0	0.0	0.0	61.29	0.0	0.0	0.0	87.89	73.28	0.0	11.98	60.75	0.0	0.53	0.0	0.0	122.09
Diras1	0.28	0.0	2.9	0.28	0.0	0.59	0.0	0.0	1.15	0.0	21.07	14.2	40.6	1.31	0.0	0.4	8.47	11.44	0.13	0.0	0.0	34.17
Dock10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.81	0.0	46.54	0.0	7.41	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	37.01
Fam69a	0.0	0.0	0.0	11.5	0.0	0.0	0.0	0.0	104.8	0.0	145.88	0.73	6.13	59.1	0.0	0.85	0.0	289.84	0.0	0.06	16.38	311.86
Gm7457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.31	0.0	0.0	0.4	0.0	0.0	0.19	0.2	0.34
Haghl	185.67	0.0	88.15	0.0	0.0	0.0	0.0	119.4	168.83	385.85	365.11	240.52	95.0	199.24	262.73	307.35	266.36	673.7	0.0	203.02	273.8	279.08
