	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_7	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_67	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_3	Rorb_tdTpositive_cell_55	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16
Acsbg1	885.83	0.0	0.0	1178.61	681.8	2186.41	0.0	0.0	0.0	199.81	38.08	1337.62	268.73	655.63	935.56	2340.34	3.78	0.0	0.0	438.64	692.94	1183.07	29.78
Apoe	830.53	43.18	0.0	409.04	266.7	400.0	0.0	0.0	0.0	683.47	898.24	1564.82	335.53	922.26	316.61	674.23	219.41	0.26	0.0	691.0	819.69	895.27	596.1
Cbs	340.89	0.0	0.0	409.14	281.46	255.77	0.0	0.0	0.0	2.59	5.06	47.74	330.73	82.79	312.38	324.15	144.83	0.0	0.0	260.81	854.08	581.73	472.57
Cldn10	1855.26	0.0	0.0	4764.62	2585.15	3755.53	0.0	0.0	0.0	1305.06	3751.75	4010.11	4676.88	1.04	3135.37	1052.0	1463.53	0.0	0.0	2190.31	539.32	3039.7	2927.2
Clu	26766.18	0.0	0.0	43205.41	24449.86	23836.7	1751.29	1087.41	0.0	24519.01	28167.35	20006.22	26961.32	29404.63	28438.97	32708.09	19562.5	1.62	0.0	20559.94	28173.78	32237.45	27458.42
Cnn3	0.0	0.0	0.0	25.74	24.53	321.5	0.0	0.0	0.0	0.0	623.04	229.2	537.94	20.01	873.61	0.3	0.0	0.0	0.0	2.38	753.88	563.13	0.29
Cspg5	36.33	0.0	0.0	99.1	40.23	81.2	7.44	0.0	0.0	55.14	39.12	360.61	297.36	153.18	103.51	232.27	47.02	0.0	27.86	17.85	354.54	182.54	295.75
Daam2	168.19	0.0	0.0	130.17	9.65	429.02	0.0	0.0	0.0	0.11	7.35	266.99	0.0	0.68	10.34	58.01	7.05	0.0	0.0	150.08	18.76	232.08	0.14
Fabp5	329.18	0.0	0.0	1894.17	528.72	2641.51	478.52	0.0	0.0	201.13	163.68	1003.61	1458.62	552.57	1064.09	849.86	0.0	0.36	0.0	610.96	109.01	387.76	0.32
Fgfr3	0.59	0.0	0.0	537.92	375.6	481.5	0.0	0.98	0.0	398.84	427.81	228.06	647.45	409.8	20.61	397.77	5.18	0.08	0.0	142.29	510.78	476.72	32.67
Hadhb	540.05	0.0	0.0	173.07	625.64	1382.77	309.7	0.0	0.24	0.35	192.41	892.51	0.4	0.0	702.99	0.31	0.31	0.67	0.0	875.01	1.91	2027.0	1038.58
Igsf11	15.23	0.0	0.35	90.26	75.0	84.47	14.62	0.12	0.38	99.58	98.06	127.75	104.32	57.79	90.74	64.99	19.55	1.03	0.31	32.44	21.14	228.37	126.61
Il18	82.04	0.0	0.0	1033.57	1372.86	747.78	0.0	692.1	0.0	2396.7	161.94	705.73	1566.38	0.0	1220.93	5.07	20.6	0.39	0.0	764.11	975.82	924.31	496.09
Ilk	312.91	66.49	0.0	400.76	0.26	990.14	0.0	0.0	0.0	22.72	0.0	691.89	571.99	824.29	470.97	114.01	0.0	0.37	0.0	890.1	1.07	299.5	0.16
Mfge8	7087.4	0.21	9.18	4644.63	4105.87	4369.03	0.0	0.0	0.0	4860.32	8721.76	5580.1	8259.02	8914.64	3572.72	8324.44	2292.69	0.48	0.0	2857.7	6090.52	8833.57	4430.23
Mlc1	337.06	0.0	0.0	15.85	4.43	29.84	0.0	0.0	0.0	481.0	15.44	1477.54	114.28	38.55	101.03	89.69	2.36	0.0	0.0	282.91	425.73	13.37	100.72
Mt1	10285.25	0.0	2023.32	8909.51	11278.24	9518.94	525.03	0.0	1677.91	9719.89	9724.23	5174.94	4995.08	5669.28	10565.8	9478.03	3937.21	3.88	0.0	8494.84	13718.19	11271.3	15408.87
Omg	429.12	0.0	0.0	1393.66	161.5	2513.58	28.98	254.6	0.0	1314.09	675.14	975.43	2326.13	2530.19	198.24	1247.09	6.04	0.87	313.64	789.84	932.72	903.73	755.97
Pdia4	188.79	21.62	4.14	505.58	0.0	6.49	1.19	2.08	0.0	4.94	4.64	329.75	1156.74	2.02	291.89	503.74	0.0	0.39	0.0	35.67	577.65	550.11	1.95
Qk	388.07	31.88	241.78	461.5	602.69	1649.6	0.0	32.77	0.34	652.27	567.02	1540.89	606.0	1119.43	1451.27	1452.41	522.64	4.64	0.14	1988.5	242.12	1250.13	790.67
Scg3	1224.55	0.0	0.0	1538.59	1308.69	1486.05	53.67	0.0	0.0	393.58	2055.06	756.55	2090.68	649.83	1130.38	1229.91	961.79	0.0	0.0	209.51	709.93	1738.36	1139.91
Sox9	454.02	0.0	0.0	630.47	150.62	1070.53	0.0	49.44	0.0	766.71	278.46	671.55	179.66	131.91	169.81	797.91	0.29	0.0	0.16	180.05	376.15	469.63	526.93
Tmem59	2461.96	36.04	1154.16	2057.26	947.66	1477.51	248.05	502.36	0.0	1412.81	2394.76	1386.58	2188.92	982.3	1758.5	1440.44	1005.29	1.06	197.11	2044.45	3820.7	1948.55	883.28
Tpp1	0.13	0.0	0.0	111.97	494.92	186.35	0.24	0.0	0.0	3.91	602.18	518.14	776.13	313.57	189.99	611.25	0.17	0.47	0.17	378.82	686.68	802.53	0.17
Tspan31	12.83	0.0	0.31	317.07	0.62	1025.61	0.0	0.52	6.82	735.86	1.56	2415.51	1499.32	156.75	1123.26	784.69	0.4	6.95	1.44	786.33	891.47	1036.94	0.56
Ttyh1	165.41	0.99	0.3	818.21	181.54	286.18	0.85	5.28	0.0	758.41	433.74	642.89	472.14	1681.87	480.57	765.72	32.59	2.81	143.11	438.25	553.79	468.18	827.67
