	PvalbF.Gad2_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_4	Vip_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700066M21Rik	0.0	0.0	0.0	26.41	25.59	23.41
1700084E18Rik	0.0	0.0	0.0	0.74	1.39	0.51
1700101I11Rik	0.0	0.0	0.0	4.18	3.82	5.75
2310028H24Rik	0.0	0.0	0.0	162.12	167.13	173.94
2410016O06Rik	0.0	0.0	0.0	14.93	17.08	16.01
3110021A11Rik	0.0	0.0	0.0	1.11	1.05	0.89
3830431G21Rik	0.0	0.0	0.0	1.9	1.88	2.57
4922505E12Rik	0.0	0.0	0.0	0.05	0.0	0.1
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930487H11Rik	0.0	0.0	0.0	0.68	0.64	0.59
5830403M04Rik	0.0	0.0	0.0	0.16	0.31	0.16
6330410L21Rik	0.0	0.0	0.0	0.3	0.21	0.34
9230112J17Rik	0.0	0.0	0.25	1.39	1.21	1.57
AI118078	0.0	0.0	0.0	7.88	8.9	7.25
Abca8a	0.0	0.0	0.0	3.92	3.11	3.03
Ace3	0.0	0.0	0.0	0.22	0.17	0.0
Adamts6	0.0	0.0	0.0	1.71	1.92	2.25
Adcy10	0.0	0.0	0.0	0.28	0.3	0.43
Agl	1.86	3.48	0.4	14.67	13.73	15.18
Arl10	0.0	0.0	0.0	23.1	23.85	23.95
Atg14	1.59	0.0	0.0	16.42	17.0	16.31
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC023829	0.0	0.0	0.0	37.65	38.52	34.82
BC068281	1.72	0.0	4.94	7.78	7.11	7.61
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmp2k	0.0	0.0	0.0	8.64	7.34	8.32
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calcoco2	0.0	0.0	0.0	0.26	0.24	0.8
Cast	0.16	0.0	0.0	8.48	6.88	7.46
Cbr3	0.0	0.0	0.0	18.32	17.67	18.74
Ccng2	0.0	0.0	0.0	47.58	48.77	45.6
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst15	0.0	0.0	0.0	29.18	28.82	29.43
Chuk	0.52	0.0	0.0	32.04	28.94	31.5
Cpn2	0.0	0.0	0.0	0.09	0.02	0.11
Cul7	0.08	0.0	0.0	16.11	17.36	15.39
Cxcr7	0.0	0.22	0.0	9.64	10.37	8.44
Cyp4f16	0.0	0.0	0.18	4.77	4.39	5.9
D430041D05Rik	30.99	0.0	0.0	69.49	61.56	70.36
D730045A05Rik	0.0	0.0	0.0	0.17	0.1	0.71
Ddr1	0.0	0.0	0.0	49.01	57.35	57.3
Dennd5a	14.02	0.0	0.08	158.89	159.29	162.39
Dlg4	0.41	0.0	0.0	535.98	535.3	542.17
Dlgap1	70.55	0.4	20.62	236.7	227.58	247.69
Dnase2b	0.0	0.0	0.0	0.04	0.04	0.13
Dock10	0.0	9.74	0.0	18.88	17.07	20.43
Dpp7	0.0	0.0	0.0	22.32	23.73	23.8
Esyt1	0.0	0.0	0.0	7.52	8.12	7.6
Exoc6b	11.25	0.14	0.0	51.27	47.35	48.54
Fam150b	10.96	0.0	0.0	1.98	2.13	1.62
Fanci	0.0	0.0	0.0	1.15	1.35	0.9
Fasl	0.0	0.0	0.0	0.21	0.05	0.11
Fcer2a	0.23	0.65	0.0	1.19	1.04	1.56
Fgd1	0.0	0.0	0.0	10.32	11.83	10.95
Folr2	0.0	0.0	0.0	1.12	1.05	1.35
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fxyd2	0.0	0.0	0.0	5.03	4.39	5.39
Fzd6	0.0	0.0	0.0	8.48	8.13	8.54
Galnt9	1.49	0.0	0.0	60.54	58.78	63.63
Gins3	0.0	0.0	0.0	2.99	3.01	2.2
Gm10336	0.0	0.0	0.0	9.88	8.13	9.04
Gm11201	0.0	0.0	0.0	0.66	1.13	0.79
Gm12504	0.99	1.07	0.87	1.74	0.87	1.3
Gm15663	0.81	0.0	0.28	8.46	8.44	9.06
Gm20257	0.0	0.0	0.0	2.49	2.54	2.29
Gm4532	0.0	0.0	0.0	2.74	3.8	2.68
Grik4	0.0	0.0	0.0	18.45	18.49	20.93
Hexdc	0.0	0.0	0.0	33.12	36.68	37.09
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hn1l	0.0	0.0	0.0	3.7	5.25	4.34
Hopx	18.0	0.0	0.0	49.63	61.3	63.91
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hrc	0.0	0.0	0.0	0.67	0.38	0.59
Ifih1	0.0	0.0	0.0	2.38	2.24	2.51
Igj	0.0	0.0	0.0	0.34	0.82	0.69
Incenp	0.0	0.0	0.0	12.77	12.28	12.24
Kctd1	47.39	0.0	0.0	67.74	64.49	65.95
Kctd5	0.0	0.0	0.0	22.48	23.72	22.75
Kdm4d	0.0	0.0	0.0	1.45	1.75	1.49
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif15	0.3	0.43	0.0	0.79	0.71	0.71
Kif5c	82.63	0.0	0.0	410.62	385.0	413.29
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lyst	7.14	0.06	0.0	17.51	14.99	20.29
Morc4	0.0	0.0	0.0	2.8	2.62	2.6
Mvk	0.0	0.0	0.0	23.88	26.51	24.72
Myh1	0.0	0.0	0.0	0.76	0.46	0.33
Neurod2	0.1	0.0	0.0	61.43	70.53	58.22
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nr1i3	0.0	0.0	0.0	0.52	0.56	0.58
Nr3c2	0.45	0.0	7.06	26.0	25.41	24.47
Nrn1l	0.0	0.0	0.0	2.91	4.03	4.24
Nrp2	0.36	0.24	0.23	20.63	19.11	20.72
Pard3	0.0	0.0	0.12	11.52	10.26	11.01
Pde6d	0.43	0.0	0.0	61.99	69.34	64.86
Pkd2	0.98	0.74	0.8	25.39	24.62	26.2
Pkn1	1.65	0.0	0.0	34.6	34.75	36.69
Plekhh2	1.45	0.0	0.6	4.56	3.99	4.83
Plod3	0.0	0.0	0.0	21.87	22.46	21.84
Ppp1r42	0.0	0.0	0.0	0.71	0.86	1.08
Prepl	288.54	0.0	342.38	393.35	381.5	369.95
Ptpn12	0.0	0.0	0.0	30.72	26.75	27.94
Ptpn3	0.0	0.0	0.0	28.78	27.92	28.04
Rbm19	0.12	0.0	0.0	8.29	9.73	8.3
Rcan1	0.0	0.0	0.0	52.65	55.31	52.84
Rian	17.33	0.0	116.94	439.96	415.61	429.09
Rnf150	0.41	0.0	1.61	27.74	26.88	27.89
Rnls	0.0	0.0	1.4	2.54	2.53	3.07
Sec31b	0.0	0.0	0.0	0.18	0.19	0.23
Sema3d	0.0	0.0	0.0	2.57	2.76	3.07
Sema5b	0.0	0.34	0.0	13.04	12.14	15.32
Slc25a10	0.91	0.0	0.0	9.23	9.36	9.16
Slc39a5	0.0	0.0	0.0	0.21	0.19	0.05
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Slitrk5	1.42	0.0	0.0	41.42	38.83	41.03
Smarca4	3.91	0.0	0.06	63.89	65.92	68.05
Snora17	6.08	0.0	0.0	4.06	1.93	11.68
Spg11	0.0	0.0	0.0	14.25	11.67	14.26
Spg20	0.0	0.0	0.0	25.24	24.5	24.57
Sstr4	0.0	0.0	0.0	26.73	23.69	26.85
Susd1	0.0	0.0	0.0	8.75	9.71	8.91
Szt2	0.0	0.0	0.0	18.73	19.33	23.53
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d20	0.0	0.0	0.0	47.16	46.92	49.79
Tcf15	0.0	0.0	0.42	0.44	1.03	0.79
Thsd7b	0.0	0.0	0.0	4.1	4.16	3.54
Tmc7	0.0	0.0	0.0	10.75	10.23	11.23
Tpte	0.0	0.0	0.0	0.04	0.04	0.16
Traf3	3.15	0.0	0.0	26.87	25.46	26.86
Trrap	9.79	0.0	0.0	48.39	44.3	50.87
Tstd1	0.0	0.0	0.0	0.95	1.78	0.98
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ush1g	0.0	0.0	0.0	0.34	0.9	0.44
Usp34	14.99	0.0	124.33	40.78	33.54	41.98
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdhd1	0.0	0.0	0.0	4.82	4.17	4.59
Zfp423	0.0	0.0	0.0	6.44	7.96	7.35
Zfp458	0.0	0.0	0.0	3.85	2.68	3.6
Zfp473	0.24	0.0	0.0	0.7	0.85	0.63
Zfp758	0.0	0.0	0.0	6.47	4.13	5.04
Zfp783	0.0	0.0	0.0	4.18	4.26	4.66
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c10_LSU-rRNA_Hsa	0.0	0.0	0.0	25.24	24.45	31.24
mt_AK131586	0.01	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
