	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_109	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_23	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
6330407A03Rik	0.0	0.0	0.0	0.0	0.0	0.66	0.39	0.1	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.04	0.24	0.0	0.0	0.21	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.24	0.22
Arhgap19	1.11	0.07	0.0	0.23	0.14	0.46	0.59	0.44	0.4	0.24	0.19	0.17	0.49	0.4	0.19	0.26	0.35	4.07	1.28	0.08	0.1	0.11	0.32	0.85	0.06	0.07	0.0	0.09	0.0	0.38	0.22	0.53	0.21	0.27	0.4	3.34	2.64	3.01
Cand2	0.16	0.39	0.61	0.0	0.42	1.15	1.23	1.01	1.17	0.83	1.12	0.25	0.26	0.57	0.32	0.11	1.04	0.44	0.91	0.49	0.38	0.32	0.24	0.67	0.0	0.06	0.2	0.22	0.11	1.03	0.32	0.36	0.0	0.78	0.17	2.69	2.78	2.5
Capns1	0.41	186.97	0.0	250.95	117.03	311.87	235.16	134.38	121.15	0.14	63.47	64.25	163.19	66.31	94.5	187.68	0.37	3.26	180.25	0.0	0.0	13.64	0.0	182.3	0.0	0.0	0.0	0.0	0.0	0.0	112.7	155.05	0.0	0.0	0.0	177.54	188.72	182.92
Ccs	0.0	277.83	0.0	324.11	0.0	316.48	214.34	185.26	214.84	0.19	0.0	0.0	0.0	0.0	0.0	0.0	145.78	0.0	64.04	0.0	0.0	0.0	60.69	256.93	0.0	0.0	0.0	0.0	14.87	0.0	0.0	199.71	0.0	0.0	0.0	26.05	27.96	26.01
Cenpl	1.91	1.14	0.07	1.21	1.55	2.26	90.63	0.86	0.65	0.66	0.64	0.29	1.05	0.45	0.39	0.35	0.74	0.92	2.03	0.48	0.46	0.44	0.78	0.98	0.08	0.35	0.13	0.0	0.06	0.84	0.47	0.53	1.52	0.28	0.37	2.05	1.52	1.72
D730040F13Rik	1.0	0.57	0.37	0.94	1.04	1.6	1.52	0.9	0.86	0.64	0.43	0.46	1.01	0.91	0.38	0.54	17.0	1.21	0.68	0.67	0.57	0.5	0.85	2.04	0.15	0.28	0.34	0.59	0.04	0.63	0.79	1.34	0.74	0.65	0.29	22.62	16.53	21.26
Ddx6	0.1	5.8	0.46	0.08	3.49	71.7	35.63	0.98	10.75	2.46	20.4	1.27	0.0	1.33	13.55	61.05	22.05	43.02	12.27	12.7	3.26	0.06	4.2	6.2	0.0	12.48	48.12	0.0	11.99	15.99	5.03	3.14	0.0	2.68	15.5	84.34	83.49	81.63
Dnajc2	0.0	0.0	0.0	1.36	0.0	41.97	25.35	0.0	0.0	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.09	4.71	14.65	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	6.91	0.0	0.0	0.0	0.0	32.21	27.9	27.99
Dock8	0.77	0.05	0.0	0.21	0.16	0.77	0.36	0.14	0.18	0.03	0.2	0.09	0.06	0.09	0.04	0.05	0.34	0.23	0.22	0.05	0.39	0.24	0.04	0.27	0.0	0.04	0.0	0.0	0.0	0.76	0.14	0.11	0.14	0.0	0.0	2.6	1.85	2.05
Gm10516	1.15	0.87	0.22	1.85	1.56	3.13	2.12	1.52	1.13	0.83	2.77	0.36	2.6	0.6	0.88	0.74	1.06	1.71	1.86	1.76	0.57	0.82	1.04	2.15	0.26	0.57	0.0	0.58	0.49	0.74	1.54	2.3	0.44	1.7	0.57	4.72	5.54	5.89
Gm20356	1.0	0.0	0.0	0.7	0.0	1.55	1.38	0.76	1.69	0.31	0.2	0.56	0.0	0.39	0.43	0.06	0.87	0.08	1.65	0.0	0.53	0.15	0.27	1.11	0.0	0.0	0.0	0.0	0.27	0.0	0.11	0.0	0.45	0.0	0.0	0.33	0.14	0.61
Gnal	0.12	124.05	0.0	0.1	25.19	116.77	154.84	70.31	65.36	10.79	69.53	0.0	2.16	1.5	0.32	13.25	17.39	96.55	30.96	50.73	0.0	1.69	95.01	10.72	0.0	0.0	21.88	14.28	0.09	0.0	15.33	0.16	0.0	0.0	0.14	125.05	118.26	125.79
Grm1	2.31	0.63	0.15	2.11	0.68	34.12	25.76	1.9	1.09	1.4	0.85	1.27	0.75	0.87	0.83	0.71	1.35	1.99	2.49	0.88	1.09	1.08	1.52	1.39	0.42	0.56	0.0	0.1	0.45	1.48	1.19	1.98	3.11	2.59	1.1	22.26	22.04	21.67
Hap1	0.0	0.0	0.0	0.0	0.0	18.7	21.99	0.06	6.37	0.0	0.0	0.0	0.0	0.03	0.0	0.0	9.49	0.0	0.0	4.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.84	0.0	28.71	0.0	112.51	131.43	121.78
Ipo4	0.0	0.0	0.0	76.9	70.21	176.91	202.99	91.12	0.0	2.12	0.0	10.36	0.0	0.17	40.47	10.26	3.66	0.06	0.0	4.88	28.27	0.0	150.21	0.0	23.48	0.0	0.0	0.0	0.0	0.0	0.0	16.01	0.0	0.0	0.0	57.08	62.85	56.58
Jmjd4	1.39	1.55	0.0	3.64	1.48	3.82	1.55	0.96	0.88	0.44	0.92	1.14	0.7	1.24	1.1	45.22	1.51	1.08	1.51	1.07	0.63	0.46	1.15	3.87	0.05	0.63	0.25	0.47	0.4	1.55	1.34	1.74	0.11	0.95	0.81	24.5	22.54	23.79
