	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66
Aak1	16.64	31.18	3.97	0.58	0.0	0.0	0.07	4.84	28.75	32.46	30.19	4.66	36.49	33.7	28.21	21.54	29.11	21.97	16.12	7.5	21.88	1.09	18.36	58.64	14.44	18.97	28.6	10.96	38.65	14.06	40.82	47.95	39.16	12.25	0.0	0.0	0.0	0.0	27.08	16.06
Akt1	0.0	0.48	0.0	1.31	0.0	0.0	0.0	24.25	25.5	40.91	36.65	18.4	71.79	28.39	110.29	16.18	21.26	0.0	45.19	44.75	22.83	11.78	4.83	82.39	0.0	9.45	47.69	0.16	45.54	5.43	49.11	2.34	57.05	31.24	0.0	0.0	0.0	0.0	61.72	17.95
Fam123b	0.04	0.0	0.09	0.0	0.0	0.0	0.0	0.04	0.02	0.14	0.07	0.0	0.04	0.02	0.14	0.08	3.41	0.0	11.32	0.08	25.39	8.28	0.49	4.46	0.0	0.04	0.0	0.0	14.11	5.38	8.32	0.02	0.04	0.06	0.0	0.0	0.0	0.0	0.05	0.0
Gapvd1	17.95	0.0	0.36	0.05	0.0	0.0	0.0	7.9	0.0	0.0	0.0	0.62	15.14	3.05	10.3	1.1	9.5	17.01	14.12	3.06	43.26	0.0	6.77	2.97	20.52	13.31	2.42	0.0	45.45	3.07	17.61	1.81	34.22	16.32	0.0	0.0	0.0	0.0	6.16	0.0
Igsf11	18.8	5.0	5.04	7.24	0.24	0.0	0.14	20.73	46.93	40.05	5.26	0.73	16.99	6.64	38.63	17.62	12.77	12.53	11.76	24.53	31.83	6.71	21.49	35.19	22.34	8.85	19.28	0.0	6.75	5.62	11.59	15.13	28.16	4.64	0.41	0.0	0.15	3.13	6.98	16.91
Mapk8ip3	39.29	0.46	42.69	6.48	0.0	0.0	0.0	36.52	38.4	61.7	41.34	0.0	21.84	30.53	9.66	6.21	46.5	20.35	99.35	48.09	26.47	45.58	17.1	64.74	0.71	54.02	63.04	5.33	63.93	29.13	43.45	52.01	39.04	16.65	0.0	0.0	0.0	5.08	46.16	35.36
Plxna4	12.97	3.27	4.82	0.07	0.0	0.0	0.0	5.63	9.6	6.09	15.26	0.04	9.01	12.57	26.13	1.79	12.5	3.58	1.84	23.24	27.46	6.14	13.99	5.35	9.74	23.49	9.37	3.9	26.59	11.45	17.8	17.94	6.3	6.1	0.0	0.0	0.0	0.0	32.68	0.0
Pnma2	5.28	0.28	25.12	0.0	0.0	0.0	0.0	73.03	9.13	5.67	12.61	11.31	30.31	3.03	14.37	3.19	55.85	8.5	72.48	0.88	35.56	28.78	48.61	18.8	0.0	112.12	13.73	0.0	76.22	28.96	56.55	0.32	29.1	64.3	0.0	0.0	0.0	0.0	10.73	107.32
Prrc2c	65.71	38.78	54.84	23.31	26.1	14.87	15.88	49.6	49.7	46.14	48.03	34.94	43.8	57.3	43.08	46.75	62.37	42.33	64.11	63.14	64.54	33.87	45.71	56.35	42.98	70.87	37.83	50.29	64.84	49.63	72.53	45.32	48.16	25.6	0.0	0.48	11.14	12.93	60.96	53.86
Pvalb	2658.58	2506.7	2781.07	2914.72	0.0	0.0	0.0	2576.97	2258.23	2637.39	3332.67	1319.97	1769.21	1444.32	1553.08	2248.99	1915.25	1457.87	1909.51	1763.04	1806.53	1251.18	1681.17	1693.91	1839.14	2567.22	1689.22	1182.99	1388.14	1830.01	1390.65	1823.48	1749.01	3516.69	0.0	0.0	0.0	0.0	2759.1	3357.43
Scn1b	1.99	8.51	3.11	0.63	0.0	0.0	0.0	1.24	9.13	3.89	4.23	6.42	30.1	5.47	2.62	0.59	10.24	1.5	17.01	0.9	34.07	2.25	16.42	10.74	0.26	26.51	11.96	0.55	6.05	0.51	21.63	24.82	13.03	33.42	0.0	0.0	0.0	0.0	6.88	7.93
Smarca4	0.31	9.35	20.6	0.34	0.0	0.0	0.0	5.47	4.42	19.68	4.88	0.04	4.06	32.22	4.71	1.04	6.18	3.71	1.79	1.25	16.0	0.06	18.45	4.02	0.0	48.76	45.53	0.0	5.85	2.62	20.62	6.62	0.05	31.31	0.0	0.0	0.0	0.0	5.94	19.1
Snord116	0.0	0.0	0.0	5.72	0.0	0.0	0.0	3.31	5.24	0.0	7.69	0.0	5.67	15.65	7.89	0.0	13.65	3.43	0.0	9.15	10.18	0.0	13.5	10.44	0.0	10.52	7.07	0.0	11.17	17.03	7.98	0.0	12.73	1.69	0.0	0.0	0.0	0.0	3.58	0.0
Snord116l1	0.0	0.0	0.0	5.72	0.0	0.0	0.0	3.31	5.24	0.0	7.69	0.0	5.67	15.65	7.89	0.0	13.65	3.43	0.0	9.15	10.18	0.0	13.5	10.44	0.0	10.52	7.07	0.0	11.17	17.03	7.98	0.0	12.73	1.69	0.0	0.0	0.0	0.0	3.58	0.0
Snord116l2	0.0	0.0	0.0	5.72	0.0	0.0	0.0	3.31	5.24	0.0	7.69	0.0	5.67	15.65	7.89	0.0	13.65	3.43	0.0	9.15	10.18	0.0	13.5	10.44	0.0	10.52	7.07	0.0	11.17	17.03	7.98	0.0	12.73	1.69	0.0	0.0	0.0	0.0	3.58	0.0
Spnb3	0.09	0.0	3.99	16.28	0.0	0.0	0.0	0.0	19.14	5.44	27.81	0.0	7.71	0.87	1.56	0.58	17.08	2.54	7.06	22.15	12.05	3.06	13.74	11.71	0.0	3.85	1.16	1.08	5.78	0.0	19.64	0.26	5.7	0.51	0.0	0.0	0.0	0.0	0.66	1.02
Tmsb15l	0.0	27.71	0.41	13.63	0.0	0.0	0.0	0.0	14.79	0.0	33.21	0.0	8.66	10.23	0.0	0.0	16.52	0.0	36.34	0.0	44.55	0.0	25.64	0.0	0.0	0.0	35.87	5.73	31.04	5.61	9.21	12.14	37.21	0.79	0.0	0.0	0.0	0.0	30.0	0.0
Tnrc6b	6.49	10.93	0.36	1.18	0.03	0.0	0.0	0.8	2.39	1.59	2.39	0.0	2.2	3.17	4.8	4.14	5.36	6.66	2.1	0.27	13.34	1.43	2.33	4.68	2.05	1.36	4.24	5.72	8.14	2.0	2.61	1.08	1.34	0.95	0.04	0.17	0.0	0.0	0.98	2.88
Ube3c	19.73	0.0	77.77	0.0	0.11	0.0	0.0	17.26	17.12	27.43	28.96	0.0	12.32	18.21	0.51	1.27	19.66	1.03	8.51	8.57	2.43	0.07	20.27	17.52	1.39	1.15	0.0	4.73	21.84	0.15	53.45	18.04	16.35	34.72	0.0	0.0	0.0	0.0	19.08	0.13
Zdhhc21	1.35	3.65	0.7	0.0	0.0	0.0	0.0	18.11	0.62	0.13	0.79	0.0	0.11	1.74	6.2	0.0	11.97	0.17	32.92	19.03	22.56	0.0	17.38	0.04	6.9	28.48	19.98	0.0	50.83	32.12	24.4	15.73	24.2	39.96	0.0	0.0	0.0	0.0	10.62	2.11
Zfp804a	13.43	30.69	22.48	0.0	0.0	0.0	0.0	155.47	2.74	26.42	5.08	11.93	37.36	12.47	103.77	46.79	113.13	8.92	27.91	10.67	53.47	13.98	31.74	23.58	28.0	10.11	3.23	0.0	14.53	13.86	16.63	31.39	44.52	0.0	0.0	0.0	0.0	0.0	57.82	7.18
