	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_56	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_23	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_31	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_61	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1700029F12Rik	0.0	0.0	0.0	0.41	2.5	0.0	0.91	0.62	0.0	0.0	1.9	0.5	0.0	0.27	0.0	0.31	0.0	0.0	3.1	0.0	0.0	0.0	0.6	0.0	1.34	1.8	0.0	0.0	1.39	1.53	0.0	0.0	0.0	0.0	0.0	0.22
1700034H15Rik	1.63	5.78	2.56	5.22	6.29	0.08	2.89	13.46	2.01	14.44	3.72	1.77	2.58	1.54	10.88	7.14	0.17	1.17	2.01	8.38	2.81	1.61	6.71	4.16	1.73	21.0	1.33	2.39	3.78	7.22	3.64	2.82	2.0	8.46	4.62	1.31
1700125G02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700128F08Rik	72.72	58.61	30.73	44.98	46.4	0.74	49.57	71.24	96.92	133.52	89.58	68.28	17.27	10.7	86.19	44.63	0.0	35.08	14.75	99.17	11.87	0.52	42.98	79.36	72.29	49.64	109.25	83.26	73.44	102.91	1.88	44.9	19.28	23.78	20.14	19.56
2810021B07Rik	29.57	91.35	12.46	23.98	22.21	1.06	18.32	58.28	39.8	33.83	61.07	43.64	11.19	13.13	36.28	13.88	0.26	13.02	9.74	25.8	33.07	0.0	58.93	35.89	31.54	35.95	42.39	43.77	56.42	54.6	13.46	21.36	17.09	146.11	14.52	3.48
4921508A21Rik	3.32	17.45	1.61	56.45	46.73	0.0	30.73	58.17	95.74	14.37	141.29	59.23	9.87	1.5	18.53	8.81	9.43	20.95	28.41	47.2	101.13	0.0	42.31	58.72	33.98	86.86	33.04	104.49	32.96	28.17	33.98	1.27	35.5	4.73	8.02	1.5
4921515E04Rik	15.6	28.88	0.18	31.98	18.97	0.0	17.09	36.33	35.04	18.77	37.94	30.12	3.51	5.87	19.36	8.99	1.46	6.82	7.85	19.9	5.72	7.65	13.07	23.08	14.09	21.57	10.98	12.65	17.69	32.68	3.91	15.57	10.21	9.6	4.75	2.64
4930432J09Rik	1.55	0.08	1.67	0.9	0.11	0.0	0.58	1.27	2.33	0.54	2.04	1.91	0.21	0.18	0.9	0.22	0.0	0.07	0.1	0.48	0.46	0.0	0.63	0.53	1.86	0.28	3.52	0.0	1.01	1.53	0.27	0.14	0.15	0.26	0.09	0.22
4930470H14Rik	109.39	435.6	2.64	427.49	143.73	54.17	204.57	567.22	435.82	147.71	607.55	604.32	96.88	246.6	281.62	222.69	0.0	142.35	186.79	376.86	42.15	7.8	392.19	685.05	199.63	135.79	170.19	278.36	521.81	362.01	232.3	144.53	215.54	299.25	146.45	2.93
4930474G06Rik	0.8	3.33	0.0	0.0	0.77	0.98	2.3	3.17	1.46	2.67	3.22	4.22	0.0	0.66	3.19	1.55	0.0	0.76	0.99	9.43	0.26	0.56	1.51	4.7	7.49	2.16	1.0	3.93	3.38	1.96	1.92	0.65	1.02	3.71	0.14	0.37
4930511M06Rik	96.49	126.9	6.66	82.8	93.55	3.28	71.67	242.73	114.85	88.67	225.36	101.02	22.75	25.64	133.49	88.37	6.62	45.32	46.9	111.5	58.41	0.0	91.87	98.48	88.29	110.32	170.22	115.53	140.7	175.51	54.81	34.02	44.3	66.04	34.39	17.43
4930563M20Rik	0.9	13.46	0.0	0.86	6.13	0.0	10.15	4.61	0.0	1.32	6.86	0.75	0.66	0.52	0.66	6.84	0.0	1.11	0.63	15.67	0.0	0.0	2.42	1.52	2.88	0.0	0.8	0.0	8.36	13.4	2.79	2.38	1.41	0.0	0.0	0.0
4931420L22Rik	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	2.31	3.28	0.0	1.73	0.0	0.75	1.14	0.0	0.41	0.0	0.0	0.0	3.02	0.0	4.16	3.68	0.39	0.0	0.0	0.0	0.0	0.0
4932411L15	133.9	210.1	21.15	293.93	140.94	0.03	105.79	278.11	545.89	297.8	288.06	596.46	46.68	9.78	321.05	172.69	23.78	69.57	58.24	160.38	220.2	7.42	140.89	350.75	253.85	237.85	227.09	142.78	211.08	262.83	91.6	182.22	84.08	171.75	96.79	76.68
4933407G14Rik	0.34	0.0	0.0	0.37	0.0	0.0	0.0	0.0	1.15	0.67	0.0	0.88	0.0	0.0	0.0	0.27	0.0	0.31	0.0	0.34	0.0	0.0	0.28	1.39	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.78	0.35	0.25	0.2
4933411E08Rik	0.37	1.14	0.0	0.0	0.56	0.0	0.93	0.56	1.27	0.0	1.04	0.25	0.0	0.49	0.18	0.66	0.21	0.11	0.0	0.32	0.0	0.24	0.39	1.2	0.3	0.89	0.8	0.0	2.25	0.57	0.0	0.0	0.29	0.0	0.18	0.43
5430427O19Rik	9.43	4.91	2.57	3.14	4.66	0.0	6.83	3.0	8.18	11.01	11.94	10.6	0.77	1.23	9.03	3.45	0.0	2.18	1.54	13.01	0.11	0.0	3.61	7.98	11.94	9.41	12.61	8.89	9.17	9.93	0.0	3.93	1.09	1.75	2.68	0.74
5430437J10Rik	0.0	0.65	0.0	0.38	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.36	0.0	0.24	1.12	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.94	0.0	0.0	0.0	0.0	0.0	0.21
6030422M02Rik	47.88	95.94	23.37	50.22	57.02	0.25	45.05	104.86	102.46	94.92	136.52	94.07	24.34	12.58	104.44	38.69	4.39	27.01	39.6	65.27	21.66	10.95	60.2	97.36	74.04	83.82	104.9	82.23	140.48	194.72	16.99	45.72	35.22	49.45	86.02	18.52
9530026F06Rik	0.49	0.0	0.65	1.06	0.0	0.0	1.11	2.18	0.59	0.0	2.14	1.66	0.0	0.0	0.46	1.19	0.0	0.3	0.0	0.65	0.16	0.0	2.25	4.25	1.15	0.0	0.26	0.82	1.83	3.16	0.0	0.33	2.74	0.52	2.51	2.04
9930023K05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A130077B15Rik	617.53	1172.48	298.68	1024.72	1140.45	10.36	753.1	1296.38	1195.11	989.86	2418.11	1159.05	243.27	270.68	1151.6	653.49	25.49	469.48	422.07	1019.78	877.74	1.03	1020.09	1178.98	798.5	1317.45	1309.01	989.98	1633.09	2947.62	307.81	701.76	371.09	1272.57	428.81	457.46
A430107P09Rik	47.31	105.02	23.73	71.54	64.18	11.32	41.5	102.6	122.17	76.43	135.88	119.22	10.06	48.61	63.94	40.7	5.48	27.0	20.77	57.55	34.01	8.72	61.13	107.43	123.91	74.67	59.64	99.92	157.89	170.72	39.14	56.15	29.01	30.5	36.03	24.08
A530099J19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
A630020A06	0.68	2.43	1.72	2.36	3.6	0.0	1.49	2.81	3.96	3.79	2.77	3.43	0.38	0.69	4.21	3.89	0.13	1.06	1.2	2.85	2.31	0.77	1.61	3.64	3.0	1.62	2.64	1.29	8.06	6.05	1.59	1.75	3.8	6.61	0.2	2.73
A630089N07Rik	396.49	715.62	100.73	533.18	348.38	12.57	355.35	557.46	1070.15	887.83	1066.73	877.52	124.07	115.15	620.76	371.05	6.11	181.89	222.85	608.6	276.82	122.79	377.98	617.26	711.73	442.68	589.02	446.85	737.56	901.46	245.37	372.55	230.62	477.47	414.78	109.61
A730017L22Rik	54.8	94.35	14.52	90.98	73.28	3.5	57.78	107.46	155.93	90.68	235.69	86.84	25.9	36.76	126.72	67.68	1.08	29.61	34.72	84.73	55.77	0.29	101.98	117.98	120.92	100.38	87.23	151.64	228.37	201.0	41.83	80.26	24.15	52.56	46.43	42.77
A730082K24Rik	0.94	0.45	1.81	4.5	5.45	0.0	2.52	16.52	5.54	21.13	4.17	0.0	1.14	0.13	0.0	0.0	0.0	3.44	0.0	0.61	0.21	0.0	1.24	0.42	0.0	0.27	0.77	0.0	7.77	9.78	0.0	0.0	1.07	4.1	2.23	0.0
AA536875	1.13	3.08	1.37	1.38	0.0	0.0	0.9	1.79	1.98	2.08	3.84	3.52	0.69	0.7	1.53	0.62	0.0	0.22	0.0	0.83	1.13	0.0	0.65	1.48	1.79	0.0	2.22	1.32	2.74	4.94	2.65	0.77	0.34	1.59	2.59	1.65
AI646023	11.81	6.57	1.39	11.4	24.32	0.0	6.64	3.66	2.41	17.6	27.73	25.01	0.0	8.91	13.26	20.41	0.0	21.34	2.56	17.09	2.44	0.32	3.2	1.16	3.57	13.24	6.69	3.2	28.0	64.93	18.43	14.01	24.32	54.27	11.4	22.45
AU018091	0.5	0.75	0.0	0.13	0.56	0.0	0.11	0.57	0.45	0.0	0.19	0.84	0.36	0.17	0.99	0.52	0.0	0.11	0.47	0.0	0.57	0.0	0.66	0.68	0.29	0.0	0.73	1.12	0.39	0.77	0.08	0.29	0.14	0.39	0.11	0.49
AU022754	1.69	0.69	1.07	0.3	0.0	0.0	0.39	6.94	0.85	0.0	0.31	3.07	0.0	0.45	6.64	0.0	0.0	2.06	1.83	0.37	0.14	0.0	0.85	1.82	0.57	2.28	1.99	0.38	0.4	5.94	2.0	0.2	1.37	7.45	0.2	0.67
Abca12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acad9	40.15	66.62	21.01	57.45	40.56	0.49	42.06	63.74	65.12	48.01	108.19	97.97	14.79	37.71	92.99	134.11	2.04	20.04	16.56	57.22	48.54	0.27	66.35	56.17	46.87	63.53	72.74	67.24	65.4	168.24	21.88	36.02	33.25	66.31	17.63	29.64
Acnat1	17.74	27.98	3.05	21.27	15.72	0.0	10.79	30.27	17.36	23.4	24.24	16.92	3.32	9.93	19.75	13.0	0.1	6.31	12.9	8.95	3.19	6.0	25.38	20.97	27.53	22.16	27.88	10.9	25.96	45.39	13.58	21.88	26.37	30.46	6.71	9.76
Acsm2	0.62	2.66	0.06	1.52	0.53	0.11	0.43	1.7	2.03	0.75	1.65	1.37	0.23	0.38	1.33	0.64	0.04	0.58	0.56	0.2	1.34	0.0	0.87	1.5	2.64	0.17	1.61	0.8	2.23	1.56	0.44	0.27	0.5	0.48	0.57	0.51
Ankle1	2.7	1.98	0.37	1.32	1.3	0.14	1.88	2.1	1.74	1.29	2.54	1.02	0.3	0.54	1.07	1.79	0.68	0.4	0.1	0.68	2.67	0.18	1.26	3.24	0.22	0.31	1.59	1.33	1.32	1.47	1.39	0.38	0.89	0.61	0.62	0.88
Asb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B020014A21Rik	5.59	17.3	5.29	31.39	14.18	0.53	14.18	13.35	10.38	29.34	36.66	34.96	2.46	2.35	12.15	10.95	0.14	5.51	6.61	24.14	16.69	10.04	30.2	21.1	28.98	9.12	25.39	25.44	17.77	25.29	7.61	10.15	12.35	14.37	12.2	3.4
BC049715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bambi-ps1	53.61	26.57	9.82	51.47	50.94	0.0	37.52	52.55	21.36	39.6	89.27	36.17	13.42	4.73	73.43	27.04	0.0	6.61	15.7	56.6	26.2	0.0	25.94	32.91	85.17	90.95	25.56	20.77	111.44	25.58	6.66	14.16	10.29	54.62	4.82	3.09
Barhl2	0.0	0.32	0.0	1.42	0.61	0.0	0.0	0.36	0.17	0.42	0.4	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.18	0.0	0.13	0.0	0.2	0.13	0.0
Bpifc	0.0	5.06	0.16	0.45	1.33	0.0	2.4	0.67	1.27	0.3	2.1	0.71	4.54	2.17	0.23	0.29	0.0	0.96	1.54	1.51	0.72	0.0	0.5	3.2	2.93	0.0	4.39	4.21	0.07	1.86	0.74	3.05	0.44	0.39	2.12	0.0
