	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_9	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_56	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
0610007P08Rik	0.0	33.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	1.69	0.0	2.93	4.77	2.81	2.79
1110001A16Rik	65.2	95.62	52.61	44.49	65.79	31.46	0.43	0.0	0.0	95.72	98.27	147.68	66.28	36.53	0.0	74.48	58.24	67.62	64.25	62.38
1810058I24Rik	129.12	108.64	0.0	0.0	73.75	26.77	0.0	0.0	0.0	0.0	50.2	24.02	42.52	0.21	0.0	54.67	23.36	44.68	41.53	39.02
2310030G06Rik	0.0	159.39	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.22	0.0	14.14	3.21	9.65	13.49
2810002N01Rik	19.81	233.98	15.24	121.28	229.62	201.44	22.92	116.42	159.41	149.78	175.7	185.27	18.84	302.76	29.68	21.57	85.58	48.01	106.3	91.21
2810021J22Rik	206.01	28.47	2.21	0.0	0.0	0.43	0.04	0.11	0.0	46.43	0.0	0.0	0.0	0.0	5.03	0.06	1.23	2.11	6.26	3.11
4932416K20Rik	0.0	0.39	0.0	0.06	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.12	0.0	0.1	0.0	0.0	0.0	0.08	0.16	0.0
A230108P19Rik	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0
Aadat	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adck5	0.0	46.75	0.05	0.11	0.0	7.65	0.0	0.0	0.0	0.0	0.0	30.78	0.0	0.0	0.21	7.6	25.26	7.39	30.51	16.17
