	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700066J24Rik	0.0	31.47	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.32	0.0	18.87	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	16.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.26	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.14	0.0	0.54	0.0	0.0	0.0	0.39	0.37	0.45	0.0	1.05	122.44	120.76	115.31
4930506M07Rik	16.56	79.52	0.0	0.0	1.71	0.0	0.0	47.16	0.65	51.33	2.94	26.25	10.9	10.4	5.99	0.37	56.03	1.54	0.0	0.02	4.73	0.0	38.64	0.16	0.0	0.12	0.0	0.73	1.33	1.07	9.55	0.0	0.0	29.4	17.25	0.0	0.0	2.53	0.0	0.0	11.43	0.0	7.34	0.08	50.91	0.12	23.3	21.62	54.22	1.28	0.89	0.0	0.0	0.0	0.0	0.0	10.58	0.48	1.32	2.6	6.53	11.56	3.41	28.77	0.24	0.0	15.85	3.5	8.42	18.46	15.2	9.25	5.61	13.93	9.35	7.88	26.69	25.17	27.17
5430402O13Rik	0.0	60.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	6.9	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.66	0.0	0.77	1.08	1.02	1.56
Acad11	4.38	85.44	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.75	0.0	0.0	0.0	0.0	44.63	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.29	41.45	0.0	0.0	2.27	1.37	1.07	0.0	0.0	0.0	25.42	0.0	0.0	10.48	6.47	0.0	0.0	0.0	0.0	0.0	0.0	32.95	0.0	0.0	0.0	0.0	0.0	26.85	0.45	1.88	13.83	0.32	13.17	7.14	17.28	21.26	19.97	7.1	12.8	7.44	19.58	19.18	19.36
Adcy1	13.31	29.26	7.8	6.8	3.6	0.0	0.0	0.4	2.45	37.76	43.87	0.0	73.8	10.04	20.72	92.54	25.57	13.87	10.87	0.19	0.02	15.03	0.0	0.01	0.27	8.74	0.47	5.35	0.0	0.0	1.06	8.76	5.18	1.69	0.0	0.0	0.0	2.46	6.3	6.2	0.0	8.33	3.7	6.31	1.3	12.6	0.2	0.0	78.93	22.41	22.78	0.0	0.0	0.0	0.0	0.0	0.44	0.17	0.07	54.93	2.66	7.38	20.3	20.79	6.55	10.36	35.81	36.15	34.32	43.89	51.06	40.99	54.26	51.82	49.75	57.0	224.96	212.91	233.52
Alms1-ps2	5.01	37.9	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	4.99	0.0	0.0	0.0	11.02	0.0	0.0	0.0	0.61	0.0	6.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	6.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.26	0.0	0.0	0.51	0.79	0.0	0.76	0.0	1.04	1.04
Ankrd28	0.0	64.62	0.0	0.0	4.98	0.0	0.09	8.56	0.07	0.0	6.01	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0	7.75	0.02	0.0	0.08	17.16	0.23	2.04	0.0	0.73	0.07	0.08	0.0	1.14	0.0	0.18	0.01	0.0	0.0	0.05	0.16	0.0	0.0	0.12	0.0	24.69	0.16	0.09	0.0	0.37	0.11	17.75	3.52	0.25	0.0	0.19	0.13	0.0	0.0	0.04	0.11	26.1	1.42	0.09	0.13	0.0	0.0	0.0	4.88	5.08	0.98	0.13	0.49	1.12	5.54	2.09	3.71	5.68	35.55	34.01	40.01
Apitd1	64.63	188.48	64.44	0.0	35.8	0.0	0.0	53.98	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	57.92	0.0	36.22	0.0	0.0	0.19	46.11	0.0	38.22	29.23	44.51	26.27	0.0	0.0	33.89	32.0	6.52	0.0	39.36	0.0	34.07	0.0	82.25	0.0	0.0	0.0	58.63	2.95	66.92	50.63	17.98	0.0	37.68	0.0	3.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	23.56	61.37	59.98	65.27	0.0	0.0	0.0	10.86	0.0	2.66	7.41	0.29	5.82	8.38	1.54	3.12	4.8	4.31	4.28
B930041F14Rik	5.11	17.86	0.0	0.0	0.0	0.0	0.0	0.0	4.73	0.0	13.42	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	6.36	18.01	3.49	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.13	0.0	4.24	4.95	0.0	0.0	0.0	0.21	1.46	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	6.44	0.0	0.0	6.75	0.14	0.0	1.67	0.0	0.0	0.63	3.95	6.06	0.0	2.1	1.62	1.63	24.23	28.27	28.31
BC030500	0.0	95.66	0.0	17.55	0.0	0.0	0.0	71.32	1.32	0.12	20.86	0.0	0.4	0.0	0.0	0.0	38.15	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.94	11.63	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	106.44	0.0	118.0	85.2	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.95	0.0	4.69	3.02	1.09	1.1	13.43	12.34	13.78
