	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300014I06Rik	0.0	0.0	0.0	6.15	7.3	6.3
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700095B22Rik	0.0	0.0	0.0	2.09	2.38	2.38
2310022B05Rik	0.0	0.0	0.0	46.11	51.31	45.81
2510003E04Rik	19.16	17.66	0.92	178.04	190.65	180.04
2510012J08Rik	0.0	0.0	0.0	24.34	28.62	27.12
2810408M09Rik	0.39	0.72	0.72	20.07	24.51	22.35
3110082J24Rik	0.0	0.0	0.0	1.44	3.15	2.05
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
Abra	0.0	0.0	0.0	0.5	0.58	0.35
Actr5	0.0	0.0	0.0	7.61	7.48	7.0
Akap10	14.3	0.0	0.0	24.04	20.03	24.05
Alkbh1	1.06	0.49	0.0	13.36	12.36	12.7
Apol7a	0.0	0.0	0.0	0.45	0.58	0.63
Atp1a3	339.35	458.89	513.24	1301.98	1411.72	1359.05
Baiap2l1	0.0	0.0	0.0	0.79	0.46	0.47
Bicc1	0.0	0.0	0.0	4.07	3.98	3.94
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cadm1	51.91	21.28	29.5	94.68	85.72	96.28
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Cd55	0.0	0.0	0.0	5.61	4.63	5.21
Cda	0.0	0.0	0.0	1.89	2.02	2.34
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrnb3	0.0	0.0	0.0	1.58	1.35	1.32
Cntd1	0.35	0.0	0.37	1.47	1.55	1.48
Cyp2j12	0.0	0.0	0.0	2.19	2.84	3.32
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dmgdh	0.0	0.0	0.0	0.77	0.56	0.3
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Duxbl	0.0	0.0	0.0	0.92	2.0	1.18
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
E430016F16Rik	0.0	0.0	0.0	0.29	0.27	0.2
Eaf2	0.0	3.83	1.91	3.34	3.48	3.74
Efcab6	0.0	0.0	0.0	5.74	6.15	5.76
Fasl	0.0	0.0	0.0	0.21	0.05	0.11
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gas1	0.0	0.0	0.0	6.95	8.27	9.45
Gc	0.0	0.0	0.0	0.05	0.05	0.0
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm17365	0.0	0.0	0.0	0.0	0.07	0.16
Gm5475	0.0	0.0	0.0	0.09	0.18	0.08
Gm5878	0.0	0.0	0.0	0.0	0.02	0.02
Gpr82	0.0	0.0	0.0	0.08	0.04	0.04
Grm2	0.0	0.0	0.0	41.5	44.9	46.69
Gsk3a	16.59	3.67	12.26	213.06	226.46	219.6
Guca1b	0.0	0.0	0.0	0.78	0.96	1.23
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hic1	0.0	0.0	0.0	2.54	3.3	2.32
Hip1r	0.0	0.0	0.82	56.77	58.62	63.47
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpn	0.0	0.0	0.0	1.61	1.01	1.45
Id1	0.0	0.0	0.0	23.73	21.08	22.42
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lgr6	0.0	0.0	0.0	1.14	1.76	2.07
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Mir129-1	0.0	0.0	0.0	0.0	2.55	2.79
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr691	0.0	0.0	0.0	0.1	0.0	0.22
Oxtr	0.0	0.0	0.0	4.28	4.5	5.75
Pcdhb5	0.94	0.26	0.37	5.01	4.08	3.87
Phactr2	0.0	0.0	0.0	11.12	9.96	11.27
Pik3r3	0.0	30.68	19.67	34.42	31.97	32.93
Plxnb2	0.0	0.0	0.0	24.32	26.83	26.91
Ppl	0.0	0.0	0.0	0.66	0.71	0.5
Ppp2ca	121.26	70.73	83.15	412.48	418.25	392.13
Rftn2	0.0	0.0	0.0	18.31	18.21	20.94
Rhod	0.0	0.0	0.0	0.67	0.92	1.0
Scgn	0.0	0.0	0.0	0.35	1.6	0.8
Shb	0.0	0.0	0.0	9.92	11.14	9.47
Shpk	0.0	0.0	0.0	4.01	3.37	3.22
Sla2	0.0	0.0	0.0	1.34	0.64	0.85
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snord66	0.0	0.0	0.0	0.0	0.0	9.57
Sox1	9.5	0.0	0.0	9.97	11.51	9.9
Spink10	0.61	0.0	0.0	3.1	2.76	2.84
Stac3	0.0	0.0	0.0	3.36	1.47	1.66
Stap2	0.0	0.0	0.0	2.41	2.27	1.73
Synpo2l	0.0	0.0	0.0	0.3	0.18	0.36
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tekt2	0.0	0.0	0.0	2.14	2.08	0.9
Tfeb	0.0	0.0	0.0	7.17	7.36	8.06
Tfpi2	0.0	0.0	0.0	0.0	0.06	0.0
Tgfbr1	0.0	0.0	0.0	14.52	13.61	13.99
Tlcd1	0.0	0.0	0.0	23.51	25.17	25.64
Tle2	0.0	0.0	0.3	25.91	26.26	26.72
Tmc3	0.0	0.0	0.0	1.32	1.07	1.43
Tmco4	0.0	0.0	0.0	2.19	2.15	2.14
Tmem170	0.0	0.0	0.0	2.91	2.84	3.31
Tmem202	0.0	0.0	0.0	1.44	1.43	1.73
Trim56	0.38	0.12	0.36	3.55	3.52	4.14
Ttc29	0.0	0.0	0.0	0.0	0.27	0.12
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ush2a	0.0	0.0	0.0	0.02	0.05	0.03
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Wnt4	1.67	0.97	0.84	12.67	14.34	12.46
Zbtb7c	0.0	0.0	0.0	2.64	2.89	3.3
Zfp358	0.0	0.0	0.0	26.24	31.27	28.42
Zfp804b	0.0	0.0	0.0	1.27	0.46	0.86
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
