	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110037F02Rik	0.0	0.0	0.0	0.0	0.0	5.9	0.0	0.34	30.31	0.0	1.63	8.86	4.93	0.0	0.29	3.6	0.06	0.38	0.0	8.02	0.0	13.2	0.0	1.14	5.39	0.0	8.86	16.19	0.7	33.95	4.48	0.0	0.21	7.5	0.4	7.94	9.39	20.16	18.84	18.64
1500012K07Rik	0.0	1.31	0.0	0.0	0.0	3.34	0.87	0.17	63.83	0.14	0.36	0.55	0.49	0.0	1.07	0.0	1.52	0.0	1.08	0.57	0.0	2.29	0.0	0.22	0.82	0.29	0.87	3.43	0.0	2.15	0.0	0.0	0.08	0.0	0.48	0.85	3.19	2.29	2.99	2.18
2310030N02Rik	0.0	0.0	0.0	0.0	0.0	3.56	0.0	0.0	46.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	0.0	1.12	0.0	0.0	0.0	26.66	0.0	0.0	0.0	0.0	1.79	0.0	2.63	0.33	10.56	10.89	11.93
2610307P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.22	0.1
2810047C21Rik1	0.68	0.0	0.42	0.0	0.45	0.0	0.0	0.0	87.68	0.0	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.53	0.0	0.17	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.05	3.62	0.22	1.25	0.98	2.12
2810408M09Rik	0.2	0.14	0.29	0.22	0.17	0.04	0.14	0.05	56.85	0.37	0.0	0.34	0.15	0.0	0.0	0.17	0.21	0.0	0.0	0.0	0.0	0.3	0.23	0.0	38.68	0.0	0.0	1.29	0.49	0.0	0.0	0.42	0.15	0.54	0.59	1.37	1.51	20.07	24.51	22.35
3110052M02Rik	0.0	0.0	0.0	5.08	0.4	27.07	33.78	5.25	84.98	33.49	10.33	6.81	7.26	36.48	1.03	0.0	15.05	0.0	0.51	8.95	5.14	0.0	27.95	7.32	0.15	28.64	2.8	10.21	0.05	0.0	0.0	0.11	0.07	5.14	3.42	9.1	5.72	7.36	6.39	8.12
4930447C04Rik	0.0	0.0	18.08	0.0	0.0	36.8	0.0	0.0	189.39	0.0	0.0	0.0	18.35	0.0	0.0	0.0	9.1	0.13	0.0	0.0	0.0	0.0	13.65	0.0	12.97	0.0	0.0	14.79	37.61	0.0	0.0	0.0	7.22	16.76	1.72	10.18	9.36	10.29	7.15	11.48
4930515L03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.0
4931431C16Rik	0.0	0.0	0.0	6.82	0.0	0.0	0.0	0.0	9.12	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.13	0.78	0.49	0.46
