	Ctgf_tdTpositive_cell_16	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_21	Gad2_tdTpositive_cell_17	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_78	Htr3a_tdTpositive_cell_105	Htr3a_tdTpositive_cell_107	Htr3a_tdTpositive_cell_115	PvalbD.Slc32a1_tdTpositive_cell_8	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_26	Sst_tdTpositive_cell_43	Sst_tdTpositive_cell_54	Sst_tdTpositive_cell_57	Sst_tdTpositive_cell_61	Sst_tdTpositive_cell_68	Sst_tdTpositive_cell_74	Sst_tdTpositive_cell_90	Sst_tdTpositive_cell_91	Sst_tdTpositive_cell_93
Afap1	3.56	0.0	2.35	72.03	2.22	109.55	0.1	1.0	8.91	17.12	0.0	32.81	126.25	100.24	120.29	313.14	46.95	51.65	124.57	29.19	235.87
Akap5	23.77	48.15	35.91	435.72	99.84	435.42	15.72	13.72	22.56	29.06	2.05	23.03	152.25	309.94	151.97	464.94	104.2	32.86	101.42	684.18	534.3
Arnt2	0.0	0.0	16.5	52.29	0.17	75.06	0.05	1.37	36.3	48.66	0.0	63.25	126.75	144.57	51.74	46.09	21.78	127.3	82.23	156.25	40.43
Cacna2d3	0.0	0.0	0.0	100.99	69.5	146.84	0.0	0.11	52.13	156.8	0.0	58.6	189.56	71.93	4.61	143.3	55.77	1.26	0.0	10.58	91.91
Camta1	9.64	30.71	7.26	53.13	51.25	113.14	30.4	5.9	45.79	20.85	0.0	81.15	89.61	69.73	68.38	112.46	50.66	16.84	36.47	81.22	79.23
Dnm3	23.33	32.44	34.15	75.92	132.88	133.58	50.13	65.73	82.34	12.68	0.0	70.28	191.87	139.99	85.79	151.67	60.08	78.69	126.66	195.59	155.01
Eef1e1	68.03	181.43	0.0	1028.56	0.0	628.86	123.35	194.55	172.2	503.12	0.0	461.88	758.94	795.57	800.32	410.59	182.86	128.69	130.18	682.58	618.68
Efr3a	30.36	3.2	15.18	48.34	0.19	146.94	19.4	31.83	27.28	41.3	0.0	23.02	107.3	186.08	92.24	150.4	0.55	31.93	79.95	151.72	84.15
Gng2	78.5	76.58	118.64	130.74	8.29	440.37	60.9	93.74	345.43	129.05	0.17	295.71	196.2	259.17	154.13	325.68	148.27	158.75	143.25	208.9	99.99
Iqsec1	8.68	10.78	19.22	46.14	7.34	28.08	8.69	16.54	27.33	57.01	0.0	31.49	111.83	64.8	20.25	24.87	30.82	12.61	16.18	73.44	36.83
Kcna2	34.64	22.12	9.38	64.59	1.16	132.01	30.85	1.47	15.36	90.73	0.1	51.06	65.18	40.46	67.56	48.08	18.05	48.16	56.44	69.47	65.1
Lhx6	0.0	0.23	0.17	275.06	5.56	126.94	0.0	0.0	0.0	2.35	0.0	11.0	59.54	131.57	143.6	88.78	209.15	130.6	17.71	169.82	316.4
Nrip2	2.75	92.72	0.0	243.72	1.19	216.63	0.0	0.0	2.15	102.0	0.0	200.33	539.06	218.98	141.13	323.4	73.89	89.97	148.66	228.8	252.51
Park2	21.04	0.0	12.35	42.53	0.92	26.78	0.0	0.0	5.98	64.87	0.0	36.47	88.36	140.21	60.62	57.37	52.1	35.37	16.02	133.88	65.64
Pdxk	40.91	0.15	46.16	197.94	41.02	164.06	39.23	61.92	221.55	85.67	0.0	41.33	228.57	86.09	95.53	210.97	0.36	165.66	39.62	89.34	170.33
Rab27b	20.55	0.2	10.41	33.6	0.14	169.06	16.62	0.76	71.37	60.72	0.18	28.05	238.28	193.72	78.91	167.65	52.96	51.71	64.54	79.24	221.14
Rbfox1	95.51	53.34	7.21	133.51	258.57	223.56	148.07	7.6	6.11	205.65	0.0	180.03	120.87	208.02	152.97	243.3	64.63	181.05	75.69	242.8	312.73
Reln	0.0	0.0	0.0	215.56	131.69	66.36	0.0	0.0	0.15	0.0	0.0	11.36	177.16	46.1	14.98	18.75	0.0	0.0	0.0	135.67	57.72
Rgs17	43.85	0.0	38.21	189.49	51.49	91.96	16.91	64.3	7.25	11.51	0.05	79.98	81.84	216.47	58.12	72.75	5.62	88.06	15.83	153.79	42.38
Rpp25	0.0	0.0	0.0	372.6	172.31	340.34	0.0	0.63	182.58	78.01	0.0	72.73	260.83	115.49	288.22	251.87	138.45	0.0	115.85	200.92	194.86
Rpusd1	0.0	0.0	0.0	487.65	0.0	156.87	0.0	104.89	125.61	4.85	0.0	186.34	230.24	399.44	264.1	394.49	117.04	103.93	18.36	180.67	137.56
Serpini1	2479.14	3048.33	3088.86	4995.97	5457.73	5101.62	2645.91	3566.42	6456.8	6914.58	0.19	8604.41	4115.66	3859.58	4084.78	8222.62	6171.42	5769.4	6597.9	6524.88	8616.03
Tox3	0.0	0.0	0.0	50.34	0.0	90.36	0.0	0.0	0.0	5.8	0.0	35.69	11.73	2.2	57.91	62.82	0.0	0.0	0.0	92.93	30.13
