	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_96	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Rbp4_tdTpositive_cell_176	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_31	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39
Atp6ap2	1048.18	714.58	324.52	197.14	316.69	511.17	1300.75	657.03	1273.65	751.66	705.19	1100.58	1452.41	1155.68	914.18	1560.23	1244.64	2113.27	1193.52	983.0
C230081A13Rik	0.0	11.24	0.0	0.0	0.0	0.0	55.57	23.75	12.3	0.0	0.0	2.5	0.03	13.15	61.77	15.61	2.02	35.85	5.21	28.93
Calm2	20249.89	19533.68	16241.12	16040.58	19635.16	19628.74	19578.34	24749.41	21064.56	17763.8	20660.56	19276.37	22860.58	23322.9	25106.81	19256.69	21777.08	23557.63	19735.95	19191.1
Cops6	874.85	260.34	0.0	0.41	321.19	0.0	809.73	884.57	606.13	0.0	397.91	447.02	855.48	60.93	490.82	0.57	337.64	905.89	463.52	445.82
Dhrs1	11.79	4.18	0.27	194.95	0.0	112.47	227.44	471.27	122.82	0.0	154.33	213.25	332.57	0.2	278.48	124.49	125.1	247.74	141.79	136.77
Gadd45a	0.0	0.0	0.0	0.0	0.0	0.0	48.15	145.91	22.87	0.0	0.0	0.0	46.8	8.07	25.14	31.18	7.85	140.19	4.09	125.77
Lmo3	0.0	0.0	0.19	0.0	0.0	0.0	771.74	348.58	409.05	0.0	0.3	0.61	539.1	309.27	185.4	177.72	328.07	494.89	218.12	862.5
Plcxd3	0.0	0.0	0.0	0.0	0.0	0.0	51.69	149.03	0.18	0.0	0.0	0.0	368.31	189.0	0.24	173.5	1.92	169.3	100.74	142.24
Psmb1	605.9	451.04	437.24	385.26	755.5	615.26	816.72	1384.65	594.7	511.09	659.94	982.21	1759.48	1439.66	1585.13	1371.8	763.02	1003.61	885.53	863.71
Scoc	256.8	110.9	68.16	162.3	222.99	130.91	549.73	407.67	279.14	77.69	521.21	360.8	333.43	756.48	686.4	286.06	497.64	1334.59	782.67	702.94
Spin1	389.32	701.17	442.71	434.98	336.87	509.68	783.24	749.12	460.29	495.71	631.54	546.83	749.23	856.65	942.12	548.36	970.23	854.36	652.31	553.52
Swi5	351.5	473.26	416.5	334.64	882.29	570.09	706.29	735.78	774.2	494.4	543.3	608.91	581.48	929.21	1004.64	1007.0	2065.31	756.9	633.64	986.98
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	33.84	75.42	0.05	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16
mt_AK139026	0.0	751.57	0.11	71.28	0.03	76.79	867.12	1133.27	857.18	0.0	119.92	685.38	870.54	553.37	1261.2	743.67	392.79	945.51	1757.69	478.43
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	33.84	75.42	0.05	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	33.84	75.42	0.05	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	33.84	75.42	0.05	0.0	0.11	0.64	1.14	52.84	4.5	2.02	0.0	240.38	2.48	0.16
