	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_77	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_76	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
A830010M20Rik	0.04	0.0	0.06	0.0	39.87	83.21	77.11	111.64	201.9	148.54	126.08	64.21	155.04	155.35	33.89	0.7	0.03	33.54	14.36	4.08	2.47	1.1	0.0	19.71	0.15	88.49	59.94	142.27	57.13	55.43	212.06	186.28	110.19	118.73	157.51	256.16	114.8	36.33	39.48	86.67	141.41	10.47	1.46	0.05	0.2	77.81	91.61	45.37	98.61	106.97	102.09	147.11	114.53	112.22	81.61	79.22	62.81	69.42
A830018L16Rik	1.35	0.49	0.53	0.45	1.39	184.75	54.74	43.65	47.93	16.31	15.6	57.72	155.06	136.22	0.47	0.23	0.17	0.43	0.42	0.16	8.5	0.42	0.17	6.73	0.71	45.88	101.03	2.54	77.24	15.1	4.12	39.75	144.99	17.81	99.94	188.02	48.52	2.43	8.4	151.28	31.89	0.36	0.14	0.35	0.48	52.35	57.63	0.44	20.49	109.13	2.52	14.34	32.22	17.32	1.02	28.55	20.08	49.75
Adora1	0.0	0.0	0.0	0.0	59.73	93.09	203.7	144.06	105.9	115.91	11.06	40.5	55.98	28.94	0.09	0.05	0.0	0.0	0.06	0.15	0.04	0.0	0.0	0.0	0.07	31.13	100.56	63.45	68.13	142.04	50.24	48.02	62.85	116.65	120.93	70.86	23.36	0.0	40.04	53.18	1.24	0.0	0.0	0.04	0.0	69.26	65.35	0.0	0.0	90.76	59.78	0.06	0.96	117.95	31.22	111.92	44.87	32.49
Ano3	0.0	0.0	0.0	0.0	114.63	200.73	296.56	259.84	257.03	272.25	93.98	148.23	311.41	279.83	0.05	0.05	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.12	273.55	123.36	365.92	214.62	306.77	317.71	182.97	288.58	237.4	241.84	170.77	0.0	29.84	51.55	57.87	0.1	0.1	0.0	0.0	200.79	247.28	50.77	227.22	238.38	170.62	153.31	342.04	772.9	173.24	279.18	133.96	8.56
Arap2	20.56	25.08	0.0	0.0	24.49	126.17	60.6	8.78	55.68	31.79	13.2	27.4	34.91	136.61	0.08	0.0	0.11	0.0	0.04	0.0	0.66	0.0	0.0	0.0	0.09	107.8	81.16	4.06	6.23	16.24	43.98	9.31	36.9	184.33	35.02	45.31	58.39	0.14	43.63	108.97	1.05	7.08	0.0	0.0	0.06	38.23	22.35	3.89	57.63	33.39	107.03	54.51	74.95	1.35	47.0	76.66	35.39	24.83
Ccl27b	0.0	22.81	0.0	0.0	19.36	83.17	51.88	0.59	119.29	39.7	19.91	0.93	71.72	14.78	0.03	0.0	1.74	0.0	0.58	0.0	0.0	0.29	0.0	4.31	0.0	5.88	54.51	310.16	318.99	188.03	85.18	111.71	178.93	183.85	79.46	128.94	62.7	0.0	118.89	150.83	108.35	4.89	1.61	0.0	0.0	54.7	75.81	138.81	91.35	100.7	111.82	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Dlg1	0.03	0.0	0.0	17.16	14.76	80.03	179.28	82.47	104.08	95.34	76.2	98.48	145.89	66.09	20.73	4.09	66.43	0.12	3.17	3.51	0.0	0.0	2.18	3.02	0.0	87.01	29.9	0.18	64.09	69.35	10.85	114.28	8.87	30.9	63.45	72.89	102.14	0.0	83.38	80.56	112.12	29.41	32.53	0.0	0.0	59.76	52.41	66.31	42.01	77.36	42.04	34.22	96.19	65.79	17.89	49.15	16.51	105.51
Gas7	9.72	0.74	0.47	6.59	39.76	44.71	65.18	33.66	46.95	107.21	33.38	33.68	22.7	32.55	3.27	1.68	2.26	12.46	15.54	0.39	1.19	0.0	0.29	0.92	280.53	52.57	18.82	40.42	15.36	104.6	67.99	82.78	34.06	77.95	81.68	157.7	76.56	0.0	105.46	137.33	234.78	0.23	13.92	23.62	0.0	113.85	114.27	102.7	61.38	87.67	200.22	47.2	38.92	73.62	22.32	52.84	8.68	43.38
Gm13306	0.0	22.81	0.0	0.0	19.36	83.17	51.88	0.59	119.29	39.7	19.91	0.93	71.72	14.78	0.03	0.0	1.74	0.0	0.58	0.0	0.0	0.29	0.0	4.31	0.0	5.88	54.51	310.16	318.99	188.03	85.18	111.71	178.93	183.85	79.46	128.94	62.7	0.0	118.89	150.83	108.35	4.89	1.61	0.0	0.0	54.7	75.81	138.81	91.35	100.7	111.82	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Gm2506	0.0	22.81	0.0	0.0	19.36	83.17	51.88	0.59	119.29	39.7	19.91	0.93	71.72	14.78	0.03	0.0	1.74	0.0	0.58	0.0	0.0	0.29	0.0	4.31	0.0	5.88	54.51	310.16	318.99	188.03	85.18	111.71	178.93	183.85	79.46	128.94	62.7	0.0	118.89	150.83	108.35	4.89	1.61	0.0	0.0	54.7	75.81	138.81	91.35	100.7	111.82	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Gng12	0.0	0.0	0.0	0.0	1.4	39.72	64.41	8.43	137.4	121.82	31.8	74.56	1.63	129.29	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	23.53	81.62	31.9	64.6	67.54	18.51	14.97	48.89	72.4	304.64	143.22	88.67	0.0	45.5	10.23	0.0	0.0	0.0	0.0	0.0	34.0	42.99	0.0	24.07	15.95	2.09	50.24	16.64	4.68	0.31	0.07	2.44	18.79
Hpcal4	0.06	0.0	15.66	0.0	63.57	101.97	259.96	52.0	146.22	143.94	48.11	27.83	183.97	166.05	0.72	4.15	8.72	26.64	0.07	15.21	2.32	0.0	76.5	39.32	0.0	3.99	83.52	94.5	86.69	0.16	109.11	144.19	110.81	154.46	188.8	124.12	46.14	0.0	9.73	115.75	13.96	7.46	7.63	35.79	0.0	96.92	63.22	2.48	7.96	67.37	80.37	54.57	86.47	204.88	59.45	76.65	105.27	33.84
Ipcef1	1.02	0.0	0.0	1.47	1.58	162.98	115.2	51.04	65.5	108.59	65.93	15.9	56.36	210.82	0.01	0.04	0.19	0.13	0.0	0.36	0.33	0.29	0.62	0.0	0.31	225.42	250.97	12.81	70.8	16.68	114.83	108.11	86.16	60.71	188.8	184.62	134.66	0.0	48.52	297.47	177.06	0.04	0.17	0.33	0.0	48.24	57.92	0.47	7.03	76.7	201.87	113.87	72.96	49.16	65.54	79.27	81.94	21.51
Itpr1	0.02	0.0	0.0	0.0	11.61	63.44	23.39	27.17	23.38	11.69	10.59	16.21	19.83	10.96	0.02	0.02	0.03	0.03	0.0	0.0	0.0	0.0	0.25	4.08	0.07	57.84	6.76	24.37	0.0	14.62	11.43	60.18	81.37	37.06	24.11	42.49	33.18	0.0	55.67	7.98	46.43	0.0	0.0	0.26	0.0	24.43	36.46	20.07	46.68	27.11	14.16	28.51	8.05	66.15	50.76	30.12	0.0	31.64
Klf9	0.05	0.0	0.0	7.23	1.67	110.36	144.65	16.83	147.41	167.84	38.6	36.39	75.55	83.33	8.26	0.0	0.1	0.0	5.77	8.29	0.0	0.0	0.0	1.21	85.17	126.76	123.03	118.44	62.73	82.44	122.0	1.22	98.36	144.58	168.18	109.5	131.21	0.0	70.98	226.08	37.16	0.0	9.23	8.57	0.0	94.99	83.04	16.46	32.52	56.15	62.8	84.19	5.07	50.69	4.44	125.82	94.15	25.89
