	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110021J02Rik	2.33	0.57	1.54	0.0	2.31	2.84	4.44	48.69	10.24	3.2	16.64	7.88	1.85	1.2	1.94	1.67	39.62	29.8	1.45	44.94	3.01	1.64	3.39	2.43	2.12	5.99	37.4	17.6	11.57	22.24	26.9	2.96	27.26	26.87	2.35	2.5	8.28	8.61	19.45	33.32	33.8	34.72
1200011I18Rik	1.07	0.15	0.5	0.31	0.4	0.88	1.48	0.67	6.91	6.6	2.88	14.87	0.5	2.39	10.86	1.07	1.96	0.78	8.21	7.02	28.54	0.32	18.74	1.88	3.98	0.81	0.91	13.74	1.03	0.63	1.24	1.8	1.77	54.34	16.3	0.07	12.18	7.2	26.36	24.99	23.85	23.5
4922505G16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.26	0.75	0.62
4930579G18Rik	3.88	0.0	12.04	0.36	1.33	2.39	6.69	0.33	0.34	6.62	0.38	1.69	1.36	2.44	0.92	0.46	2.49	0.64	0.71	2.9	0.19	0.99	3.74	0.93	1.42	1.36	17.12	4.16	0.6	1.03	15.87	1.83	2.82	9.54	1.0	1.09	2.07	5.04	0.73	4.17	5.24	5.56
4933409K07Rik	23.15	3.13	0.22	41.29	63.75	144.48	53.58	80.16	102.17	74.56	165.49	86.22	100.62	128.16	66.3	180.47	163.89	166.58	76.99	211.71	107.3	102.21	175.0	187.74	107.75	122.22	194.42	132.24	120.23	61.16	197.35	107.55	101.74	193.19	150.88	101.16	134.24	85.69	147.64	201.88	193.56	177.85
8430406I07Rik	0.0	0.0	0.0	0.0	26.71	0.0	0.0	0.0	0.0	0.0	32.68	0.19	0.0	0.0	0.0	0.14	0.0	0.0	38.22	0.0	0.0	39.88	0.0	0.0	0.0	0.0	68.87	0.0	42.44	0.0	0.0	0.0	0.43	32.34	0.0	0.0	36.84	1.04	0.14	4.84	4.56	4.33
9430083A17Rik	1.45	0.62	1.06	0.0	0.42	1.1	2.98	0.0	28.99	29.15	0.0	0.35	17.45	0.46	0.47	1.97	1.05	15.47	0.48	1.2	0.64	0.43	2.36	0.86	1.58	1.05	16.17	10.72	0.77	27.47	0.86	1.81	0.96	57.66	1.66	1.47	1.62	2.3	0.64	3.66	3.05	3.94
A430078G23Rik	6.44	28.27	0.0	5.0	5.64	6.14	8.97	3.16	16.12	6.07	16.71	6.29	18.43	11.36	19.44	25.72	16.92	12.33	9.49	15.48	12.37	3.88	23.59	19.72	16.15	2.04	24.6	25.42	11.37	10.33	29.17	8.27	11.14	35.71	29.4	16.4	14.93	9.82	11.32	11.81	10.25	12.76
A930013F10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.77	1.63	23.1	0.21	0.0	0.81	1.14	11.86	14.59	2.11	0.51	1.14	65.09	43.89	83.13	0.0	3.22	8.78	2.36	14.75	1.38	51.28	16.19	0.99	1.77	91.72	92.46	2.03	0.9	7.58	1.61	14.67	12.16	15.02
Abhd8	0.0	0.12	0.0	0.0	6.12	0.0	0.0	0.0	0.0	0.0	11.02	16.22	5.53	0.0	4.89	4.54	0.0	4.83	5.39	7.48	0.0	0.0	0.0	0.0	3.26	0.38	38.31	0.33	10.16	9.56	33.94	1.01	0.0	0.0	0.0	6.32	20.43	0.0	0.0	258.73	291.63	278.41
Acap2	6.55	0.67	0.0	0.0	0.0	0.0	0.0	0.0	16.61	12.98	15.35	6.32	0.0	0.0	0.0	0.51	0.14	8.92	15.97	5.9	25.82	0.34	11.92	48.71	15.06	0.0	0.0	0.0	0.0	4.26	17.0	0.48	24.2	68.52	0.0	0.0	25.03	34.76	0.0	56.56	51.78	55.9
Adap1	0.0	0.0	0.0	0.0	0.27	0.39	0.0	0.0	0.0	0.66	2.5	9.75	0.27	7.06	0.38	45.66	0.51	5.58	1.02	0.0	10.6	23.04	0.0	0.0	1.92	43.95	21.35	2.69	0.0	7.02	53.43	25.26	0.0	48.84	34.18	44.45	17.88	6.34	14.39	195.41	208.11	199.98
Adat1	0.0	0.22	0.0	0.0	0.2	0.11	0.0	0.07	0.0	24.7	0.17	0.0	0.0	0.0	0.25	17.78	41.89	0.09	0.13	7.28	6.94	2.88	0.0	0.0	0.29	0.12	56.09	0.17	0.29	0.79	15.98	11.91	0.0	65.18	0.13	0.24	0.24	0.12	31.32	6.06	6.33	6.29
Akna	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.0	0.08	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.04	2.42	1.92	2.06
Ampd3	0.0	0.0	0.0	0.0	21.27	0.0	0.0	0.0	0.0	0.0	0.0	1.85	23.04	0.0	35.01	0.0	9.55	1.42	0.1	0.0	0.0	9.34	0.0	0.0	0.0	0.36	0.0	1.8	0.0	2.07	0.0	0.0	0.0	52.8	0.0	0.0	0.0	0.43	0.0	15.92	15.86	16.86
Atn1	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	2.14	1.59	0.0	0.14	9.08	1.14	4.96	5.54	0.31	2.3	5.6	0.0	0.0	8.89	3.47	11.58	3.53	19.36	1.67	2.34	5.25	6.61	3.77	5.17	3.47	1.19	4.85	6.3	0.0	1.54	96.96	98.9	99.63
B020018J22Rik	0.0	0.0	0.19	0.0	0.2	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.19	0.19	0.0	0.12	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.05	0.12	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.05	0.23	0.43	0.18
B4galt5	0.0	11.22	0.0	0.0	25.6	7.93	0.18	1.64	3.4	0.75	3.71	2.99	13.76	0.77	20.68	2.55	13.48	0.13	0.19	1.46	3.95	0.75	6.95	0.75	5.95	3.78	22.19	0.0	5.42	2.72	7.7	2.72	1.1	29.31	7.87	0.27	15.83	0.75	4.59	26.52	28.02	29.16
BC057079	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.47	0.81	3.89	0.69	0.0	36.67	2.03	0.7	0.26	2.89	4.81	4.16	2.85	0.85	0.6	1.54	2.82	34.72	49.62	26.21	18.95	20.39	6.66	1.76	0.66	3.19	0.42	1.16	14.9	0.66	10.62	22.29	21.25	22.45
Cacna1a	0.0	0.0	0.0	0.0	4.66	3.74	0.0	0.16	0.97	0.6	1.31	2.38	1.82	5.43	1.45	2.88	2.26	3.13	4.71	1.05	2.75	1.14	0.84	2.21	2.15	3.12	1.19	1.55	2.48	2.49	14.25	0.2	0.39	6.13	0.36	2.15	2.21	0.67	11.05	73.0	70.76	78.42
Casp2	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.96	73.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	5.64	0.0	0.0	0.0	0.0	0.0	52.85	2.34	0.0	0.0	0.0	0.0	9.77	9.37	10.73
Cd80	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.22	0.0	0.0	0.21	0.0	0.0	0.68	0.58	0.73
Cdh8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3	0.0	0.0	0.0	0.0	0.0	12.19	0.0	0.0	0.0	0.0	0.28	32.14	0.0	0.0	75.21	0.0	0.0	0.95	101.3	13.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.7	38.06	35.28
Cep78	0.0	0.0	0.0	0.0	0.0	7.64	0.0	0.0	0.0	11.19	0.0	20.11	26.16	18.11	0.0	0.0	0.6	0.11	2.09	0.17	3.18	3.2	0.0	0.0	0.0	0.15	38.06	0.25	14.85	0.0	34.24	0.0	23.05	0.0	0.0	0.0	0.0	23.69	24.38	9.3	9.79	10.84
Ch25h	0.0	19.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	2.78	11.53	0.0	0.0	0.0	0.0	0.0	1.69	79.61	2.67	0.0	0.0	80.97	0.0	0.0	0.0	0.0	0.0	0.0	0.8	2.2	0.37	0.63	0.84
Clpb	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	21.45	0.0	14.99	13.71	0.0	7.19	37.44	8.6	0.0	0.0	16.63	0.0	2.44	9.91	0.0	0.1	0.0	56.09	0.0	0.0	0.0	0.0	0.0	0.0	32.99	0.0	0.0	25.92	0.0	33.3	26.35	25.52	25.42
Cmc1	0.0	0.0	0.0	0.0	17.64	0.0	0.24	28.37	75.14	48.13	74.61	0.0	0.0	36.7	53.05	26.59	14.95	55.83	74.18	50.37	15.01	0.0	79.25	3.23	0.8	0.0	147.57	22.37	8.38	17.61	1.02	57.38	5.41	77.71	14.15	20.0	48.2	27.91	0.17	22.58	24.63	20.94
Cox5a	0.0	35.03	0.0	0.0	102.66	0.48	172.12	179.82	96.47	102.54	49.46	30.5	50.38	121.15	59.16	189.8	39.33	197.66	57.02	42.99	19.12	45.35	67.74	75.27	19.82	81.13	115.37	127.91	30.31	102.25	113.31	49.66	37.18	160.43	48.33	87.82	120.71	51.68	63.72	317.86	343.95	311.57
