	Cux2_tdTpositive_cell_47	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1
1700012D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.8	0.0	0.0	0.0	1.48
1700013N18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.82	0.0	0.0	0.0	0.07
1810021B22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55	0.0	0.0	0.0	3.63
A330041J22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.43	0.0	0.0	0.0	1.29
AI414108	0.0	0.0	0.0	0.0	0.0	0.08	63.55	0.0	107.24	1.33	8.48	20.58	36.11
Actbl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0
Acy1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.63	0.0	0.0	0.0	13.2
Adcy1	0.06	0.0	16.85	14.4	0.0	41.38	72.26	0.66	92.36	47.19	36.68	71.76	224.96
Airn	0.0	2.2	1.25	1.23	0.0	6.2	3.81	0.78	5.97	0.25	0.39	0.0	3.67
Ankrd55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	2.47
Aoc2	4.7	10.23	3.12	11.92	0.65	4.72	6.08	2.77	12.06	1.21	1.19	2.6	6.34
Apitd1	0.0	0.0	0.0	0.39	0.0	0.0	118.98	0.0	3.64	0.0	0.0	0.0	4.8
Apold1	0.0	0.0	1.08	0.0	0.0	0.23	0.0	0.0	0.05	0.0	0.0	0.0	7.34
B430306N03Rik	0.06	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.14	0.0	0.0	0.04	0.14
Bglap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.53	0.0	0.0	0.0	0.31
Capzb	150.64	4.69	98.9	90.23	0.0	38.35	349.84	2.79	370.1	209.74	88.63	16.03	243.55
Cars2	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	2.36	0.0	0.0	15.28	13.21
Cblb	0.75	0.0	0.0	0.0	0.0	0.0	0.0	20.95	39.48	0.0	40.24	0.0	11.49
Ccdc73	0.0	0.0	18.87	0.0	0.0	0.0	0.0	0.0	33.39	0.0	0.0	12.25	6.48
Cenpe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.45
Chic1	0.73	2.12	33.84	0.83	0.27	1.14	1.3	1.48	45.37	2.9	10.43	15.44	18.13
Coq10b	0.0	0.0	150.45	178.02	0.24	194.86	3.43	379.83	232.38	0.0	100.05	0.59	42.44
Cyp2ab1	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.07
D430041D05Rik	8.17	0.0	17.09	18.5	0.0	0.0	0.04	45.03	76.82	0.03	5.59	0.0	69.49
Dis3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.46	0.0	37.33	0.0	10.13
Dlx5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	9.03
Dpysl5	0.0	0.0	0.0	30.41	0.0	9.75	0.0	0.0	13.66	0.0	0.0	0.0	19.09
Dyrk1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	31.4
Egflam	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	2.16
Eif4h	0.63	0.0	30.89	83.33	0.0	0.0	0.44	75.75	184.03	196.29	64.69	89.11	333.37
Epha8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.15	0.0	0.0	0.0	6.66
Exoc6	0.0	0.0	26.37	55.15	0.0	251.46	0.0	17.1	83.75	65.97	41.71	3.56	36.36
Fam189a1	0.0	0.0	0.37	5.55	0.0	0.0	0.32	3.7	90.78	1.48	2.7	3.23	47.7
Fibcd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	14.83
Flt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.09	0.0	0.0	0.0	6.21
Frem1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	1.26
Fzr1	0.0	2.22	11.71	0.0	0.0	0.0	0.34	0.06	122.26	0.38	0.0	0.0	65.81
Gabbr1	0.04	0.0	26.65	0.08	0.0	35.67	1.1	45.6	143.64	1.64	14.35	70.94	381.73
