	Ndnf_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_250ng_1
1300015D01Rik	0.0	0.04	0.38	5.28	0.0
1700044C05Rik	0.0	0.0	0.54	37.18	0.0
1700047I17Rik2	0.0	6.01	8.44	20.52	17.56
2600006L11Rik	0.0	0.0	0.0	14.21	1.13
4930548G14Rik	0.0	0.0	0.0	1.5	0.0
4933401D09Rik	0.0	0.23	1.8	8.7	1.04
4933416M06Rik	0.0	0.0	0.0	1.36	0.0
5430411K18Rik	0.0	0.34	7.55	141.16	20.29
9330159M07Rik	0.0	0.77	7.13	10.81	2.6
Adpgk	0.0	0.0	0.0	389.67	14.56
Agbl5	0.0	0.0	5.46	87.57	12.44
Amy2a2	0.0	0.04	0.0	1.81	0.26
Amy2a3	0.0	0.04	0.0	1.81	0.26
Amy2a4	0.0	0.04	0.0	1.81	0.26
B230208H17Rik	23.72	1.75	21.06	367.27	117.59
Btaf1	0.0	17.39	0.83	194.03	16.02
Camk2g	0.0	21.75	281.82	1016.55	180.29
Ccdc134	0.0	0.07	0.13	606.17	9.89
Ccdc57	0.0	0.0	0.0	193.03	7.35
Ccdc68	0.0	0.0	0.0	362.64	0.33
Ccl27b	0.0	1.18	14.7	274.48	30.63
Col16a1	0.0	0.0	0.0	62.82	10.68
Crabp2	0.0	0.0	0.0	438.41	5.98
Csnk2a2	0.0	0.37	8.96	302.84	19.92
Dlg3	0.0	25.54	5.18	259.29	115.59
Dock7	0.0	9.24	48.99	339.49	19.14
Dusp28	0.0	0.0	0.37	255.44	26.98
Egr4	0.0	0.07	0.13	194.92	72.14
Eif3b	0.0	5.61	1.18	358.48	73.74
Emid2	0.0	0.0	0.0	438.2	5.95
Fam177a	0.0	6.01	8.44	20.52	17.56
Gm13306	0.0	1.18	14.7	274.48	30.63
Gm15412	0.0	0.0	0.0	132.98	0.09
Gm2506	0.0	1.18	14.7	274.48	30.63
Gm6329	0.0	0.0	0.0	2.5	0.05
Hemgn	0.0	0.0	0.21	1.7	0.04
Htatsf1	0.0	0.77	0.1	474.11	63.51
Inha	0.0	38.87	84.06	433.93	38.56
Irs2	0.0	0.0	4.96	175.0	24.88
LOC433944	0.0	0.0	0.17	1.34	0.0
Larp1b	0.0	0.0	0.0	631.46	18.32
Lrrc26	0.0	0.0	0.0	82.64	3.68
Lrrc55	0.0	0.05	0.84	277.99	21.18
Mafg	0.0	0.09	8.23	274.77	54.59
Mir453	0.0	0.0	0.0	267.95	2.16
Ms4a4d	0.0	0.0	0.0	1.11	0.07
Myh7b	0.0	0.0	19.29	20.96	3.51
Nab2	0.0	0.18	0.55	447.45	46.24
Naf1	0.0	0.0	0.0	196.07	14.69
Ndnl2	0.0	0.0	21.07	478.05	37.88
Ninl	0.0	0.0	0.42	192.32	4.29
Optc	0.0	0.0	0.94	234.84	1.05
Phf21a	0.0	0.0	0.0	358.62	18.71
Pip4k2b	0.0	0.03	0.0	101.42	83.28
Pitpnm3	0.0	18.82	1.54	250.47	51.44
Psip1	0.0	0.09	56.15	134.84	120.58
Rab24	0.0	4.16	126.42	254.23	60.01
Rab5a	0.0	66.79	256.73	403.98	136.28
Ralgapa2	0.54	2.06	5.46	137.63	10.55
Rasl12	0.0	0.3	3.7	11.75	5.66
Rufy2	0.0	2.96	4.73	39.46	26.51
Scrt2	0.0	0.04	15.72	48.28	13.03
Slc25a23	0.0	11.48	3.05	570.89	290.22
Slco1a1	0.0	0.0	0.0	0.42	0.0
Sprr2a1	0.0	0.04	0.16	0.23	0.08
Sprr2a2	0.0	0.04	0.16	0.23	0.08
Tmem189	0.0	0.0	1.45	389.19	59.64
Usp44	0.0	0.26	0.16	105.41	0.07
Vmn2r121	0.0	0.0	1.2	7.75	0.03
Vmn2r87	0.0	0.06	0.0	273.72	2.25
Xylb	0.0	0.0	0.0	126.37	4.87
Zfp259	0.0	1.06	9.91	319.41	25.94
Zfp382	0.0	3.58	4.77	647.61	14.56
Zfp518b	0.0	1.3	0.0	128.48	8.11
c17_SSU-rRNA_Hsa	518.53	14819.64	62935.79	39573.42	987.3
c9_SSU-rRNA_Hsa	0.0	19.85	123.92	951.39	3.35
