	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_73	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
1700047I17Rik2	57.42	1.48	2.15	0.31	9.25	6.19	6.31	8.35	15.39	5.52	38.66	6.82	24.53	3.54	29.66	11.16	6.7	6.99	21.56	10.97	13.82	12.74	10.92	13.08	7.94	0.58	9.27	13.56	1.24	24.09	25.46	24.24	19.03	10.75	15.55	5.43	1.71	1.54	16.29	44.52	9.58	0.75	6.62	10.55	3.22	9.73	3.78	0.4	4.55	0.26
2310044G17Rik	0.0	0.0	0.0	0.0	0.0	0.23	0.0	374.31	31.37	0.0	0.29	24.66	21.04	4.46	22.79	27.44	33.01	31.0	16.15	47.43	62.65	0.95	35.45	0.0	53.92	0.0	86.51	0.0	0.0	67.22	120.42	65.68	15.14	31.85	0.07	39.26	24.76	19.01	0.0	0.0	35.13	22.12	14.77	62.29	34.59	9.56	4.4	0.0	0.09	0.0
2610316D01Rik	6.97	256.18	0.0	0.0	61.67	0.0	0.0	0.0	26.13	0.0	0.0	46.97	8.73	58.36	64.92	69.94	0.0	0.0	46.83	2.69	79.33	37.88	104.3	180.67	106.57	0.0	184.0	0.0	49.81	67.32	104.57	54.94	0.0	102.87	92.19	0.46	65.74	53.23	0.0	45.09	72.02	0.0	0.0	45.57	3.41	0.0	122.67	0.4	1.25	0.0
Abcf1	1.96	0.0	0.0	0.0	9.03	46.66	0.0	0.0	43.15	0.0	46.5	21.2	53.22	0.0	9.38	63.64	15.61	14.21	86.11	29.51	52.38	33.7	23.26	30.65	10.28	1.95	21.31	47.33	55.58	65.94	78.95	67.52	33.63	30.56	13.63	35.95	51.93	38.15	37.04	53.32	20.32	9.74	46.62	36.96	16.23	63.21	60.4	0.22	11.68	0.0
Adrm1	0.34	22.54	0.0	0.0	0.0	106.47	0.0	0.0	52.39	55.19	0.0	80.8	26.52	0.0	0.0	46.53	52.77	16.62	64.45	5.64	122.43	0.0	20.11	33.27	26.86	0.0	80.51	118.3	6.65	79.96	220.01	30.46	18.79	23.48	26.18	54.25	32.08	24.98	116.86	69.63	37.59	72.41	76.11	30.51	61.36	77.83	62.18	0.0	657.05	0.0
Arhgef9	0.0	0.05	0.0	0.0	92.59	0.06	0.05	0.0	16.16	0.0	0.81	4.22	4.57	70.14	6.23	29.95	27.24	24.64	14.82	52.13	21.97	51.21	5.35	11.96	3.98	0.15	0.6	40.42	0.0	2.08	53.51	26.34	0.34	28.25	22.51	41.57	30.34	6.92	2.86	78.4	3.41	18.43	0.45	59.34	28.98	16.25	24.67	0.0	0.29	0.0
Armcx5	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	20.15	0.0	0.33	42.89	6.49	32.87	0.0	16.26	27.72	12.86	7.42	0.0	70.99	73.15	105.11	36.22	1.38	0.0	0.0	0.17	4.01	81.13	72.16	0.0	43.04	38.34	15.02	47.68	6.78	27.67	0.0	55.44	46.68	23.09	0.0	0.09	0.0	13.28	61.7	0.12	0.26	0.0
C030046I01Rik	23.58	0.43	0.0	0.0	78.5	23.94	6.14	0.0	30.21	4.78	72.01	29.35	10.64	45.47	90.8	43.13	92.44	18.0	32.25	20.62	74.14	12.11	125.26	94.88	45.78	16.12	14.21	31.44	7.4	134.88	144.03	100.68	83.49	25.41	81.7	60.64	45.66	56.85	61.73	50.83	15.33	25.09	52.36	34.81	49.68	24.49	84.7	98.56	2.13	45.13
Cacna2d2	0.0	0.0	0.06	0.0	3.19	0.06	0.05	0.0	7.6	0.0	0.0	0.75	6.92	0.09	0.34	5.35	0.0	6.03	9.01	16.43	10.03	2.27	7.24	19.51	0.7	0.0	0.0	2.39	7.42	27.27	3.11	8.0	3.93	5.88	2.19	8.82	3.9	4.04	4.37	8.29	0.77	0.0	0.41	8.07	2.93	6.81	2.37	0.0	0.0	0.0
Ccng1	0.1	0.7	0.0	0.0	0.0	0.9	0.0	0.0	14.02	0.0	0.17	0.0	9.0	33.18	7.91	3.69	54.98	53.4	12.15	1.35	30.04	63.52	9.94	13.31	32.06	0.0	0.0	0.0	0.0	32.87	96.13	39.78	0.1	0.0	5.11	0.15	0.21	5.17	0.37	3.75	6.62	39.8	2.32	0.0	46.38	0.31	38.1	0.1	0.32	20.87
