	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2510003E04Rik	0.0	0.0	47.33	24.56	178.04	190.65	180.04
5730494N06Rik	0.66	1.88	10.71	21.96	39.61	38.28	36.33
6330407J23Rik	0.0	0.0	19.32	11.18	49.96	45.74	58.4
Abr	0.0	0.0	23.65	18.54	272.97	271.82	286.04
Adam11	0.18	0.16	5.43	6.01	100.2	105.1	100.46
Adap1	0.0	0.0	8.66	18.42	195.41	208.11	199.98
Adcy1	163.6	0.0	34.32	49.75	224.96	212.91	233.52
Adrb1	0.0	0.0	2.54	1.38	30.68	33.63	27.06
Agap2	0.0	0.0	2.27	5.08	422.27	459.59	467.65
Akirin1	0.0	0.0	3.04	6.99	70.97	75.53	68.13
Amigo1	0.0	0.0	22.55	10.51	58.86	60.1	60.6
Ankrd13d	0.0	0.0	2.84	6.47	58.38	59.24	61.04
Ankrd34a	0.0	0.0	0.33	5.6	57.01	57.85	56.25
Apc2	0.0	0.0	0.22	0.64	49.75	52.05	53.73
Arfgef1	1.62	0.0	21.83	13.02	51.81	44.82	48.91
Arhgap21	0.0	0.0	11.57	4.06	77.97	75.97	80.34
Arhgdig	0.0	0.0	0.81	17.98	88.82	95.75	99.37
Arhgef17	0.0	0.0	6.71	2.48	53.82	58.08	58.26
Arid1b	0.06	0.0	8.74	9.06	20.92	20.89	22.57
Asb5	0.0	0.0	0.0	0.0	0.57	0.71	0.85
Atrn	0.28	0.04	5.9	12.61	85.45	83.79	91.7
Atxn7l3b	32.5	0.0	36.64	38.62	164.51	159.91	161.8
B4galnt1	0.0	0.0	15.69	14.58	125.68	137.59	125.52
BC005537	0.0	0.0	37.48	22.56	152.76	160.06	152.41
BC018242	0.0	0.0	9.05	9.25	148.85	160.32	156.13
BC030336	0.0	0.0	27.78	28.31	35.07	32.42	33.37
Bag1	0.0	114.05	5.23	19.3	146.96	156.33	154.32
Bap1	0.0	0.0	45.81	35.72	103.47	103.07	104.21
Baz2a	0.0	0.04	2.81	4.09	27.57	27.42	26.18
Bcl2l2	0.0	0.0	25.59	9.01	106.04	105.91	103.99
Bdp1	3.28	0.0	5.22	1.67	12.83	10.44	12.97
Boc	0.0	0.0	0.0	0.0	12.25	13.07	13.82
Bsn	0.0	0.02	18.51	17.76	89.93	87.69	106.31
C130074G19Rik	0.0	0.0	0.0	0.27	49.03	50.81	49.79
C2cd2l	0.0	0.0	11.06	2.13	101.81	111.13	100.46
Cab39	0.0	0.0	47.53	31.86	153.97	150.03	150.81
Cadm2	0.0	0.0	53.0	35.36	83.14	65.9	81.87
Car11	0.0	0.0	4.89	15.84	214.47	236.01	224.75
Cd244	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cdk16	0.0	0.11	7.17	24.81	206.47	218.5	219.97
Cdk17	0.0	0.19	52.36	52.05	160.95	161.18	153.81
Celsr2	0.0	0.0	20.69	14.01	73.45	73.3	82.99
Ces1a	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chrd	0.0	0.0	9.27	1.26	27.09	30.65	28.33
Coro2b	0.0	0.0	15.69	16.69	118.73	124.35	130.21
Csnk1a1	0.0	46.83	71.52	58.75	245.55	230.34	231.46
Cul4a	0.0	0.0	5.2	13.33	57.84	56.16	56.17
Cyth1	0.0	0.0	0.46	2.53	67.03	75.5	69.5
Cyth2	0.0	0.0	6.85	16.78	68.24	74.9	71.28
Dcaf6	0.0	1.46	16.29	18.05	80.08	75.12	71.58
Dpf1	0.0	0.0	10.14	14.26	47.74	50.08	44.62
Dync1h1	14.95	0.0	15.15	19.73	143.44	143.12	153.5
Eid1	0.0	0.0	64.55	27.59	219.68	227.68	212.38
Ephb6	0.0	0.0	23.94	33.58	93.01	90.46	96.16
Etv3	43.27	0.0	3.27	3.18	19.55	18.4	16.42
Fam160a2	0.0	0.0	6.44	5.03	24.28	25.16	25.64
Fam5b	0.0	0.0	0.21	7.33	67.67	69.72	71.26
Fancg	0.0	0.0	2.55	4.42	10.15	10.8	12.89
Gabrb3	0.0	0.0	44.94	61.23	154.37	138.99	149.04
Get4	0.0	0.0	8.64	7.62	55.98	62.01	56.66
Gfod1	0.0	0.0	5.8	8.07	50.26	46.46	49.88
Gm1673	0.0	0.0	0.76	9.07	53.39	62.92	63.57
Gnl1	0.0	0.0	19.28	5.02	139.48	150.8	141.26
Golga4	0.0	0.0	3.28	6.27	48.3	40.88	49.25
Gpr26	0.0	0.0	0.51	2.21	67.54	58.53	83.82
Grm4	0.0	0.0	0.0	0.46	17.66	17.01	18.6
Hist1h3f	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Htr5b	0.0	0.0	0.0	0.0	1.53	2.28	1.89
Itgal	0.0	0.0	0.0	0.0	0.56	0.64	0.54
Itpr1	225.98	0.0	43.83	43.81	211.99	196.39	212.52
Kbtbd7	0.0	0.0	13.09	4.58	34.48	33.77	31.87
Kcnj9	0.0	0.0	15.33	12.37	121.29	116.59	115.73
Kcnn1	0.08	0.62	0.13	2.33	9.26	11.18	10.81
Kera	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif16b	0.0	0.0	2.45	1.38	8.55	8.36	8.31
Kpna6	0.0	0.0	6.32	5.3	51.29	52.26	49.38
LOC626049	0.0	0.0	0.0	0.0	1.35	0.54	0.59
Lpcat4	2.91	0.0	30.59	28.31	125.99	137.81	128.9
Lphn1	0.0	3.13	31.8	46.45	185.96	190.77	203.82
Map3k5	0.0	0.0	16.82	22.66	26.04	25.01	25.24
Mapk1	0.0	164.73	83.07	74.85	371.72	366.39	352.91
Mapk8ip2	0.0	0.0	10.27	12.48	190.79	206.07	202.05
Mast1	0.0	0.0	0.93	2.01	57.59	61.96	60.11
Mgat3	0.0	0.0	10.26	7.31	99.56	101.36	101.11
Mgat5b	0.0	0.0	0.07	0.64	55.22	54.09	52.11
Ncor1	5.39	28.08	31.29	23.23	87.37	80.71	92.95
Odz4	0.0	0.0	1.49	1.21	30.76	27.31	33.46
Olfr875	0.0	0.0	0.0	0.0	0.1	0.09	0.0
Oxct1	0.46	0.0	144.57	124.35	237.85	234.89	230.25
Pacsin1	0.0	0.0	41.79	14.59	282.11	283.76	304.93
Papd7	0.0	0.0	5.65	13.34	30.36	34.28	29.87
Pcdh7	0.0	0.0	34.14	24.1	50.86	49.1	53.42
Pde1b	0.0	0.0	5.05	7.56	245.53	258.71	247.87
Pitpna	0.0	0.0	58.46	41.16	225.42	225.66	222.62
Plcl2	0.0	0.0	15.36	20.75	48.89	47.95	46.14
Plxna2	0.0	0.0	20.56	19.94	47.46	43.4	46.56
Pou6f1	0.0	0.0	6.54	5.82	75.93	74.16	76.43
Ppm1b	0.0	146.37	24.78	28.93	107.35	104.81	105.18
Ppp1r1a	0.0	0.0	7.74	15.52	123.86	128.2	126.28
Ppp2r2c	0.0	0.0	37.61	60.62	446.28	420.01	458.99
Prr12	0.0	0.0	0.12	0.89	24.08	25.31	25.2
Ptges2	0.0	0.0	14.12	13.69	36.65	38.21	38.88
Rbfox2	0.0	0.0	9.86	15.65	114.48	109.59	110.57
Rnf11	0.0	0.0	33.93	44.99	267.55	268.6	261.45
Rnf165	0.0	0.0	6.63	2.59	24.71	25.79	25.0
Rnf208	0.0	0.0	8.17	24.83	124.6	138.39	125.1
Rnf39	0.0	0.0	6.9	0.73	10.29	10.12	8.63
Rnf8	0.0	0.0	7.42	6.32	36.51	35.78	33.56
Rnft2	0.0	0.0	4.92	7.15	58.46	59.35	61.39
Rragc	0.0	0.0	28.69	9.65	68.22	72.12	68.72
Rtf1	0.0	0.43	7.36	6.93	51.07	46.92	51.09
Sardh	0.0	0.0	5.88	0.9	6.95	6.49	7.48
Sel1l3	0.0	0.0	32.85	28.97	45.77	42.88	44.99
Serpina3a	0.0	0.0	0.0	0.0	0.55	0.24	0.78
Slc39a3	0.0	0.0	2.73	3.27	60.42	61.8	64.04
Slc6a8	0.0	0.0	13.41	11.9	61.85	65.48	65.64
Slit3	0.0	0.0	1.71	0.68	25.89	25.15	27.05
Smarca4	0.0	0.0	9.24	7.58	63.89	65.92	68.05
Smg1	12.67	0.0	6.37	8.94	45.02	36.92	47.73
Smoc2	0.0	0.0	0.0	0.0	10.03	10.37	10.17
Smyd2	0.0	0.0	2.91	9.13	72.73	77.71	73.05
Snord110	0.0	0.0	0.0	0.0	0.0	4.17	4.57
Srcin1	0.0	0.0	1.75	3.56	138.51	141.68	150.57
Srgap3	0.0	0.0	2.74	0.95	121.23	113.19	124.22
Srm	0.0	0.0	29.26	19.62	77.35	82.32	75.39
Svop	0.0	0.0	23.66	33.69	162.41	167.3	157.31
Tas2r137	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tcf19	0.0	0.0	0.0	5.45	8.99	7.87	6.86
Tcf20	0.0	0.0	6.91	17.95	41.58	41.79	43.86
Tle1	0.0	0.0	0.0	0.0	21.48	23.56	22.5
Tlk1	0.0	0.09	37.96	31.79	73.53	68.48	65.5
