	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_190	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110032A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	60.73	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57	0.0	0.0	2.38	3.21	3.7	4.06	2.85
1700015F17Rik	0.0	0.0	0.0	0.0	0.0	0.0	22.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.14	0.0	0.15
2010015L04Rik	7.22	3.24	2.17	4.17	21.65	9.58	186.92	1.38	5.93	1.28	0.72	5.5	3.34	5.48	5.11	4.1	5.87	2.29	6.27	6.24	5.73	5.0	0.84	3.64	6.5	4.73	1.57	64.32	91.89	10.12	30.9	23.59	5.72	1.94	13.07	0.99	8.18	4.28	8.34	6.94	1.73	0.94	28.21	30.29	14.43	16.27	21.84	26.78	23.24	23.3
2410137F16Rik	0.0	0.0	0.0	0.0	0.0	0.0	65.6	0.0	0.0	0.0	0.05	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.31	0.0	0.0	0.09	20.91	0.1	6.11	3.54	1.94	2.78	3.38	2.78	4.46
2810030E01Rik	0.0	0.0	0.0	0.0	0.22	0.0	18.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	1.77	0.75	0.39	0.95	6.23	6.35	6.67
4930413F20Rik	0.65	0.0	0.0	0.0	0.0	0.0	16.11	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.15	0.0	0.0	0.08	0.0	0.0	0.0	0.16	1.06	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	1.8	1.25	0.71
4930483J18Rik	0.0	0.0	0.0	0.0	0.0	0.0	53.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.12
4932425I24Rik	0.0	0.0	0.0	0.0	0.0	0.0	14.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	2.27	1.37	1.38	1.03	1.14	1.18
4933413J09Rik	0.0	0.0	0.0	0.0	0.0	0.0	19.71	0.05	0.03	0.0	0.0	0.04	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.2	0.18	0.15
A330050B17Rik	2.96	2.67	0.85	3.4	13.64	3.59	56.17	1.33	2.66	1.77	1.85	2.13	1.6	6.3	2.68	7.13	3.51	9.19	1.85	3.34	2.36	1.96	0.89	0.93	4.13	2.09	1.95	3.18	2.35	1.57	1.42	6.36	1.83	1.98	1.2	1.94	1.83	2.82	1.25	3.06	0.76	0.9	5.31	4.77	4.57	4.2	4.85	4.99	4.82	5.88
