	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_24	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rorb_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_76	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_15	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
0610037L13Rik	24.1	0.6	0.15	57.23	43.27	0.0	128.51	46.32	0.0	66.73	63.99	174.44	0.0	238.49	8.49	47.01	208.25	21.49	0.0	121.99	82.11	32.3	175.83	157.31	0.0	42.58	59.95	145.48	184.65	82.55	149.34	117.1	82.16	80.86	129.33	102.63	97.2
1700081L11Rik	0.55	14.25	65.24	0.36	65.2	0.0	17.2	3.45	72.97	6.49	7.98	124.95	1.21	128.99	2.23	3.84	37.87	0.65	7.46	17.9	4.49	0.0	51.98	81.48	3.88	3.73	18.23	71.89	59.71	5.07	2.37	14.52	5.2	10.13	23.56	13.65	14.4
2210021J22Rik	0.0	0.12	158.29	203.51	0.0	266.12	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	147.62	214.4	0.0	0.3	0.0	17.95	0.0	0.0	1.19	0.0	0.0	0.0	1.9	0.0	0.0	0.0	120.48	50.44	7.96	20.03	54.49	29.92	26.14
2410021H03Rik	2.13	2.73	0.0	66.92	0.86	5.02	8.37	0.65	0.0	1.1	0.0	3.1	4.5	1.96	0.59	9.57	0.0	0.0	0.0	2.15	3.12	1.47	0.0	4.05	5.53	2.22	83.9	0.0	9.21	11.8	1.71	0.87	12.44	0.94	1.03	0.96	9.66
A830009L08Rik	0.0	46.84	0.0	181.69	0.0	0.0	0.0	32.46	35.34	0.0	0.0	83.45	0.0	47.95	0.0	54.98	0.0	0.0	0.14	16.32	0.11	0.0	0.0	50.88	0.0	6.07	12.7	54.45	50.35	0.0	29.8	3.16	0.64	0.0	2.87	2.94	2.1
Abhd12	0.0	0.21	16.77	201.53	0.0	0.3	5.61	161.1	56.6	0.0	0.28	8.01	24.13	58.24	0.0	0.0	22.73	0.0	49.85	41.81	138.52	1.46	0.0	16.56	0.0	0.0	0.0	0.0	18.69	183.34	0.0	57.52	67.37	91.65	33.96	46.93	28.84
Adam10	32.78	75.24	133.7	38.02	0.0	31.56	0.0	42.36	4.13	9.5	0.0	0.0	28.36	139.04	16.99	41.82	17.49	50.83	37.53	66.92	1.29	0.0	114.03	28.44	27.88	17.14	78.43	130.56	26.73	24.83	6.7	44.77	57.29	46.03	111.87	69.59	66.99
Adck1	0.0	322.67	0.0	357.32	210.2	0.0	0.0	0.0	0.0	0.0	0.0	162.58	0.0	105.36	0.06	153.47	0.0	110.1	0.0	22.85	5.45	65.33	206.5	0.16	0.0	1.17	0.0	0.0	0.0	13.4	0.0	32.89	44.33	41.24	41.01	45.33	32.94
Adcy9	0.0	72.0	0.0	53.57	0.0	0.0	0.0	30.05	0.0	0.0	0.0	2.68	0.0	0.11	0.0	11.79	0.0	0.11	28.11	9.57	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	4.36	6.77	3.31	15.0	15.85	7.65
Ankle2	27.59	23.29	6.48	1.54	46.11	18.22	4.72	1.01	0.59	34.99	21.26	68.89	2.26	0.8	0.64	0.57	14.35	24.65	11.75	42.42	38.61	20.87	20.24	17.66	3.64	1.04	4.49	10.13	20.64	1.02	23.0	25.01	21.98	11.08	12.99	12.96	14.44
