	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_5	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_16	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_19	PvalbD.Slc32a1_tdTpositive_cell_22	PvalbD.Slc32a1_tdTpositive_cell_24	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbD.Slc32a1_tdTpositive_cell_38	Sst_tdTpositive_cell_100
1600014C10Rik	47.98	160.87	0.0	0.0	59.88	0.0	1.2	0.0	73.87	25.44	0.0	0.0	0.0	70.59	0.0	39.0	86.2	1.35	0.08
4632427E13Rik	0.0	139.46	92.15	148.37	169.23	0.0	0.0	85.26	74.25	0.0	47.9	3.1	0.0	96.3	40.64	0.0	111.58	106.47	0.0
4930467E23Rik	0.0	9.58	0.0	8.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930503L19Rik	0.0	45.08	0.0	53.07	1.42	0.76	1.66	0.0	29.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9330111N05Rik	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0
Acat2	0.22	278.22	0.22	238.14	23.44	20.7	88.56	79.72	89.58	187.81	0.31	139.79	0.0	204.45	131.07	0.0	245.99	93.16	2.81
Adck5	0.0	101.29	0.0	0.0	0.0	0.0	0.0	66.09	27.98	0.0	44.88	0.0	0.0	121.85	0.0	0.0	0.0	0.0	0.0
Ccdc112	0.0	43.19	0.0	30.61	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdc34	0.0	0.33	0.0	2.35	0.0	0.0	0.0	29.15	0.0	1.43	0.0	0.0	21.93	55.09	0.0	0.0	0.0	0.0	21.33
Celf1	0.09	27.78	9.42	31.45	0.0	0.0	29.15	20.93	26.33	76.83	0.0	1.31	1.63	41.42	0.0	1.52	1.97	26.38	0.0
Chd9	0.0	46.98	13.51	41.83	10.27	0.0	14.49	7.23	5.55	7.0	2.0	0.74	4.84	0.2	2.99	0.7	1.39	0.64	0.01
Eif4g2	178.2	189.13	85.79	113.86	95.27	39.85	81.96	153.22	164.41	172.64	184.14	58.71	71.57	192.26	174.97	65.73	107.27	44.68	53.9
Ensa	411.39	1525.87	658.3	1086.18	481.12	330.51	406.02	474.86	387.95	381.08	255.27	349.04	675.93	815.2	372.51	317.74	966.03	324.32	294.51
Erbb2ip	1.23	19.83	18.39	0.0	0.0	0.0	0.0	0.0	0.0	2.19	14.77	0.0	0.0	36.01	0.0	16.95	0.0	45.75	0.0
Ercc6	0.07	31.96	0.34	22.71	3.41	0.1	0.0	10.21	0.18	5.67	0.34	17.37	0.32	0.15	0.36	0.0	0.37	10.2	0.13
Fam47e	0.0	0.34	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gabra4	232.02	141.17	84.44	130.79	0.0	182.28	37.71	82.83	132.66	139.05	43.4	8.31	0.0	56.28	102.21	129.05	0.0	43.75	42.9
Gm10677	2.11	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.31	0.16	0.0	0.0	0.0	0.0
Gm10785	11.82	88.57	12.08	33.62	30.76	0.29	9.37	9.62	114.1	33.97	13.61	6.48	28.56	65.63	25.38	10.27	11.77	4.67	7.55
Gm5918	0.0	177.06	0.0	0.0	25.83	52.23	0.0	0.0	0.0	0.0	0.0	0.0	114.23	95.36	0.0	0.0	0.0	0.0	0.0
Gnptg	3.48	116.62	86.29	90.32	142.19	106.73	6.93	314.61	141.71	201.92	193.26	0.27	1.19	376.05	124.5	0.0	135.43	4.78	0.62
Golph3l	0.0	111.45	85.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.01	0.0	0.0	0.0	0.0	0.0
Hsd17b10	180.19	202.28	190.67	334.28	111.74	0.0	0.0	0.0	148.01	155.68	95.41	118.45	0.0	288.98	0.0	157.31	159.91	131.27	1.28
Ipo4	74.53	40.75	0.0	0.0	0.0	0.0	12.93	0.21	0.0	28.9	53.0	0.0	0.0	75.16	0.0	18.07	12.16	40.65	0.03
Itgb6	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.05	0.0	0.0	0.0
Kcnn2	0.0	113.49	2.4	4.05	8.68	0.0	1.86	0.0	1.72	20.83	0.0	0.0	2.61	119.96	19.89	6.24	16.31	0.0	0.0
Lamtor2	340.72	216.47	707.32	670.79	362.5	332.07	404.09	654.54	639.18	498.65	436.82	395.86	468.17	930.89	582.76	359.54	177.19	416.78	155.34
Laptm4a	76.72	95.67	67.62	93.08	25.22	0.0	0.0	92.46	25.75	34.58	54.0	7.78	1.85	175.97	30.49	0.0	155.4	76.03	0.06
Lbr	0.0	114.7	51.99	44.5	34.71	0.0	61.28	28.76	0.0	0.0	42.74	23.33	0.0	91.39	17.5	21.3	0.0	0.0	26.83
Lrrc58	326.65	147.52	42.4	85.64	112.35	32.8	79.17	75.03	185.07	80.64	56.72	30.55	128.79	117.06	87.65	82.31	82.9	25.53	113.59
Luc7l2	74.15	134.06	55.04	83.73	25.09	28.22	85.95	48.56	59.46	68.12	47.47	18.58	53.21	77.44	49.18	35.19	12.29	46.24	39.36
Mdh1	9115.09	8893.39	8210.07	7357.26	9004.87	8070.48	9502.43	9754.78	7936.24	8031.83	8260.84	7826.71	8656.07	8256.96	8164.53	8471.35	8492.93	7181.91	5790.07
Med29	68.35	50.16	48.13	0.0	16.84	0.0	78.53	1.74	29.77	41.82	0.0	0.0	36.78	110.36	0.0	0.0	30.27	7.69	29.58
Mospd1	37.85	137.39	0.0	91.71	91.09	0.0	213.3	15.58	82.28	139.96	157.97	0.0	0.0	244.17	98.86	0.0	120.75	0.0	0.0
N4bp1	10.34	0.0	0.0	1.26	0.0	0.0	0.0	22.73	0.0	10.63	3.37	0.0	0.16	24.96	0.0	0.0	0.0	0.0	0.12
Nop14	0.0	98.03	0.0	69.92	3.44	0.0	118.26	24.42	145.1	74.73	0.46	0.0	31.78	32.3	0.0	44.98	0.0	3.75	27.74
Npm1	475.96	1517.33	783.03	672.19	1501.8	831.63	1330.6	1175.56	789.17	1536.44	750.34	882.52	431.62	977.17	569.92	705.24	1145.72	591.5	337.32
Olfm2	0.29	337.02	0.29	4.52	1.55	111.8	0.0	108.52	0.0	59.98	82.27	76.21	263.07	274.13	0.0	0.5	67.43	9.24	4.06
Pdrg1	230.17	176.73	146.25	83.35	4.26	0.0	88.56	0.0	106.98	92.07	95.52	0.0	130.99	219.28	0.0	0.0	0.0	0.0	86.26
Pgap2	0.0	0.0	0.0	0.0	33.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.23	0.0	0.0	0.0	0.0	0.0
Pmpcb	85.1	399.28	0.0	150.36	145.84	274.78	373.78	321.62	86.54	145.27	0.0	57.88	243.67	406.88	152.4	0.0	119.02	58.29	120.07
Prpsap2	0.0	46.03	0.0	102.18	0.0	0.0	0.0	28.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psma2	497.45	758.54	199.51	428.34	386.93	316.01	325.3	534.59	257.36	584.6	467.15	322.53	417.23	890.34	433.7	154.4	272.7	0.0	0.27
Rpl22	8.91	160.34	0.0	0.0	86.38	153.13	40.0	20.36	11.11	143.95	84.57	5.42	49.6	352.59	103.36	33.86	8.03	24.46	0.0
Scg2	6748.89	3919.67	4445.61	5224.44	4235.04	1072.9	6371.6	4330.1	4551.6	4033.35	4196.82	1974.35	2172.92	2501.38	1524.6	648.99	3440.79	2767.8	1486.28
Slc22a23	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.4	0.0	0.0	0.0	0.0	18.63	0.0	0.0	0.0	0.0	0.0
Slc35e3	2.39	2.48	10.48	18.68	0.0	0.0	12.55	0.0	0.29	0.25	0.09	9.78	0.0	60.6	0.1	0.0	16.27	0.0	0.0
Slc7a1	16.24	29.03	0.0	2.54	0.26	17.39	5.33	52.01	2.75	10.18	23.02	0.0	0.0	91.89	10.56	15.68	15.65	21.03	0.05
Slx4	0.0	0.0	0.0	0.0	0.0	0.0	1.71	1.04	0.0	0.0	0.0	0.0	0.0	1.92	0.0	0.0	0.0	0.0	0.0
Spata1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	13.65	0.0	0.0	0.0	0.84	0.0
Spata24	137.64	123.57	0.0	85.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spnb2	123.79	302.86	192.57	286.34	35.84	129.78	78.65	116.3	70.1	173.73	117.07	77.87	171.01	181.08	223.69	176.86	210.9	108.9	117.13
Taf1b	130.42	256.9	125.23	233.23	0.73	134.27	129.97	50.13	0.0	237.43	0.0	0.34	28.82	192.12	0.0	0.0	0.0	0.0	179.42
Tbl1xr1	0.65	30.62	0.0	0.08	1.42	0.91	25.98	0.0	0.0	0.0	0.0	3.82	1.17	22.8	0.1	0.12	17.25	0.0	0.09
Thoc6	0.0	1.19	0.64	107.64	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	141.98	0.0	0.0	1.7	142.92	0.0
Tmeff1	0.0	0.68	61.49	0.0	54.48	0.0	1.87	0.0	18.27	0.0	0.0	40.96	0.0	118.73	0.14	0.0	0.0	1.31	1.58
Ube2e2	2.29	213.17	0.0	273.68	120.06	181.47	0.0	0.0	0.0	79.31	38.65	0.0	0.0	150.54	0.0	0.0	139.09	0.0	0.09
Uggt2	0.0	34.91	0.0	14.54	1.97	0.0	17.68	0.0	0.3	0.0	0.24	0.2	0.0	33.31	15.64	0.0	0.0	9.45	1.63
Ush1g	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
Vprbp	12.08	0.14	7.01	1.69	6.65	3.43	4.53	1.97	3.08	12.71	6.95	2.26	1.11	29.72	0.33	4.92	12.74	1.0	0.28
Yars	261.61	188.83	328.63	111.77	60.16	135.43	346.52	20.32	275.25	228.89	200.63	47.34	94.34	549.48	172.23	121.25	98.13	16.85	118.96
c13_tRNA-Ala-GCA	0.0	106.76	0.0	89.29	0.0	0.0	0.0	0.0	78.31	32.53	0.0	0.0	0.0	22.5	0.0	55.37	0.0	0.0	0.0
c18_tRNA-Ala-GCA	0.0	83.49	22.13	0.0	19.9	0.0	90.6	0.0	25.81	44.91	63.84	0.0	36.64	75.17	17.72	0.0	0.0	0.0	6.89
