	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110051M20Rik	0.0	1.17	0.0	0.0	0.0	0.54	64.58	1.62	145.49	127.67	12.57	2.43	0.0	423.26	84.98	77.66
1810012P15Rik	2.33	10.67	0.31	6.01	2.66	11.1	0.29	5.46	0.68	22.29	2.57	5.03	8.42	65.72	22.63	23.83
5730408K05Rik	0.0	0.0	0.0	0.64	0.0	3.16	0.0	2.11	3.68	0.0	1.54	0.0	0.0	103.09	1.79	2.61
Abtb2	0.0	0.38	0.0	0.0	0.0	6.17	0.0	0.0	4.73	0.0	0.0	0.0	0.0	46.19	8.36	8.29
Aco1	2.64	0.56	0.04	0.69	2.93	3.56	13.26	0.08	30.49	0.16	12.19	7.52	4.65	79.57	21.59	20.61
Ahsa1	0.0	0.0	0.12	94.36	0.69	4.08	109.7	107.75	217.6	84.72	190.24	10.16	0.0	575.89	171.3	158.9
Aplp2	0.0	66.72	4.5	12.45	1084.02	3.21	151.85	120.22	214.03	162.8	515.06	2.33	1.71	495.08	454.92	441.05
Arl16	1.0	0.28	1.51	14.98	9.85	14.39	1.11	0.54	69.64	1.6	13.05	7.23	4.95	248.21	19.89	19.8
Brms1	0.0	0.0	0.0	0.0	0.0	0.0	67.01	0.0	42.34	1.22	0.39	0.91	0.0	141.95	34.04	30.95
Cplx1	0.0	23.78	2.53	203.35	0.0	4.34	681.99	252.78	594.57	419.07	861.47	8.76	0.0	1016.29	707.8	701.59
Disp2	0.0	6.1	0.0	5.22	0.13	0.31	19.54	12.93	40.97	23.91	34.03	0.18	0.0	63.38	142.99	146.68
Dynll2	0.0	4.33	0.0	22.33	0.0	0.0	35.22	26.69	12.17	18.73	28.2	56.46	0.0	79.57	622.39	610.2
Elavl4	0.0	50.59	0.0	42.58	0.0	3.66	89.24	35.94	151.05	67.27	100.82	4.73	0.0	306.88	55.87	59.99
Far1	0.0	0.0	0.04	2.09	0.0	0.0	0.24	6.5	18.39	57.11	13.55	341.2	0.0	401.73	61.02	70.77
Fkbp4	0.0	8.58	0.0	0.5	0.0	4.39	61.71	0.0	84.37	33.06	29.94	0.55	0.0	129.54	109.29	114.54
Gatsl2	0.0	1.69	0.0	0.49	0.0	0.89	0.2	37.25	29.68	0.29	0.2	0.0	0.61	47.98	45.54	51.81
Gdap2	0.0	0.0	0.0	0.23	0.0	0.37	42.3	0.0	1.43	27.87	0.29	38.57	0.0	0.0	27.86	27.02
Gm14435	0.0	122.21	0.0	57.8	19.04	99.49	150.75	79.23	204.91	133.08	92.19	46.34	0.0	315.0	35.96	41.98
Gsg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	25.77	0.62	1.1
Hapln1	0.0	211.22	0.0	0.0	97.97	37.46	2.53	0.0	14.47	20.1	0.35	0.0	0.0	62.56	9.37	12.41
Hdac11	0.0	1.35	0.06	0.17	0.0	0.42	17.04	39.55	0.0	52.03	28.09	27.78	0.48	105.87	171.47	168.04
Hmgn1	0.0	28.56	0.27	23.54	0.0	0.0	0.0	27.8	27.77	101.22	9.46	6.6	0.0	67.15	81.84	78.71
Ing1	0.0	0.0	0.0	0.0	0.0	0.37	38.81	76.46	5.69	0.4	0.55	0.0	0.0	93.25	32.18	29.73
Isca1	0.24	66.36	1.0	5.97	517.96	3.32	100.71	392.26	251.74	17.63	245.54	5.65	5.68	812.73	247.29	218.13
Kazn	0.0	33.49	0.0	13.42	0.0	0.0	5.12	3.18	116.59	48.0	91.12	0.35	0.0	77.86	59.17	62.47
Med4	0.0	266.82	0.12	0.0	0.0	2.48	0.0	0.0	156.91	1.07	1.01	23.41	0.0	161.97	33.72	30.37
Mef2c	0.59	163.75	229.7	97.15	0.69	6.99	208.92	306.9	198.79	155.21	176.56	114.84	380.47	676.7	247.15	258.84
Mtg1	0.0	0.0	0.0	0.42	26.03	0.67	28.56	0.0	0.0	43.18	50.88	0.76	0.0	271.76	26.65	22.61
Napb	0.0	1.24	0.17	3.0	0.0	2.94	281.39	57.19	129.0	4.12	23.54	34.31	0.0	422.75	308.69	328.06
Ndufv1	30.98	174.3	424.87	134.17	0.0	8.15	303.97	6.15	189.9	61.64	311.9	111.73	0.0	1394.49	207.7	190.33
