	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010320M18Rik	0.0	0.0	0.0	0.0	77.16	40.8	0.0	2.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	27.11	12.69	13.62
2410021H03Rik	1.41	0.0	0.0	0.0	4.64	0.97	1.49	2.15	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	8.06	0.0	0.33	4.05	6.07
3110039I08Rik	0.0	0.0	0.0	0.0	0.0	6.86	0.0	2.27	0.0	41.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	1.74
Atg16l1	0.0	0.0	0.0	81.54	0.0	17.86	0.67	11.35	0.0	2.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.34	48.42	49.31
BC056474	0.0	0.0	0.49	185.72	280.49	393.5	144.33	283.77	71.68	179.79	287.13	1293.57	1.11	0.0	0.0	0.0	0.0	0.7	77.04	102.38	85.35
Bcl6	0.0	0.0	0.0	0.0	35.44	42.54	6.9	13.85	0.0	5.92	6.16	0.0	0.0	0.0	36.33	0.0	0.0	0.0	0.0	21.03	17.74
Blmh	0.0	0.0	0.0	0.55	95.2	33.68	107.83	22.29	0.0	170.79	0.0	0.0	0.0	0.0	56.66	0.0	0.0	0.0	7.78	59.89	55.01
Casp9	0.0	0.74	0.0	0.0	16.02	0.0	0.0	3.83	0.0	0.71	0.28	0.08	0.0	0.0	0.36	0.0	0.0	0.59	35.86	18.58	17.96
Ccl27b	0.0	0.0	0.0	10.7	54.72	30.68	0.23	40.26	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	28.29	22.96
Cd2bp2	0.0	0.4	0.1	0.0	20.48	20.56	1.37	7.45	0.0	0.0	22.05	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	58.92	55.95
Chst2	0.0	0.0	0.0	60.16	4.46	16.4	14.48	16.82	0.13	1.78	5.79	0.12	239.83	0.28	4.0	0.1	0.0	0.06	19.22	62.34	62.88
