	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_38	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.14	0.0	0.14
1700006H21Rik	0.0	0.0	0.0	0.0	0.0
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
1700024P03Rik	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.11	0.0	0.11
1700071K01Rik	0.0	0.0	0.1	0.0	0.1
2310061J03Rik	0.0	0.0	5.43	6.02	7.41
4930428E07Rik	0.0	0.0	0.0	0.1	0.23
4930455B14Rik	0.0	0.0	0.09	0.0	0.09
4930528F23Rik	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.07	0.0	0.07
4931423N10Rik	0.0	0.0	0.22	0.2	0.22
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
9930013L23Rik	0.0	0.0	10.36	9.9	9.73
Adamdec1	0.0	0.0	0.04	0.0	0.04
Agphd1	0.07	0.24	2.11	2.19	1.82
Akr1c12	0.0	0.0	0.08	0.0	0.08
Aldh1a7	0.0	0.0	1.06	0.98	1.19
Apob	0.0	0.0	0.01	0.0	0.01
Apol7b	0.0	0.0	0.82	1.71	0.0
Asap3	0.1	0.13	2.38	2.94	3.15
Atp8b3	0.0	0.0	0.04	0.04	0.09
BC053749	0.12	0.14	2.11	2.49	2.3
Bambi	0.0	0.03	1.78	2.07	1.85
Bin1	0.0	0.69	228.71	237.59	245.82
Bpifb4	0.0	0.0	0.05	0.0	0.05
C1qtnf6	0.0	0.0	1.71	2.54	2.44
C8b	0.0	0.0	0.04	0.04	0.09
Capn13	0.0	0.0	0.04	0.0	0.04
Ccdc121	0.0	0.0	0.55	0.67	0.56
Ccl2	0.0	0.0	0.13	0.0	0.13
Ccr3	0.0	0.0	0.03	0.0	0.03
Cd1d1	0.0	0.0	0.32	0.91	0.84
Cd83	0.0	0.0	15.75	15.31	13.54
Ceacam15	0.0	0.0	0.07	0.0	0.07
Cenpm	0.0	0.0	3.8	3.93	4.48
Clec12b	0.0	0.0	0.07	0.0	0.07
Cort	0.0	0.0	14.78	17.87	17.87
Cpsf1	0.07	0.0	34.98	38.93	36.58
Cxxc4	28.74	0.0	14.22	12.62	14.57
Cyp2c55	0.0	0.0	0.05	0.0	0.05
Cyp3a57	0.0	0.0	0.06	0.0	0.06
D030016E14Rik	0.28	14.18	48.89	47.83	46.08
Dnajc5b	0.0	0.0	0.11	0.0	0.11
Dok7	0.0	0.0	10.66	9.52	9.76
Dspp	0.0	0.0	0.11	0.1	0.11
Esr1	0.0	0.0	1.53	1.31	2.47
F11r	0.0	0.37	6.61	5.16	6.02
F2rl2	0.0	0.0	2.03	1.35	1.34
Fam122a	0.0	0.0	19.77	23.64	20.41
Fam72a	0.0	0.0	0.89	1.6	1.26
Fmo4	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.04	0.04	0.09
Fstl3	0.0	0.0	1.9	2.25	2.29
Glipr1l1	0.0	0.0	0.23	0.0	0.23
Gm1078	0.0	0.0	1.09	0.94	1.13
Gm12633	0.0	0.0	0.06	0.0	0.06
Gm14431	0.37	4.09	8.87	7.17	8.34
Gm1647	0.0	0.0	0.14	0.0	0.14
Gm4745	0.0	0.0	0.08	0.0	0.08
Gm7457	0.0	0.0	0.32	0.15	0.17
Gm8898	0.37	4.09	8.87	7.17	8.34
Gpr55	0.0	0.0	1.45	1.24	2.2
Gzma	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.04	0.0	0.04
Hapln1	0.0	0.0	12.49	9.37	12.41
Hdgf	87.08	16.52	137.59	142.1	139.08
Hhla1	0.0	0.0	0.04	0.04	0.09
Il22ra1	0.05	0.46	0.51	0.47	0.53
Kcns1	0.11	0.14	14.64	18.65	18.42
Kctd19	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.04	0.0	0.04
Lect2	0.0	0.0	0.12	0.0	0.12
Lipm	0.0	0.0	0.11	0.1	0.11
Lnx2	0.0	0.0	3.85	4.21	4.08
Lrp3	0.0	16.76	53.44	58.28	55.54
Ltf	0.0	0.0	0.04	0.0	0.04
Macrod1	0.0	0.0	11.09	16.62	13.55
