	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_2	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700021K19Rik	0.0	1.79	1.09	0.0	0.0	0.0	0.0	5.45	0.04	60.18	31.69	4.09	8.17	22.47	0.0	0.0	2.75	9.87	3.34	10.55	0.0	0.95	0.75	27.34	15.51	0.21	10.36	3.37	0.0	41.37	0.0	18.62	0.05	0.0	0.05	16.68	0.0	0.0	21.54	5.95	5.96	46.8	44.81	44.11
1700047I17Rik2	6.75	0.66	3.78	0.8	0.52	1.44	2.15	5.1	16.25	26.59	4.73	15.13	32.11	10.18	8.99	1.72	0.75	7.92	4.6	0.97	5.07	22.21	2.3	7.08	3.74	5.51	4.19	5.27	1.07	3.41	11.48	15.79	11.15	2.03	3.87	12.08	1.52	18.26	23.92	15.19	6.64	17.56	16.4	17.92
6430548M08Rik	48.17	21.78	0.09	0.0	0.0	0.0	0.0	45.16	65.66	138.95	122.56	163.37	42.25	74.98	0.0	0.0	0.03	0.07	45.11	0.26	10.2	1.44	15.96	0.2	23.09	1.11	9.59	12.97	14.54	69.81	51.44	23.7	5.13	23.92	12.76	3.75	0.0	20.63	0.04	34.63	0.16	138.81	137.15	144.03
AI504432	8.0	56.44	20.15	0.0	0.0	0.0	0.0	0.77	0.04	12.13	18.32	41.02	204.79	70.42	0.0	0.0	14.8	52.32	48.9	0.06	0.45	15.57	0.0	1.72	23.88	38.8	6.38	0.0	0.0	0.29	0.0	7.26	45.97	26.43	0.61	0.04	0.0	13.09	9.19	0.0	14.58	19.35	17.53	18.79
Ak5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.86	45.73	63.28	0.0	133.41	50.15	131.21	0.0	0.0	0.0	35.03	0.1	0.0	0.0	17.28	0.0	24.09	0.0	0.0	0.0	0.0	0.0	54.07	0.0	0.07	0.09	0.0	44.94	0.0	0.0	0.0	0.0	0.0	29.68	145.35	145.89	140.03
Arhgef3	0.0	0.0	0.0	0.0	0.0	4.06	0.0	0.0	62.15	170.66	0.0	30.04	278.91	65.66	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.0	0.09	6.35	0.0	0.78	0.0	0.0	0.0	0.0	84.95	0.0	17.89	0.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	56.32	56.73	48.57
Armc1	0.0	50.84	0.0	0.0	48.55	0.0	0.0	45.54	109.43	118.95	108.51	214.0	116.29	94.84	0.0	0.0	19.12	46.79	62.85	43.06	0.17	42.64	1.69	62.15	110.61	50.13	55.29	8.02	16.0	100.19	0.0	50.59	106.04	44.99	100.76	0.08	0.0	57.49	63.84	66.42	137.64	76.94	75.43	76.61
Atp1a1	0.0	0.0	0.0	0.0	1.18	0.0	0.0	2.23	0.11	0.38	13.62	1.96	122.95	0.27	0.0	0.0	0.0	0.0	0.11	0.0	0.18	0.0	4.5	0.07	0.0	0.0	11.08	0.43	0.0	1.22	0.0	0.0	0.0	0.0	0.07	0.0	0.0	1.92	0.0	0.06	0.0	824.42	838.73	822.76
Atp1a3	366.16	517.3	223.53	0.0	0.0	0.0	0.0	292.03	1308.59	746.57	397.81	573.89	513.01	423.72	0.0	0.0	156.09	226.34	286.6	265.8	263.32	252.13	322.56	344.11	358.79	349.38	126.28	335.86	337.68	230.75	83.59	310.38	212.08	248.82	134.54	250.32	0.0	245.85	247.83	370.84	271.27	1301.98	1411.72	1359.05
Atp1b1	460.32	401.56	307.14	0.0	0.0	0.0	49.05	432.17	1232.5	1135.24	425.41	1045.89	850.37	419.28	0.0	0.0	209.46	388.61	178.41	201.33	214.59	270.6	267.12	428.26	302.4	232.31	418.76	352.98	231.61	367.01	175.8	267.37	292.65	267.22	303.71	231.1	0.0	351.47	221.22	288.3	230.53	1639.11	1708.86	1616.5
Atp2b2	86.42	76.45	56.69	0.0	0.0	0.0	176.46	188.91	148.62	372.01	180.85	194.49	195.8	277.33	0.0	0.0	45.89	113.86	59.35	43.28	31.62	36.23	34.79	109.68	69.93	64.83	49.0	9.22	39.53	119.87	26.81	23.5	12.67	16.08	61.18	39.05	180.2	147.76	30.78	39.6	34.82	288.08	274.94	307.02
BC031353	0.15	2.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	69.42	62.07	0.0	0.0	0.16	0.09	5.33	0.0	0.04	14.26	0.0	15.58	0.83	0.0	0.0	0.0	0.0	5.66	2.79	0.0	3.76	0.0	0.0	0.0	0.0	0.0	0.05	3.89	7.79	31.69	30.6	33.76
Cacnb4	56.54	107.03	56.3	0.0	0.0	0.0	0.0	89.27	94.43	121.4	168.74	87.25	209.4	188.98	0.0	0.0	82.21	115.8	79.1	3.48	43.41	53.29	77.74	30.62	68.51	43.59	34.65	34.53	61.06	90.37	7.39	47.51	91.57	51.49	40.1	59.97	0.06	18.34	31.74	57.11	68.29	106.94	89.5	107.65
Cd209c	1.73	13.63	5.23	0.23	0.52	0.0	0.0	8.42	4.81	55.32	2.13	14.25	35.31	43.33	0.0	0.0	0.0	10.73	2.44	0.0	0.0	12.51	6.66	11.08	0.3	3.57	4.07	4.62	0.13	5.01	0.0	2.65	27.11	2.42	4.48	5.52	0.33	0.21	0.6	4.12	3.86	19.62	13.66	20.94
Cerk	0.42	0.0	0.0	0.0	0.0	0.0	0.0	18.68	10.17	34.19	0.0	0.37	50.32	10.65	0.0	0.0	4.43	0.0	0.0	0.0	0.0	2.26	6.42	1.62	0.08	0.0	5.2	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.06	0.0	0.0	0.0	0.0	0.0	0.0	36.5	40.33	41.09
Crk	72.19	13.18	60.21	0.0	0.88	0.0	0.0	0.05	9.04	72.83	82.92	9.56	189.62	232.54	0.0	0.15	37.82	0.1	0.11	0.0	0.05	11.38	41.42	16.44	2.05	4.25	17.29	7.81	19.54	10.64	0.0	32.56	2.52	35.83	0.0	44.18	0.0	42.38	11.2	10.33	24.81	104.96	99.14	97.37
Cul5	36.64	27.34	0.75	0.0	0.0	47.47	0.0	94.12	101.25	66.26	87.15	255.61	190.31	109.88	0.0	0.0	23.08	21.25	63.51	74.78	17.06	62.86	88.12	37.89	48.7	89.98	13.31	72.65	51.65	135.1	66.62	80.6	57.61	68.68	53.39	83.0	0.08	20.73	56.77	28.35	14.21	30.05	29.55	31.49
Dnajb4	94.81	55.46	121.85	0.0	0.0	0.0	0.0	139.91	89.17	228.2	510.67	115.09	606.09	511.59	0.0	0.0	7.32	78.73	145.27	0.1	204.23	36.54	100.48	0.0	169.5	70.39	0.0	10.15	0.0	195.77	0.0	24.03	79.01	13.24	110.91	127.47	0.0	5.83	0.09	30.06	39.76	57.11	52.57	46.92
Dnajc6	85.91	47.31	11.12	0.0	0.0	0.0	0.0	130.77	119.15	168.1	181.38	255.48	62.01	215.02	0.0	0.0	33.69	11.0	116.94	46.51	28.18	26.78	1.47	28.01	59.77	20.96	31.48	49.46	27.94	9.75	61.06	43.56	48.12	25.11	11.35	46.19	0.0	3.36	62.72	50.0	30.45	167.5	165.18	167.24
Dnm1	22.71	32.91	8.22	0.0	0.0	0.0	0.0	4.35	140.37	156.69	35.17	26.37	89.2	32.14	0.0	0.0	13.97	13.5	18.81	0.03	0.57	22.74	15.88	2.61	9.78	36.06	21.22	0.76	28.7	17.13	0.37	16.71	9.78	1.46	0.72	20.33	0.0	44.55	0.3	9.23	31.16	785.48	840.55	821.55
Ehbp1	2.68	0.27	14.24	0.0	0.0	0.0	0.0	0.0	0.59	9.25	9.19	25.24	4.36	19.75	0.0	0.0	0.0	0.0	23.68	12.19	5.1	0.05	0.49	0.0	0.31	0.0	13.35	15.42	7.22	0.0	0.0	0.0	0.0	0.7	6.87	2.31	0.0	0.23	0.05	0.0	0.06	29.47	28.16	27.18
Etnk1	38.93	35.74	37.24	0.0	0.0	0.2	0.0	97.41	114.56	198.05	84.91	129.65	168.97	65.92	10.17	0.0	11.74	45.58	26.65	0.81	1.16	14.77	72.39	30.93	31.27	50.61	54.31	4.7	31.29	7.49	33.38	9.8	12.24	52.3	29.69	31.48	0.0	38.61	27.86	37.5	13.1	204.06	192.99	197.61
Fam168b	21.59	88.97	0.16	0.0	0.0	0.0	0.0	0.15	64.37	176.2	8.34	63.9	58.99	64.26	0.0	0.0	26.99	2.3	33.35	49.76	39.59	4.68	31.65	3.37	12.22	34.0	0.59	41.59	0.0	0.84	4.08	6.25	21.81	7.89	20.94	15.86	0.1	20.9	3.34	53.64	43.89	190.42	187.9	191.71
Fam177a	6.75	0.66	3.78	0.8	0.52	1.44	2.15	5.1	16.25	26.59	4.73	15.13	32.11	10.18	8.99	1.72	0.75	7.92	4.6	0.97	5.07	22.21	2.3	7.08	3.74	5.51	4.19	5.27	1.07	3.41	11.48	15.79	11.15	2.03	3.87	12.08	1.52	18.26	23.92	15.19	6.64	17.56	16.4	17.92
Gm14430	8.29	2.27	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	7.41	19.54	38.63	13.78	0.25	0.0	6.19	5.76	15.98	0.27	6.16	4.55	5.5	0.17	11.93	0.37	0.47	6.27	0.0	11.85	0.11	5.6	4.55	0.54	1.09	12.18	0.0	2.39	0.82	4.29	0.0	7.67	5.07	7.49
Gm14434	8.29	2.27	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	7.41	19.54	38.63	13.78	0.25	0.0	6.19	5.76	15.98	0.27	6.16	4.55	5.5	0.17	11.93	0.37	0.47	6.27	0.0	11.85	0.11	5.6	4.55	0.54	1.09	12.18	0.0	2.39	0.82	4.29	0.0	7.67	5.07	7.49
