	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_114	Htr3a_tdTpositive_cell_117	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_66	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_71	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_180	Rorb_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610030E20Rik	1.62	0.75	1.55	1.05	1.98	15.86	0.47	1.83	2.49	1.28	0.29	0.61	0.85	2.02	1.49	0.42	1.03	1.6	2.42	0.58	31.79	1.44	1.31	1.88	2.14	6.58	1.72	3.31	1.04	0.61	0.0	0.54	1.39	2.2	0.66	0.89	1.99	2.58	4.79	2.1	0.9	3.45	8.74	3.72	2.2	2.75	4.59	1.37	1.59	0.79	1.06	0.88	1.1	1.1	0.87	1.42	5.27	1.5	1.17	14.31	12.93	13.89
1500016L03Rik	0.0	1.1	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.46	0.39	0.46	0.63	0.0	0.0	0.0	0.73	0.0	0.0	2.65	3.56	0.57	0.0	0.0	0.39	0.86	0.0	0.0	0.0	1.24	0.67	0.5	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	0.17	0.64	0.0
1700085C21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
1700123K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0
2010106G01Rik	0.49	0.9	25.2	6.48	0.19	18.1	15.03	0.25	13.9	7.23	0.12	0.37	40.18	0.94	0.62	1.92	0.07	18.4	0.4	0.35	7.84	82.16	0.0	0.53	0.4	0.2	1.09	99.22	4.22	29.53	0.0	0.27	0.24	4.16	18.97	0.45	13.32	23.88	25.93	11.98	11.99	5.91	21.16	15.63	21.28	14.27	22.77	0.06	0.65	26.99	0.34	0.0	0.27	22.24	0.14	0.1	36.22	0.62	0.37	26.97	23.48	24.69
2310010J17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.04	0.0	0.0	0.0	0.0	0.0	1.82	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.91	0.0	0.0	0.0	4.27	5.09	3.03
2410124H12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.0
4930417O13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.17	0.0
4930565N06Rik	0.4	0.53	0.0	0.15	0.0	0.15	0.15	0.0	0.13	0.19	0.09	0.0	0.32	0.13	0.18	0.0	0.0	0.0	0.0	0.22	0.3	0.0	0.52	0.47	0.18	0.0	0.12	3.52	0.37	0.09	0.0	0.42	0.2	0.28	0.09	0.05	0.46	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.13	0.0	0.0	0.14	0.15	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.75	0.57	1.26
4930579G18Rik	0.49	3.34	0.62	2.11	0.75	3.01	0.56	1.7	2.99	1.26	1.57	0.27	1.79	3.37	2.65	1.07	0.71	1.37	3.29	1.1	1.69	0.0	2.91	3.11	4.37	10.13	5.1	16.63	1.94	0.26	0.0	0.69	12.11	4.06	1.1	3.99	4.89	7.29	4.12	1.65	4.13	3.91	3.6	10.86	1.66	0.61	0.74	1.74	2.11	0.0	0.0	0.12	0.88	0.92	2.4	0.64	1.04	2.42	4.55	4.17	5.24	5.56
