	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31
2900055J20Rik	455.27	400.56	383.47	168.07	7.01	120.78	147.46	98.81	0.0	474.79	192.69	685.13	179.98	348.56	0.0	260.63	522.03	73.09	19.6	0.0	0.0	0.0	0.0	0.0
AA543186	1.33	0.0	0.0	0.45	0.0	0.18	0.83	0.0	0.93	0.55	0.65	0.76	2.68	12.55	2.86	0.41	11.25	0.27	0.17	0.0	0.0	0.43	0.46	0.0
Ak8	2.41	0.0	0.0	38.62	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	0.0	0.0	56.72	0.0	0.0	0.0	3.42	0.0	0.0	0.0
Atg3	0.0	0.0	0.0	147.84	0.0	0.16	0.0	36.62	0.0	56.38	75.53	4.87	12.5	9.67	0.0	0.0	77.44	15.39	0.0	0.28	0.0	1.98	0.0	210.7
Atp10b	0.16	0.46	0.51	0.0	0.17	0.05	0.0	0.0	0.18	0.27	1.18	0.65	0.14	0.43	0.47	0.15	0.16	0.05	0.26	0.0	0.0	0.0	0.04	0.13
Atp1b2	91.17	1.17	1.33	6.12	0.0	0.0	0.0	0.12	0.0	29.44	47.56	5.3	6.11	36.8	0.0	50.87	5.56	3.42	0.0	0.0	70.99	0.0	0.0	0.0
Atp5sl	0.16	76.95	0.0	0.0	0.0	0.0	15.46	54.34	0.0	40.55	0.68	1.01	0.0	40.57	0.35	0.0	55.8	24.43	138.15	0.12	0.0	0.0	36.6	104.22
Auts2	31.28	0.08	37.33	51.5	0.06	0.0	0.0	0.0	0.0	9.04	1.72	23.53	32.49	25.38	0.0	9.09	24.37	2.61	0.0	16.8	0.0	0.0	0.0	0.0
Bcor	42.27	48.11	0.0	22.45	0.0	0.0	0.0	0.0	0.0	1.59	6.83	0.0	0.0	29.45	0.0	0.0	15.96	2.12	0.0	0.05	0.0	0.0	0.0	31.81
C030034L19Rik	2.65	0.77	0.0	1.45	0.45	0.8	0.0	0.35	0.96	2.24	1.82	1.52	2.48	1.15	0.89	3.22	3.08	0.46	0.0	0.26	0.28	0.1	0.08	0.14
