	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_42	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_6	Rbp4_tdTpositive_cell_93	Rbp4_tdTpositive_cell_99	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
2810407C02Rik	8.34	2.02	51.4	28.19	0.37	37.48	0.0	0.08	2.69	0.09	1.21	35.42	0.0	18.15	15.39
4933439C10Rik	0.25	68.94	0.49	0.41	0.0	0.0	0.0	0.0	0.18	27.63	0.0	76.54	0.0	6.65	6.17
Acadsb	118.34	0.0	0.0	11.0	100.61	16.96	0.0	0.08	24.23	0.1	0.0	125.18	0.0	31.84	36.78
Aldoa	11485.19	13597.95	12694.2	12406.05	12801.23	13515.12	9782.05	14715.13	13848.9	11472.28	12605.63	5762.44	8775.75	10997.44	10660.26
Amy2a2	0.85	0.04	0.33	0.18	0.0	0.15	0.08	0.12	0.29	0.04	0.25	0.59	0.03	0.11	0.21
Amy2a3	0.85	0.04	0.33	0.18	0.0	0.15	0.08	0.12	0.29	0.04	0.25	0.59	0.03	0.11	0.21
Amy2a4	0.85	0.04	0.33	0.18	0.0	0.15	0.08	0.12	0.29	0.04	0.25	0.59	0.03	0.11	0.21
B3galt2	123.08	0.1	156.37	145.03	191.02	147.6	81.9	86.11	5.36	106.92	271.21	259.13	0.0	154.71	140.09
Chmp2b	88.38	0.0	101.27	78.6	21.02	72.1	0.95	4.14	0.0	0.0	73.82	55.19	0.0	17.79	16.04
Chmp7	0.0	0.0	0.0	61.37	18.12	49.94	10.14	0.0	0.0	2.43	23.67	64.2	0.0	11.83	16.17
Cxcl5	1.92	9.91	6.55	3.75	7.24	1.47	0.45	0.24	1.03	0.97	0.89	9.35	0.0	2.29	2.18
Dock8	0.16	0.06	0.33	0.19	0.14	0.12	0.03	0.0	0.13	0.04	0.06	0.23	0.0	0.17	0.09
Fbxl14	1.06	0.53	0.57	0.43	0.19	0.28	0.0	0.0	0.0	0.07	0.0	8.28	0.0	1.61	1.6
Gigyf1	29.88	18.07	34.26	29.21	17.36	20.22	9.91	21.12	28.83	18.58	25.21	33.51	3.99	31.31	32.73
Gm15910	0.34	0.16	1.12	0.49	0.69	0.31	0.28	0.0	0.12	0.13	0.14	1.32	0.0	1.25	1.06
Gm17801	0.0	0.0	6.34	0.0	0.0	0.23	0.65	0.0	0.0	0.0	0.0	1.31	0.0	0.54	0.11
Gm3317	0.0	0.0	29.07	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.43	3.72	0.0	0.88	0.92
Gm3494	0.0	0.0	29.07	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.43	3.72	0.0	0.88	0.92
Gm3696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.84	0.0	5.09	0.51
Gm410	0.0	0.26	2.45	1.11	0.0	0.0	0.78	0.0	0.0	0.38	0.0	0.88	0.0	0.2	0.0
Hsd17b11	2.18	0.0	30.61	16.09	0.0	22.86	0.15	0.16	0.2	11.94	0.0	12.85	0.0	2.26	4.14
Mbd6	8.84	0.0	0.0	2.55	0.0	0.0	0.0	8.73	0.0	0.0	0.0	22.68	0.0	1.69	2.22
Nudt16l1	173.65	91.17	160.54	248.55	0.26	0.0	154.29	108.8	174.11	161.97	97.29	330.94	0.0	98.97	109.75
Oxct1	155.64	53.96	303.07	429.6	147.65	131.24	82.32	15.93	86.78	93.98	165.02	251.58	13.79	124.35	157.41
Pcyox1l	2.87	1.57	3.89	5.39	0.33	0.0	0.0	0.0	1.03	2.62	1.19	29.84	0.0	6.71	9.89
Poc5	0.0	0.0	85.32	0.89	6.45	0.0	0.0	0.18	0.45	0.0	0.0	90.38	0.0	12.57	9.6
Psme3	0.0	0.0	76.87	28.71	14.36	63.79	0.0	0.0	49.44	0.13	0.0	103.28	0.0	15.91	13.4
Ptk2	91.88	165.03	258.73	138.92	42.86	57.88	18.44	32.19	56.69	8.71	41.68	136.88	0.07	73.55	75.02
Timm22	57.45	129.44	81.07	126.91	54.22	66.53	14.07	209.07	70.08	59.56	240.24	368.13	38.29	134.71	114.33
Tom1	0.0	0.2	142.5	82.54	60.43	0.0	0.0	0.0	0.0	9.66	59.82	120.31	0.0	17.08	19.68
mt_AK131587	386.06	360.11	146.33	453.03	375.0	365.11	231.11	290.56	152.71	331.53	319.38	804.98	306.32	350.18	393.71
