	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_11	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_39	Rbp4_tdTpositive_cell_51
2010106G01Rik	0.64	0.13	3.59	6.23	8.02	36.71	1.76	25.33	2.19	16.37	46.21	9.23
2810428I15Rik	0.0	0.0	0.0	15.97	50.86	126.6	26.53	24.51	43.33	117.9	147.74	38.64
4930563M20Rik	0.92	0.0	0.93	0.0	2.53	11.66	0.0	1.09	0.0	2.4	14.63	3.77
AI646023	0.71	0.56	3.56	10.65	7.63	32.57	3.59	3.68	3.03	7.34	54.97	3.66
Agfg1	0.0	0.0	0.0	0.0	0.0	6.04	0.0	18.72	2.34	0.69	65.08	0.0
Arsb	0.22	0.0	0.0	0.0	0.0	41.03	0.7	3.18	3.97	0.0	48.08	0.0
Caskin1	0.0	0.0	0.0	0.0	0.31	17.66	0.0	0.89	6.32	0.0	22.09	0.04
Cdan1	0.0	0.0	1.11	4.45	9.22	16.15	0.06	21.24	12.43	10.7	26.12	8.63
Cdh7	0.0	0.0	107.47	67.69	147.36	92.37	3.98	31.28	120.01	170.16	153.01	21.09
Chmp1b	0.0	0.0	1.51	44.27	71.49	41.05	0.48	28.06	54.04	0.64	81.29	0.0
Cxx1b	0.0	0.0	33.66	18.45	20.6	33.61	10.46	23.32	2.1	14.26	24.71	6.68
Dusp11	2.73	0.0	3.96	0.33	4.29	10.7	2.87	5.2	0.5	20.95	59.73	0.0
Eif4h	0.0	0.0	87.14	13.55	29.46	90.31	0.34	53.31	25.51	38.39	92.17	35.86
Gm4944	1.06	0.19	3.77	3.31	13.4	31.79	1.18	15.15	5.95	6.58	59.75	4.24
Habp4	0.0	0.0	56.97	40.64	38.5	55.46	12.04	123.26	24.72	68.59	115.82	48.49
Ldhb	7486.96	4107.23	10894.4	9343.6	10165.1	11261.44	7829.53	13571.31	12546.17	11010.48	6703.36	11746.38
Odc1	0.0	0.0	64.46	6.19	33.6	69.17	5.99	43.29	0.0	0.21	79.31	55.08
Pacsin1	0.0	0.0	11.82	26.98	21.87	8.61	13.09	22.01	2.18	65.99	163.7	3.84
Polg	0.0	0.0	0.0	0.22	2.52	0.0	0.0	53.86	26.7	21.18	47.54	0.0
Ppp4r1	0.0	0.0	0.13	27.11	1.87	36.77	22.3	27.98	24.37	20.32	140.06	0.05
Slbp	415.61	0.0	48.76	502.14	259.3	315.63	117.21	191.7	125.27	161.41	559.45	37.01
Slc6a6	0.0	0.0	2.16	0.35	6.37	23.89	2.02	16.69	8.64	21.59	38.87	4.95
Smcr8	0.0	0.0	0.0	0.3	0.09	25.83	0.0	7.12	7.8	0.0	27.36	0.0
Sprr2a1	0.0	0.0	0.2	0.08	0.09	0.6	0.0	0.2	0.0	0.3	0.14	0.03
Sprr2a2	0.0	0.0	0.2	0.08	0.09	0.6	0.0	0.2	0.0	0.3	0.14	0.03
Stxbp5	0.0	0.0	1.61	0.65	0.0	31.41	0.79	4.01	0.0	1.93	33.42	1.52
Vcpip1	0.0	0.0	2.1	0.58	24.22	30.38	8.31	32.47	16.25	19.61	36.64	17.23
Wwc2	0.0	0.0	0.0	0.0	0.89	9.76	0.0	3.17	0.0	0.0	16.62	9.42
