	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_65	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16
Acin1	0.05	5.14	37.11	32.15	3.06	16.49	8.19	35.67	1.11	17.96	31.42	40.04	10.69	17.02	25.89	12.15	0.0	0.0
Aifm1	54.82	0.0	191.04	117.78	0.0	66.59	57.81	61.64	35.29	128.57	113.16	133.99	36.96	104.81	77.4	50.19	0.0	0.0
Akap6	5.25	0.0	65.7	17.13	23.2	23.61	7.39	28.11	23.2	40.29	19.67	5.85	10.09	7.37	3.96	17.86	0.0	0.0
Alas1	7.07	0.17	264.4	0.0	72.71	87.25	50.93	214.44	52.75	81.04	22.23	85.12	19.61	189.16	2.22	41.5	50.2	0.0
Astn2	0.0	0.0	7.15	0.0	0.0	0.0	3.59	4.35	0.0	0.0	0.72	1.83	0.11	0.0	0.13	0.04	0.0	0.0
Atg4c	7.53	0.0	9.16	0.89	12.58	1.47	25.33	106.24	99.37	19.32	0.0	135.13	33.89	4.32	122.72	34.34	0.0	0.0
Bag4	2.63	0.0	109.25	12.24	26.65	0.0	4.59	26.72	38.99	1.32	18.82	18.08	0.0	18.85	12.19	3.21	0.0	0.0
Cbr4	0.0	0.0	122.81	0.0	0.0	0.0	0.0	114.91	78.89	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0
Ccdc32	0.0	0.0	254.19	50.02	227.3	173.23	266.35	310.61	99.97	239.13	54.94	167.94	46.31	171.56	66.83	4.22	0.0	0.0
Copb1	8.84	0.0	244.99	89.78	20.97	56.2	41.62	20.95	92.43	36.75	23.94	0.0	213.64	25.8	102.63	67.87	0.0	0.0
Cttn	4.16	0.0	219.32	36.7	43.75	62.65	69.78	103.31	85.78	50.75	21.34	82.54	17.63	64.0	59.79	99.99	0.0	0.0
Cyb561	0.0	0.0	92.86	0.1	0.0	0.0	9.1	164.3	94.37	59.43	0.0	1.23	57.46	0.18	51.85	70.51	0.0	0.0
Ddx3x	0.0	0.0	106.08	35.7	5.8	79.99	40.49	45.35	71.16	84.24	57.5	49.02	47.27	77.68	68.17	86.88	0.0	0.0
Dip2a	4.99	0.0	38.58	14.9	0.0	13.83	2.07	0.0	13.4	14.77	4.19	9.14	10.73	0.07	1.47	8.29	0.0	0.0
Dlc1	0.04	0.0	16.78	3.39	9.77	10.6	7.69	7.68	31.98	13.6	0.07	23.38	0.36	9.19	0.08	0.09	0.12	0.0
E330009D11	0.33	0.0	1.0	0.0	0.33	0.3	1.04	1.04	0.73	0.4	0.0	0.83	0.0	0.0	1.11	0.59	0.0	0.0
Eml5	0.02	0.0	57.75	0.0	13.83	17.73	6.82	38.12	11.2	4.92	27.18	1.69	5.76	0.84	0.97	16.1	0.0	0.0
Etv5	0.0	0.0	92.45	86.57	7.59	13.64	32.01	92.77	43.07	13.65	34.95	0.0	3.37	7.99	9.75	0.0	0.0	0.0
Fto	6.17	0.0	336.59	97.47	29.27	30.14	113.89	277.01	275.14	110.57	104.53	77.58	17.05	30.96	186.36	86.08	0.0	0.0
Fxr1	0.0	0.0	128.01	6.43	7.46	11.4	1.59	119.47	69.39	56.2	63.59	50.78	4.73	71.44	7.19	52.34	0.0	0.0
Gm14431	0.0	0.0	9.17	0.74	0.0	5.1	0.76	1.79	2.4	2.52	4.65	1.51	1.58	0.36	1.93	1.92	0.0	0.0
Gm8898	0.0	0.0	9.17	0.74	0.0	5.1	0.76	1.79	2.4	2.52	4.65	1.51	1.58	0.36	1.93	1.92	0.0	0.0
Hnrnpul2	10.33	0.0	68.22	0.08	16.01	0.34	28.36	29.94	0.0	14.06	0.07	67.16	1.68	20.6	2.89	1.18	0.0	0.0
Htra1	0.0	0.0	39.33	11.32	0.0	19.89	0.0	0.0	27.54	60.81	23.41	0.0	30.91	0.0	1.48	40.72	0.0	0.0
Itfg1	143.16	0.0	269.87	43.98	48.81	68.04	66.45	183.57	73.84	142.02	66.94	3.23	69.82	81.82	88.69	57.87	0.0	0.0
L3mbtl3	0.07	0.0	59.9	11.47	0.28	1.33	1.34	6.31	29.32	0.08	0.0	0.0	0.94	0.0	0.0	2.61	0.0	0.0
Lancl1	8.2	0.0	212.78	83.93	59.4	79.64	119.47	139.67	76.25	60.75	29.16	52.47	7.32	43.2	134.46	89.87	0.16	0.0
Ldhb	8970.97	5274.92	3800.36	10118.08	10894.4	10165.1	9602.81	11261.44	8285.69	13571.31	12546.17	9755.78	11010.48	10182.84	9082.37	11746.38	5577.5	2070.08
Lman1	0.0	0.0	40.28	15.17	0.0	10.19	26.38	0.0	7.17	0.0	0.0	3.8	0.0	0.0	4.17	11.42	0.0	0.0
Mapk14	0.0	0.0	165.51	0.0	20.88	2.26	43.13	69.0	0.67	13.37	35.83	118.73	0.17	14.45	33.33	0.0	0.86	0.0
Mapre3	0.0	0.0	95.17	6.9	25.31	54.83	52.22	46.0	37.88	31.63	23.78	7.61	20.56	27.04	30.36	15.14	13.38	0.0
Mill1	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.39	0.43	0.0	0.0	0.0	0.0	0.17	0.0	0.09	0.0	0.0
Mios	0.0	0.0	50.82	0.0	0.0	0.0	20.67	0.0	12.71	0.07	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0
Mon2	0.0	0.0	45.49	0.0	0.0	0.0	0.0	15.32	0.0	10.45	3.68	10.56	5.31	0.0	0.0	0.0	0.0	0.0
Mrps15	0.27	0.0	51.57	0.0	0.0	0.0	75.98	54.7	0.0	0.0	14.98	13.55	38.96	1.31	45.57	19.43	0.0	0.0
Msl1	52.51	0.0	117.29	27.75	8.2	33.39	58.08	0.65	0.24	14.43	17.85	2.89	11.96	0.0	23.41	0.0	0.0	0.0
Negr1	0.1	0.0	122.42	0.54	0.19	28.9	50.3	25.85	33.01	1.16	21.57	27.77	1.55	6.51	0.72	0.97	0.0	0.0
Nek7	0.0	269.06	400.58	147.41	114.89	93.04	299.07	72.1	295.96	43.33	184.58	56.63	41.61	109.41	232.95	60.65	1.16	0.0
Nxph1	0.0	0.0	610.47	328.45	155.63	235.83	403.28	365.39	439.51	64.31	124.86	245.03	100.66	329.13	149.34	103.45	0.0	0.0
Ogdh	12.44	44.88	247.17	110.52	82.63	76.76	40.09	209.55	85.6	90.74	35.42	90.99	67.46	101.9	76.08	197.04	133.75	24.13
Opcml	0.0	0.0	164.29	114.48	57.88	143.62	19.6	74.18	155.57	43.62	53.53	129.46	36.21	57.91	136.03	43.62	0.0	0.0
Oxr1	271.64	0.0	916.5	605.1	573.46	312.83	463.61	485.36	334.63	342.88	282.09	403.24	240.65	259.84	396.57	324.13	0.0	0.0
Parp1	50.84	0.0	157.89	0.06	33.14	65.43	53.48	23.23	85.76	2.24	0.0	37.89	23.95	26.52	38.69	5.61	0.0	0.0
Pde4d	0.0	0.0	69.13	15.55	9.03	45.1	14.51	73.29	48.44	28.32	62.57	18.96	16.69	40.9	21.49	31.93	0.0	0.0
Pgam5	0.0	0.0	147.81	0.0	55.86	40.23	14.9	21.51	0.26	11.59	13.87	49.84	0.0	63.87	51.4	5.56	0.0	0.0
Phkg2	0.0	0.0	172.14	6.37	74.27	247.57	93.22	49.55	77.31	136.87	133.04	40.77	0.67	51.04	63.07	185.85	0.0	0.38
Phtf2	1.41	0.0	111.35	0.0	0.0	38.82	0.0	94.8	13.57	50.11	10.62	20.87	23.3	0.0	29.84	20.67	0.0	0.0
Polr1d	316.68	99.09	280.06	185.06	78.75	197.62	226.01	121.54	180.47	321.88	143.92	148.35	172.78	202.75	77.89	254.05	0.0	0.0
Prkaca	34.97	0.0	165.65	76.43	9.42	117.4	107.84	19.92	104.78	89.79	83.0	70.91	50.46	76.96	86.0	104.21	0.0	0.0
Scamp3	0.0	11.9	265.47	0.0	0.0	53.98	99.68	68.4	175.3	98.52	87.01	26.93	150.82	138.8	143.44	1.6	0.0	0.0
Sec23a	2.25	0.0	117.25	8.68	62.26	108.12	75.04	169.29	118.95	113.01	50.85	112.83	70.66	34.4	44.59	0.09	0.0	0.0
Seh1l	11.76	0.0	143.91	82.56	11.12	31.43	110.17	62.3	33.86	58.16	2.88	0.49	0.0	0.0	33.65	0.11	0.0	0.0
Slc35a4	0.18	0.0	228.23	38.32	12.41	93.49	21.3	71.14	146.59	0.0	145.74	64.8	45.95	5.73	25.68	53.86	0.0	0.0
Snx10	211.63	0.0	520.78	122.09	10.09	184.09	180.74	288.72	232.48	65.07	153.46	126.22	1.97	127.46	172.21	188.59	0.0	0.74
Spsb3	0.0	0.0	104.62	0.0	64.27	12.3	2.03	0.0	0.0	2.46	0.0	60.76	42.93	0.29	131.63	62.96	0.0	0.0
Ssbp2	7.97	0.0	261.68	66.72	28.6	129.45	72.64	214.1	46.96	33.76	98.48	89.76	45.04	32.24	10.16	52.62	62.04	0.0
Taok1	7.79	0.0	133.91	29.95	21.48	66.9	39.29	43.13	82.59	56.7	41.51	35.75	47.29	33.55	77.71	19.88	6.68	1.54
Tle4	0.0	0.0	33.44	0.0	0.0	0.28	0.5	0.0	34.91	16.08	5.51	5.88	50.96	22.62	2.99	0.0	0.0	0.0
Tmod3	0.57	4.64	62.69	4.98	16.15	13.05	2.17	30.0	55.22	19.37	13.0	10.3	2.13	36.52	9.32	13.04	216.83	0.47
Tnks2	0.04	0.0	88.88	32.55	27.39	2.38	3.01	0.0	0.64	0.0	0.0	0.0	8.3	2.07	19.38	0.5	0.0	0.0
