	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_150	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_39	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_85	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1110035M17Rik	0.0	0.0	0.41	155.55	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.72	0.0	0.0	0.0	60.62	0.0	0.0	10.44	23.49	15.64	14.66	10.54	10.64
2310069G16Rik	0.0	0.0	63.95	0.0	0.0	0.0	0.0	0.48	0.0	63.36	0.0	27.42	0.0	0.0	122.33	97.96	0.0	73.44	0.0	0.0	48.98	4.19	8.8	42.9	24.55	20.71
2900092E17Rik	140.09	0.0	2.5	0.79	52.09	33.33	2.66	136.34	0.0	0.0	0.0	38.71	0.0	15.01	36.38	0.0	40.64	87.72	0.0	69.08	27.77	23.24	20.71	25.24	26.12	24.1
4930479D17Rik	0.0	96.29	0.0	0.0	57.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.05	0.0	0.0	14.22	0.0	0.0	6.86	8.39	5.48
8430429K09Rik	0.46	1.43	0.81	0.8	3.97	1.78	0.72	3.52	1.04	5.92	2.4	0.69	3.6	3.58	5.94	9.08	7.09	79.8	2.99	1.16	19.13	2.84	10.19	23.75	16.0	15.95
9530068E07Rik	0.0	0.0	0.0	194.65	0.31	0.0	0.0	139.31	0.27	120.89	0.0	131.58	66.27	0.0	0.0	227.93	186.82	156.65	0.59	0.0	28.15	22.03	30.29	7.52	21.25	30.9
Adat1	13.85	0.09	0.07	0.0	0.14	0.16	0.0	0.12	0.13	0.0	33.18	0.07	0.15	0.0	0.13	0.12	18.79	80.95	0.19	0.0	5.97	8.69	2.14	4.6	2.48	1.22
Atg12	0.0	0.0	0.12	418.99	0.15	9.54	0.0	0.0	0.41	32.91	158.76	0.11	0.14	0.0	0.2	273.99	68.87	188.59	207.89	0.0	114.6	115.25	114.82	90.46	103.1	85.88
Atg4d	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.28	0.0	0.0	12.63	66.8	0.0	0.0	0.29	3.62	0.36	0.26	1.2	2.02
Atm	0.0	0.24	0.04	0.53	0.08	0.02	0.06	0.96	0.0	0.0	8.6	0.02	0.22	0.51	0.08	0.33	0.02	19.3	0.0	0.13	3.65	7.51	0.89	1.84	2.47	1.54
B3galt2	0.0	149.59	94.23	2.61	0.0	0.04	0.0	0.6	0.0	0.0	3.19	0.0	71.17	329.61	51.84	13.24	4.52	48.91	92.28	0.0	185.99	174.79	124.23	180.73	154.71	140.09
Bysl	0.2	0.0	0.03	0.28	0.0	0.0	0.18	0.0	0.0	64.73	0.0	4.23	0.0	0.0	1.03	0.0	0.06	30.1	0.0	0.0	10.47	27.25	7.07	10.43	11.05	8.98
Cc2d1b	0.0	0.0	3.23	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	27.69	0.0	0.0	2.82	0.0	5.24	1.45	1.98	2.95
Cmas	0.0	0.0	0.06	4.09	4.11	16.53	0.0	0.0	0.0	58.6	0.06	1.4	2.03	19.1	2.29	0.0	14.91	17.5	0.41	0.0	32.61	68.32	74.82	51.14	30.87	35.14
Cntnap4	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.08	0.07	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.08	0.0	0.0	6.19	4.86	3.88	6.52	3.59	3.26
Coro6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crybg3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.11	0.0	54.93	0.0	0.0	7.03	1.27	5.2	11.02	4.84	2.46
Cyc1	0.66	0.0	0.09	12.27	0.81	22.6	0.63	0.0	0.0	36.01	7.74	0.53	10.13	0.0	15.88	2.45	4.55	46.94	0.0	0.0	22.24	43.27	21.54	27.01	37.35	30.21
D1Bwg0212e	0.0	0.41	0.21	0.0	0.0	0.29	0.23	0.0	0.0	0.0	0.03	0.0	0.0	0.0	6.12	0.0	47.01	11.24	0.0	0.0	6.05	4.34	3.19	0.09	1.19	3.5
Dhx32	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.03	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	2.28	9.03	6.68	5.29	9.61	5.64
Dnajc19	97.39	0.0	151.07	0.0	125.43	0.82	99.43	192.07	140.1	0.0	8.28	122.44	0.0	0.0	23.55	0.0	6.41	226.1	0.0	0.0	111.95	172.21	225.43	150.6	140.38	183.02
Dnmt1	0.0	2.24	1.57	14.44	11.82	0.13	0.0	0.22	0.0	12.05	0.31	0.72	0.0	4.44	0.56	0.0	0.93	58.16	0.54	0.0	6.41	10.68	7.14	4.62	9.52	9.17
Edem3	0.69	0.0	55.8	0.0	0.0	0.87	0.0	0.89	3.31	0.0	0.0	0.37	0.0	0.0	0.0	141.31	0.32	33.38	0.0	0.0	0.13	4.25	2.8	5.8	3.04	7.11
Erf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.26	0.16	0.14	0.51	0.1	0.3
Errfi1	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	42.91	3.43	0.0	0.0	0.0	96.55	0.0	0.0	0.4	9.96	5.14	14.9	10.24	10.33
Fam113a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.21	0.0	0.0	0.0	0.0	0.0	43.11	0.0	0.0	0.43	0.0	2.62	1.36	2.47	1.66
Fam154b	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	9.43	0.0	0.0	0.21	1.08	0.0	0.0	0.14	1.44	0.8	4.38	4.07	1.61
Fbxl4	0.0	0.0	32.24	0.0	0.08	251.7	0.0	0.0	0.27	0.0	42.8	137.48	96.38	8.41	0.0	0.0	0.0	72.77	0.0	251.61	41.11	50.45	25.75	18.46	36.59	51.52
Fbxw8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.36	0.0	23.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.38	0.0	0.0	0.0	2.51	2.9	0.83	2.19	0.83
Fgd4	0.64	0.0	4.47	47.97	0.0	0.08	0.0	0.0	0.0	0.19	0.55	0.0	93.44	2.89	0.0	0.0	0.05	42.49	146.59	50.51	32.28	28.13	14.99	26.27	26.5	18.55
Fgfr1op	0.0	0.0	88.18	0.0	16.05	36.42	9.01	163.59	98.78	16.23	9.37	34.08	97.6	101.31	0.0	0.0	0.07	91.43	0.0	0.34	20.64	18.71	10.45	28.46	27.09	24.65
Fmn1	0.0	0.0	0.15	0.0	0.13	0.13	0.37	20.32	0.0	0.53	0.01	0.11	3.07	0.0	0.0	0.08	0.03	29.04	0.12	0.0	3.59	5.13	1.48	1.86	1.29	3.04
Fndc3b	0.0	0.0	0.0	0.0	0.0	0.05	0.21	0.0	19.87	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.02	58.39	0.0	0.0	7.15	6.42	0.78	6.0	4.55	4.19
Fxyd1	0.0	35.21	6.97	0.0	4.56	0.0	0.0	33.59	0.0	0.86	9.44	5.85	0.0	0.0	27.17	42.08	0.0	37.99	0.0	68.63	10.94	6.39	8.5	7.86	16.12	10.53
Gapvd1	5.72	0.0	0.0	0.0	12.05	27.7	25.41	0.0	0.0	0.0	1.46	35.57	0.0	0.11	0.0	0.0	7.12	62.5	60.49	0.0	13.4	17.15	4.55	7.58	5.89	6.63
Gbas	132.33	87.68	171.85	32.57	55.39	102.72	50.08	135.29	66.71	67.91	99.48	163.17	242.08	168.03	285.55	345.52	168.55	332.83	3.81	152.35	164.09	208.42	208.7	225.48	228.18	240.75
Gm11149	0.0	6.01	0.0	0.0	3.72	0.0	0.0	1.94	0.0	2.47	0.09	1.54	0.0	0.0	0.0	0.0	4.22	4.7	0.0	0.0	0.75	0.47	0.81	1.69	0.83	1.4
Gm13152	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	6.02	0.0	0.0	0.34	0.69	0.2	0.74	0.58	2.16
Gm13242	0.57	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.01	0.0	1.2	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.14	0.53	0.12	0.0	0.0	0.0
Gtf3c1	0.11	0.0	7.27	0.0	24.58	0.29	5.28	0.0	0.43	0.0	0.0	0.98	8.29	18.7	2.22	0.0	36.82	33.65	0.0	0.0	5.82	8.41	9.82	6.47	3.31	4.14
Htr7	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.45	0.0	0.0	0.0	1.76	0.0	0.0	0.0	0.0
Ifit2	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.1	0.0	0.0	0.0	17.79	0.0	0.0	0.0	0.0	0.0	44.34	0.0	0.0	0.0	4.55	0.0	8.7	0.61	2.97
Impdh1	0.0	0.0	0.13	0.0	14.12	0.07	0.0	0.16	0.0	10.12	0.0	32.42	0.0	0.0	0.0	0.0	62.31	96.1	30.93	0.0	0.0	5.97	17.07	2.86	5.02	4.77
Ints2	0.0	0.0	0.0	0.0	0.03	0.0	0.0	1.26	0.0	0.0	0.03	0.07	0.0	0.0	0.0	0.0	8.95	3.45	0.0	0.0	2.05	10.82	0.74	5.68	3.27	3.13
Ip6k2	0.0	0.35	30.96	4.51	1.24	19.49	0.0	20.61	0.0	0.0	0.56	0.0	0.0	19.36	13.13	0.0	19.72	51.95	0.0	24.47	7.57	11.81	11.64	11.62	9.06	8.57
Kifc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.13
Klc1	34.44	0.0	3.71	84.2	37.16	31.02	188.02	30.64	47.99	148.81	21.51	10.27	49.25	7.0	8.03	19.96	26.15	143.93	3.95	4.03	44.39	67.25	42.28	15.84	37.22	39.48
Ksr2	0.0	0.0	0.05	0.0	0.03	0.0	0.0	0.0	0.0	0.0	5.09	0.0	0.0	0.0	17.27	0.0	1.61	12.65	0.0	0.0	0.19	0.65	0.68	0.14	0.28	0.06
Lif	0.0	0.0	0.0	0.15	0.0	0.03	0.0	0.0	0.0	0.11	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0
Lmtk3	0.0	0.0	0.02	0.0	0.08	0.51	0.0	0.0	0.0	0.0	0.37	0.02	0.0	0.0	0.0	0.0	0.14	0.54	0.0	0.0	0.06	0.0	0.3	0.24	0.14	0.07
Lsm1	2.61	0.0	0.0	0.0	33.87	17.95	0.0	0.0	7.86	67.42	0.0	0.07	0.0	11.77	0.0	0.0	40.23	51.93	0.0	68.64	33.67	16.35	22.67	2.79	14.34	12.4
Mark1	4.99	0.0	1.29	0.0	0.37	57.4	0.0	19.15	0.07	17.21	5.64	0.1	0.0	12.18	2.38	19.97	0.85	69.29	17.85	0.0	13.09	7.72	2.03	11.4	8.82	13.95
Mfsd10	0.0	0.0	0.06	0.3	0.52	93.57	0.0	0.0	0.0	0.0	1.29	0.19	0.0	0.0	0.0	0.0	0.06	27.24	0.0	0.0	5.64	7.3	2.6	3.47	4.76	9.41
Mib1	0.2	0.0	0.03	0.0	9.67	0.39	0.0	0.0	0.0	0.22	1.35	0.25	2.67	0.0	0.0	0.0	15.9	5.52	0.0	0.0	4.32	4.66	1.49	2.58	2.44	3.64
Morc2a	0.0	0.0	0.05	203.71	0.0	0.0	0.0	0.0	0.08	0.0	43.48	0.0	0.18	0.0	0.0	0.0	55.8	37.55	0.0	0.0	5.86	6.63	11.58	5.83	5.02	3.35
Morn4	0.0	0.0	51.5	476.2	0.1	86.52	127.7	0.0	18.71	0.0	71.25	106.28	0.0	0.0	0.0	187.79	15.62	80.13	0.0	0.0	74.67	37.54	65.43	76.59	77.97	75.01
Mudeng	10.62	77.32	4.34	0.0	62.23	6.78	6.25	0.0	0.0	1.48	4.38	0.0	103.95	0.0	0.0	0.0	0.04	124.54	0.0	0.0	31.54	33.83	15.94	30.94	18.38	18.49
Mum1	0.23	0.24	3.83	9.27	15.03	1.47	12.71	0.22	0.21	0.78	38.34	0.17	0.0	14.53	0.22	0.42	144.97	62.06	1.01	27.14	30.5	7.8	7.59	5.42	3.51	11.55
Mynn	0.0	0.0	0.02	0.0	0.05	0.04	0.0	0.0	0.0	0.0	0.22	0.0	0.0	5.95	0.0	0.0	1.77	9.16	0.0	0.0	13.3	8.9	3.42	16.54	6.5	8.13
Naga	0.0	0.0	0.05	0.0	0.1	0.09	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	37.84	48.77	0.0	0.0	10.13	35.88	26.7	16.69	26.51	14.84
Nat9	0.0	0.0	0.37	0.0	0.0	151.29	0.0	2.89	156.22	0.39	0.0	0.0	0.0	1.26	0.0	240.39	1.23	183.52	40.15	0.0	35.62	23.85	29.31	37.61	34.83	26.63
Nipal3	0.0	0.0	0.04	0.0	10.88	5.53	0.0	0.0	0.07	29.9	4.44	0.02	0.0	0.0	0.0	0.0	0.0	20.14	0.0	0.0	17.67	3.5	18.53	10.35	15.12	13.0
Npff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.62	0.0	0.0	0.0	0.0	0.0	36.93	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0
Nr1h3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.07	0.0	0.0	0.0	0.0	0.0	88.36	0.0	0.0	6.9	1.93	0.0	7.2	11.59	7.6
Pnp2	0.0	0.0	1.02	3.68	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.73	0.0	0.0	0.0	0.0	0.41	0.0	0.0	1.15
Pold4	0.0	0.0	142.49	0.0	85.31	83.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.91	0.0	0.0	0.0	54.62	0.0	0.0	0.0	17.09	10.75	11.62	6.3	9.94
Pon2	0.0	0.0	0.17	0.0	0.31	0.0	0.0	0.0	0.0	0.23	0.0	0.48	0.0	0.0	0.0	0.52	0.0	0.35	0.33	0.0	0.0	0.0	0.0	0.0	2.26	2.09
Prkcc	0.0	0.0	0.04	0.0	0.07	0.12	0.0	0.0	0.0	0.0	65.9	0.0	91.76	0.0	1.1	0.0	0.08	67.44	0.0	0.0	219.56	209.75	149.97	197.02	237.03	205.52
Rab8b	0.0	0.56	1.55	1.78	84.67	0.33	2.86	65.51	0.37	1.4	0.28	12.24	2.17	0.72	11.27	3.79	45.71	83.52	0.07	2.4	23.27	14.34	13.36	32.33	17.06	14.18
Rdx	0.0	114.8	0.02	36.48	45.98	0.0	0.0	0.0	0.0	7.28	0.06	89.28	0.22	0.0	0.0	3.65	32.19	48.43	1.55	0.0	1.65	17.42	9.96	20.13	15.03	10.9
Rufy3	205.9	197.02	271.48	78.64	225.86	189.79	0.0	87.78	343.29	125.36	168.45	88.96	89.35	97.87	135.56	73.93	347.32	415.07	72.17	53.48	193.26	176.41	134.99	149.34	137.59	150.7
Sart1	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.06	0.0	0.0	3.63	0.14	0.0	0.0	0.0	0.0	0.07	8.0	0.0	0.0	4.61	0.39	5.81	1.8	2.88	2.01
Shkbp1	0.0	0.0	0.35	0.0	0.0	0.14	0.0	0.0	0.71	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	69.38	3.39	0.0	0.0	0.25	0.0	0.38	0.0	1.34
Slc17a7	34.09	34.63	17.16	34.22	54.17	58.78	17.47	31.16	18.24	127.1	19.8	17.21	0.53	38.32	39.62	6.44	36.94	53.98	13.47	11.18	38.24	38.58	18.34	20.06	39.4	44.22
Slc4a7	0.21	0.0	0.01	0.22	0.0	0.41	0.0	0.05	0.0	9.62	0.12	2.01	0.0	0.0	0.0	0.0	0.02	5.17	0.0	0.0	7.65	5.94	2.0	4.42	2.67	2.74
Snap25	26182.83	20388.22	24880.43	25194.29	24000.2	21827.11	22188.29	24648.02	18757.51	22891.51	21740.03	21362.22	23051.34	22470.57	21696.22	25542.47	22725.47	14136.07	19363.42	20672.41	17485.78	15823.69	16180.38	20846.74	19146.26	18964.09
Snhg4	0.0	0.0	0.09	0.0	242.38	0.0	0.0	166.74	0.0	104.65	5.91	0.07	0.0	101.01	78.08	0.0	0.0	54.84	0.0	0.0	43.81	37.27	19.46	35.02	30.19	26.43
Spata17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.92	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0
St6galnac4	0.0	0.0	0.06	0.14	0.04	0.09	0.0	0.0	0.0	0.49	0.44	0.02	0.0	0.0	0.0	0.0	0.03	8.64	0.16	0.0	3.69	2.62	2.18	4.64	5.53	3.56
Stox1	0.0	0.0	0.0	0.0	0.06	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.14	0.0	0.0	3.18	1.84	4.7	1.73	1.0	2.34
Tapbpl	15.31	13.54	18.38	53.9	25.44	16.37	25.56	14.39	13.88	14.41	99.98	5.46	8.39	136.09	6.54	192.04	3.92	147.11	9.74	21.64	26.75	33.86	19.97	27.16	19.66	13.42
Tdp2	0.0	0.0	0.15	0.0	79.82	6.82	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.96	1.1	0.0	8.26	14.34	7.81	11.42	6.49	8.68
Tnpo2	35.11	0.13	0.0	4.24	16.03	10.21	9.08	0.08	0.48	0.17	31.89	25.72	3.27	5.76	5.38	0.0	27.82	35.58	0.0	12.76	9.47	14.72	5.07	4.43	4.2	4.6
Tsen2	0.0	0.0	0.12	0.0	123.62	0.0	0.0	93.78	0.0	0.0	0.0	2.85	0.0	0.39	0.0	0.0	0.0	151.96	0.0	0.0	51.34	43.05	38.73	45.62	52.21	43.38
Ttll4	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	9.03	0.0	0.5	4.9	0.27	1.67	0.14	0.48	0.65
Wasf3	0.0	0.0	0.57	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.38	21.28	0.0	0.79	10.62	4.38	7.27	4.11	8.46	4.4
Wdsub1	0.36	0.0	0.24	0.0	1.58	0.0	0.73	0.0	0.0	0.0	0.05	2.06	0.0	1.0	0.0	0.0	0.0	37.41	0.0	0.0	7.26	6.49	0.12	6.46	2.98	4.01
Zfp191	0.0	0.0	50.81	102.3	0.0	5.86	0.0	0.13	3.86	0.0	0.0	0.03	0.0	109.68	0.0	0.91	0.0	136.71	0.0	0.0	23.91	2.56	23.61	30.86	20.91	27.24
Zfp449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.88	0.02	0.0	0.0	0.26	0.0	0.0	67.47	0.0	0.0	0.0	5.26	0.2	14.68	5.58	6.74
mt_AK131587	183.25	191.2	234.25	282.11	303.59	314.64	73.82	344.34	219.87	293.29	416.63	271.01	249.84	266.5	366.29	134.71	504.3	496.17	231.88	260.84	314.14	332.28	321.24	566.1	350.18	393.71
mt_AK136262	12.47	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.76	0.0	0.06	0.0	0.0	0.23	0.0	0.0	0.0	210.2	12.15	50.19	8.22	0.19	1.6
mt_AK142003	12.47	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.76	0.0	0.06	0.0	0.0	0.23	0.0	0.0	0.0	210.2	12.15	50.19	8.22	0.19	1.6
mt_AK166798	12.47	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.76	0.0	0.06	0.0	0.0	0.23	0.0	0.0	0.0	210.2	12.15	50.19	8.22	0.19	1.6
