	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110054O05Rik	0.0	0.19	0.14	56.93	0.39	0.01	2.11	0.12	0.0	0.36	0.0	0.27	11.9	0.0	0.0	3.07	0.04	1.76	2.59	0.0	0.26	0.0	0.18	2.47	41.79	8.75	2.25	0.05	3.74	0.14	2.06	0.37	3.38	0.14	9.27	8.72	15.05	13.57	14.75
1700029I01Rik	0.17	0.48	0.22	38.05	0.0	0.04	0.0	0.0	0.09	1.07	0.0	0.0	0.06	0.0	0.0	36.72	0.13	0.37	0.0	0.14	1.51	0.0	0.0	0.0	0.15	0.65	0.13	0.0	0.07	0.35	0.0	0.0	0.0	0.07	5.51	0.81	1.95	1.62	2.06
2900008C10Rik	1.14	0.0	0.0	29.92	46.87	0.0	13.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.99	0.0	0.0	0.0	2.26	4.86	18.34	0.0	0.0	0.0	0.0	0.0	0.0	2.92	1.57	8.02	7.17	8.43
4931406C07Rik	0.0	0.0	0.19	42.2	5.0	4.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.15	0.0	0.08	0.1	1.43	0.0	0.0	0.0	0.16	0.39	0.06	0.0	0.0	0.25	0.0	0.0	0.0	4.45	2.13	18.78	20.25	19.23
5830415F09Rik	0.0	53.7	0.0	93.76	0.0	0.0	0.0	0.0	73.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.88	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	0.0	10.35	0.0	15.77	13.14	3.71	4.46	3.24
6430527G18Rik	1.91	2.11	1.95	30.49	7.02	10.76	0.0	10.94	16.74	4.52	0.0	2.53	22.66	7.74	5.63	12.12	1.49	29.14	5.28	3.27	4.75	2.1	11.21	2.84	11.08	4.15	14.51	1.98	4.46	1.3	6.47	3.97	3.04	0.95	5.9	5.62	62.46	66.67	51.85
AI314180	2.75	2.14	1.06	80.48	51.73	0.1	0.0	0.0	0.0	76.28	35.11	0.0	35.7	0.04	2.14	0.02	0.03	4.61	12.31	21.31	16.35	45.33	0.0	1.15	17.2	4.32	15.84	6.85	46.72	25.7	15.22	2.16	7.97	25.02	24.78	16.17	52.59	46.66	49.63
AI429214	0.0	0.0	0.1	3.75	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.28	0.24	0.13	0.0	0.0	0.05	0.21	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.3	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	3.3	3.29	3.74
Ahcyl1	57.2	8.46	0.0	197.86	196.75	47.25	91.29	1.79	24.82	1.02	210.36	8.26	63.55	2.58	42.48	11.47	38.5	30.73	118.81	53.34	2.32	1.22	0.0	33.26	23.17	74.38	98.56	34.09	34.04	0.0	40.1	0.0	75.14	60.22	62.27	46.95	271.11	260.93	276.26
Aoc3	0.0	0.0	0.0	0.1	0.19	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.25	0.56	0.31
