	Gad2_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_57	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_17	Rbp4_tdTnegative_cell_20	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Sst_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_2
2310003L22Rik	0.0	201.37	0.0	0.29	0.0	0.0	36.92	23.09	0.0	0.0	0.0	0.0	0.2	50.78	33.31	35.14	34.06	21.03
Abhd14a	0.0	350.5	0.0	0.0	0.0	0.0	56.68	0.0	0.0	0.0	187.96	0.0	0.0	97.33	100.13	122.6	110.01	40.65
Arfip2	0.0	547.0	0.0	0.0	0.0	0.0	12.2	4.21	0.0	0.0	0.14	0.0	0.0	5.7	18.32	17.89	14.57	68.22
Ccl27b	0.0	694.81	0.0	0.26	0.0	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	62.2	61.27	76.52	71.98	28.29
Cd9	15429.87	0.0	7471.29	4955.41	4473.77	3694.1	0.0	11632.89	10696.69	6542.07	9452.06	7282.86	9120.27	0.0	3.61	2.08	52.14	70.99
Celf6	0.2	0.83	0.0	0.29	0.38	0.0	1.68	0.0	0.0	0.96	0.0	0.39	0.2	3.75	1.42	0.9	0.89	19.67
Cyc1	0.0	708.32	0.0	0.35	0.0	0.0	40.57	0.0	0.0	0.0	0.0	0.0	0.0	21.54	27.01	37.35	30.21	261.44
Dnm1	0.0	196.82	0.0	0.11	5.57	0.0	36.26	0.0	0.0	0.0	0.0	0.0	1.86	35.47	23.9	26.56	27.18	840.55
Edc4	0.0	441.86	0.0	0.0	0.0	0.0	22.33	120.69	0.0	0.06	0.0	0.0	0.0	7.85	15.85	7.93	6.89	42.06
Fdx1	0.0	121.43	0.0	0.0	0.0	0.0	3.78	0.0	0.0	0.0	0.0	0.0	0.0	3.01	5.46	2.94	4.23	21.14
Gm13306	0.0	694.81	0.0	0.26	0.0	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	62.2	61.27	76.52	71.98	28.29
Gm2506	0.0	694.81	0.0	0.26	0.0	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	62.2	61.27	76.52	71.98	28.29
Hsf5	0.0	55.73	0.0	0.0	0.0	0.0	12.61	0.0	0.0	0.0	0.0	0.0	0.0	5.77	6.84	1.97	8.95	0.29
Iqsec1	0.25	55.9	0.0	0.41	0.0	0.0	49.71	0.32	0.0	0.0	3.11	0.21	0.0	15.3	27.46	24.12	32.51	116.97
Kcnh1	0.0	0.17	0.0	0.06	0.0	0.0	4.63	0.05	0.0	0.0	0.07	0.0	0.0	4.35	7.42	5.29	12.44	42.25
Kctd6	0.0	230.69	0.0	0.0	0.0	0.0	53.88	0.0	0.0	0.0	0.29	0.0	0.0	7.14	15.8	13.34	4.92	45.76
Magi1	4.54	91.03	0.0	0.0	27.69	0.0	72.32	0.0	0.0	0.0	0.13	0.0	0.07	28.87	38.43	33.81	35.78	50.18
Mapk8ip2	0.0	147.06	0.0	0.11	0.0	0.0	10.19	0.0	0.0	0.0	0.13	0.0	0.0	18.39	15.1	12.48	17.68	206.07
Npat	1.99	73.87	0.0	1.03	0.0	0.0	9.57	2.61	0.0	0.0	0.89	0.0	0.0	5.73	5.37	7.16	5.22	10.73
Papolg	0.0	261.95	0.0	0.11	0.0	0.0	40.89	0.0	0.0	6.29	0.0	0.25	10.06	31.68	52.55	26.63	27.7	15.99
Pigf	0.0	94.21	0.0	0.0	0.0	10.1	98.44	0.0	0.0	0.0	0.21	3.04	0.0	53.23	57.29	54.58	43.92	19.87
Ptov1	0.0	17.48	0.0	0.65	0.0	0.0	4.3	3.32	0.0	0.0	3.3	0.0	0.29	6.89	3.84	6.09	6.52	154.59
Ralgapa1	0.0	69.12	0.0	0.05	0.0	0.0	39.74	3.24	0.0	0.04	0.12	0.0	0.0	7.48	21.12	16.62	18.16	58.81
Slc25a37	0.0	600.66	0.0	0.1	0.0	0.0	8.21	0.09	0.0	0.0	0.0	0.0	0.0	1.65	4.84	4.6	5.06	22.03
Tmem218	0.0	759.16	0.0	0.0	0.0	0.0	52.9	0.0	0.0	0.0	0.0	0.0	0.0	39.7	38.27	32.55	21.2	30.22
Utp15	0.0	1.71	0.0	0.0	0.0	0.0	17.81	2.4	0.89	0.0	0.23	0.0	0.1	17.1	14.99	9.09	13.3	20.09
