	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_68	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700040L02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.29	4.85	2.59	2.76	2.37	2.68
1700047I17Rik2	2.32	8.8	9.52	0.66	2.26	0.32	32.11	3.6	2.13	6.68	1.72	0.0	22.21	2.3	5.51	4.19	9.6	1.07	11.48	12.89	17.02	0.85	6.97	31.99	14.19	19.02	17.56	16.4	17.92
1700058G18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.9	0.0	1.22	0.0	0.85	0.31
2810454H06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.0	54.06	0.37	0.98	0.42	0.62	1.15
4930441O14Rik	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.32	0.0	0.0	61.6	0.0	0.0	0.0	0.0	0.0	0.0	58.65	2.76	7.34	2.75	2.62	2.62
Abcb9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.18	0.0	47.36	0.51	0.21	38.34	41.71	43.95
Acad12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.36	0.0	67.33	0.48	1.62	2.32	3.02	2.71
Acox1	50.8	66.94	64.94	45.19	32.11	2.43	75.27	0.25	11.11	44.44	0.0	0.0	71.34	74.67	35.1	59.44	16.25	11.74	0.23	3.29	48.39	124.71	63.18	130.91	49.69	45.06	135.88	133.83	132.15
Add1	6.63	0.18	22.35	91.17	30.13	34.57	105.84	5.75	130.12	45.79	0.0	0.0	89.16	73.13	42.03	28.63	19.69	2.33	0.0	76.87	3.59	22.84	0.92	59.18	55.33	75.73	265.4	270.28	268.92
Aff1	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.43	0.0	0.0	0.0	0.0	0.0	0.0	7.63	0.0	0.08	6.49	6.98	7.47
