	Ctgf_tdTpositive_cell_21	Htr3a_tdTpositive_cell_96	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_57	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_125	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_24	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190002F15Rik	14.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.67	0.0
1500002O10Rik	52.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.11	0.47
1700011E24Rik	2.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.0
2810459M11Rik	30.96	0.1	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	21.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.97	9.65	10.75
4930413E15Rik	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933404M02Rik	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.48	0.47
6430550D23Rik	0.95	0.0	0.07	0.0	0.0	0.23	0.22	0.45	0.0	0.0	0.5	0.23	0.0	0.0	0.0	0.3	0.0	0.16	0.0	0.0	0.9	0.0	0.44	0.0	0.19	0.28	0.0	0.0	0.16	1.39	1.24	1.44
9530048J24Rik	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0
Abcd4	57.62	0.47	0.45	0.43	0.68	0.62	0.14	0.58	1.8	0.03	0.71	0.93	0.94	7.91	0.1	0.28	0.0	0.84	0.62	1.12	0.67	0.66	0.41	0.72	0.52	1.08	0.38	0.28	0.41	10.68	13.07	12.71
Agpat6	116.67	84.1	0.03	2.67	9.63	2.44	0.0	40.25	0.0	0.0	10.59	41.64	0.0	3.45	21.82	0.0	39.85	34.11	5.5	0.0	20.4	49.6	0.0	0.0	13.95	53.88	24.12	50.38	9.42	59.42	61.46	58.92
Alx4	0.82	0.0	0.22	0.25	0.49	0.37	0.99	0.31	0.19	0.54	0.6	0.15	0.18	0.26	0.1	0.22	0.17	0.58	0.21	0.46	0.31	0.0	0.12	0.25	0.16	0.1	0.17	0.33	0.46	1.44	0.95	1.11
Aoc2	66.57	1.4	2.24	37.58	2.17	7.83	2.52	23.77	2.77	1.1	7.73	1.09	4.65	1.77	2.64	2.71	4.32	4.67	3.06	48.47	2.27	2.08	4.43	6.12	2.49	3.65	2.6	3.32	3.01	6.34	6.29	6.25
BC037032	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.46	0.67
BC064078	12.55	1.23	0.48	0.0	2.25	0.0	0.0	4.52	0.0	0.0	0.0	0.0	1.84	0.0	0.47	0.57	0.0	2.36	0.0	2.95	0.62	0.0	0.34	0.0	2.29	0.55	0.0	0.0	0.0	6.69	6.66	4.87
C2cd2	19.7	0.31	0.08	0.01	0.25	0.12	0.11	3.13	0.67	0.08	0.23	0.79	0.23	0.29	0.75	0.42	0.08	0.56	0.0	0.71	1.12	0.0	0.33	0.05	0.76	0.21	0.28	0.0	0.26	6.44	6.23	5.89
Cadm4	23.73	0.0	4.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	2.26	0.0	0.0	0.2	0.0	0.0	0.0	252.52	275.65	262.77
Cass4	13.87	0.0	0.04	0.07	0.24	0.0	0.12	0.94	0.11	0.0	0.18	0.09	0.14	0.0	0.33	0.27	0.08	0.31	0.08	0.65	0.17	0.47	0.37	0.07	0.24	0.4	0.0	0.0	0.33	2.32	1.59	2.18
