	Ctgf_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110018G07Rik	0.0	0.35	0.0	10.51	0.0	46.61	71.85	81.89	80.63	78.69
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700011F14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.09	0.19
1700023A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.16
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2010001M06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.52	8.12	6.52
2010005H15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.37	0.2
2310065F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.14	0.07
2400003C14Rik	0.0	0.25	0.0	42.69	0.0	100.22	0.59	77.32	80.72	75.83
4833403I15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.03
4930447K03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.28	0.2
4930455B14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.09
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
4933427I22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.21	0.73
5430405G05Rik	0.0	0.0	0.0	0.0	0.25	1.01	0.24	8.14	7.74	7.98
5830411N06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.03	0.07
5830432E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.45	0.28
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
9330111N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.07
Abcc9	0.43	0.36	1.06	0.0	0.22	0.07	0.28	3.33	3.27	4.07
Abhd16b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.06
Actn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1.04	0.76
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Adamts12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.22	0.19
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Angpt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	3.97	4.05
Ano7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.23	0.09
Atp2b1	0.0	74.68	0.0	41.06	20.49	57.1	66.07	296.03	263.29	297.77
Atxn7l1	0.0	0.13	0.0	75.32	66.51	45.19	3.14	29.08	28.02	27.32
B230119M05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.19	0.21
BC051537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.11	0.24
Barhl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.03
Bhlhe23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bnc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.39	0.27
Bpifb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05
Bsnd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Capn13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccdc154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Ccdc63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.24	0.09
Ccr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Cd209b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.41	0.11
Cd37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	4.47	4.99
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Clstn3	0.0	2.13	0.13	22.93	44.0	42.66	137.66	267.26	260.8	270.08
Cpa3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.07
Ctnna2	0.0	1.15	0.0	4.34	1.06	18.98	7.86	89.21	93.31	92.12
Cyp2c55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05
Cyth1	0.0	5.16	3.07	1.22	1.55	0.0	1.15	67.03	75.5	69.5
Dab1	0.0	68.68	0.0	20.94	35.02	0.0	1.21	56.31	51.9	51.74
Ddah2	0.0	0.0	0.0	1.84	0.0	0.0	0.0	12.99	16.69	13.27
Defb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.21	0.11
Dhrs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.15	0.08
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Dnmt3a	5.36	5.76	0.0	10.79	0.51	62.64	34.52	36.41	35.71	38.4
Dnmt3l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.12
Dppa1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.04	0.09
Dspp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Egr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.14	76.36	41.36
F630028O10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.17	0.07
Fam170b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.12
Fam83g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.08	0.02
Fchsd1	0.0	0.15	0.0	0.0	0.0	5.21	0.0	6.64	6.92	6.15
Fgfr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.24	0.03
Fkbp15	0.0	0.49	23.7	1.09	0.0	0.0	3.05	23.24	23.08	24.79
Fmo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
