	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_13	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_73	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_60	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_46	Scnn1a.Tg3_tdTpositive_cell_103	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Vip_tdTpositive_cell_70
2310003F16Rik	785.21	820.24	36.9	360.84	874.24	44.32	147.33	0.0	307.17	254.42	465.97	550.13	383.55	0.0	363.72	297.03	394.41	372.78	93.56	176.91	497.12	0.0	418.0	513.59	358.4	606.4	344.1	394.3	3.37	0.8	0.97	0.0	122.51	0.0	0.0	1.8	1050.62	332.78	332.78	393.78	105.85	125.89	140.16
Apc	70.08	0.33	0.02	0.03	75.23	0.04	70.27	0.0	31.53	60.83	37.57	26.94	53.69	0.53	117.91	30.14	0.0	15.65	49.0	0.0	53.44	119.59	2.87	68.0	59.75	55.45	28.72	5.1	0.0	0.0	0.0	0.0	23.98	0.0	0.0	0.0	60.26	37.53	11.07	95.56	43.88	0.0	10.38
Cacnb2	55.56	23.6	0.0	7.15	30.88	0.0	14.98	0.0	0.0	4.34	0.79	6.15	11.74	18.5	56.86	0.09	0.0	0.0	0.0	0.0	4.49	0.0	14.54	43.09	9.42	18.7	8.52	7.1	0.0	0.0	0.0	0.0	2.61	0.0	0.0	0.0	2.7	12.09	10.44	27.97	9.9	0.0	9.53
Cnr1	3376.11	878.95	635.78	5009.66	10009.06	631.53	14271.7	0.0	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	6746.03	17862.67	385.27	3106.57	19681.78	7913.61	1118.7	2642.59	17646.7	12520.63	22064.64	33041.05	0.08	0.08	0.0	0.0	1258.97	0.0	0.21	0.0	12766.46	14288.55	25768.68	16287.97	23267.78	1642.99	1764.01
Cntnap4	0.0	0.14	0.0	0.04	113.96	0.0	15.6	0.0	2.26	0.0	2.2	52.16	43.74	0.0	77.24	0.0	0.0	0.0	0.0	0.0	205.59	0.08	174.07	0.18	280.4	52.62	0.29	41.53	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	14.11	3.02	87.48	0.0	3.16	0.0	0.0
Cyp51	189.28	0.08	0.06	0.0	29.75	0.12	38.66	0.0	42.08	6.46	0.0	0.15	68.57	5.65	170.46	68.71	0.07	107.07	0.24	0.07	0.0	56.05	48.52	120.33	0.24	52.31	16.79	11.05	0.0	0.0	0.0	0.0	0.0	0.16	0.16	0.0	0.14	72.64	78.08	0.12	29.19	0.09	45.16
Dync1h1	78.78	35.24	2.76	10.89	22.82	0.28	37.89	0.0	28.4	20.41	24.1	33.4	31.12	0.0	42.45	5.12	14.59	0.22	22.23	0.03	77.8	3.67	52.98	108.76	52.91	12.84	18.87	25.17	1.8	0.0	0.0	0.0	1.13	0.09	0.0	9.51	25.0	16.5	2.13	0.18	43.05	0.0	18.14
Etl4	0.0	0.09	0.0	4.01	33.3	0.0	179.79	60.33	0.06	182.97	90.25	181.84	127.46	76.33	114.14	175.02	0.05	221.34	0.0	0.0	103.11	0.0	5.0	6.87	114.83	156.83	175.8	151.7	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	372.05	2.15	151.87	0.0	117.26	0.0	0.0
Galnt14	125.16	169.63	0.0	130.3	45.44	0.0	61.3	0.0	145.23	109.87	15.96	146.38	230.54	52.68	313.57	193.31	0.0	0.13	0.0	0.0	229.67	177.56	582.6	238.22	0.22	82.32	399.14	201.08	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	155.57	317.09	4.44	301.53	0.0	0.0
Gm14430	0.37	39.83	0.0	48.94	1.01	0.0	38.86	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	19.2	0.0	28.18	56.93	0.0	97.85	27.27	0.19	9.16	11.59	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	0.0	22.08	0.11	3.76	0.0	2.33
