	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_63	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_31	Rbp4_tdTpositive_cell_99	Rorb_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_11	Vip_tdTpositive_cell_20	CAV_LP_Ipsi_tdTpos_cell_11
1700025N23Rik	9.01	1.67	7.36	7.54	6.31	3.54	7.57	12.1	11.99	10.03	13.94	4.48	12.56	12.68	3.17	4.31	10.31	5.54	1.48	17.76	5.26	4.23	2.21	11.51	4.62	10.34
1700128F08Rik	39.02	30.73	37.65	27.16	14.28	15.17	41.98	49.99	26.27	43.75	83.73	17.27	64.19	34.59	10.7	15.42	27.57	31.28	5.17	47.01	13.31	49.39	21.06	49.88	60.61	93.1
2810021B07Rik	42.17	12.46	15.8	15.27	5.8	12.98	15.62	38.81	25.73	21.42	29.05	11.19	25.28	26.26	13.13	12.83	37.54	14.22	9.56	21.12	5.84	8.32	9.23	46.03	50.04	18.92
4833427F10Rik	9.26	4.19	3.89	3.9	1.26	1.52	1.77	7.88	3.32	4.01	6.31	0.0	9.59	3.47	1.41	0.99	5.38	4.91	2.37	4.64	5.28	2.78	1.23	7.75	2.19	3.14
4930511M06Rik	94.32	6.66	61.63	55.43	33.19	25.01	54.89	96.31	71.35	63.2	96.12	22.75	108.61	64.55	25.64	25.39	59.84	85.62	24.52	53.6	22.73	52.97	14.33	118.18	149.44	76.92
4932411L15	158.92	21.15	161.04	93.37	91.55	78.11	187.53	274.72	102.46	112.97	219.69	46.68	153.45	222.01	9.78	113.7	73.02	66.18	55.73	96.45	28.63	54.49	81.68	171.7	277.59	117.46
5430427O19Rik	5.8	2.57	1.49	3.45	2.0	1.26	3.15	2.91	2.79	3.62	9.18	0.77	7.13	4.83	1.23	2.08	4.84	2.57	1.86	3.25	0.51	2.78	0.08	5.9	7.86	8.41
5730412P04Rik	35.72	0.0	0.0	0.0	0.0	0.0	0.0	20.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5730577I03Rik	24.77	8.06	43.22	36.17	20.32	14.9	45.87	53.62	31.99	40.47	44.99	18.13	42.39	27.93	10.39	17.39	37.29	34.66	10.2	45.96	19.59	25.69	10.56	40.9	63.58	56.27
6030422M02Rik	77.37	23.37	50.54	38.56	20.72	18.51	37.84	55.21	54.31	50.69	62.12	24.34	69.65	52.6	12.58	36.6	32.69	49.29	15.66	55.51	8.9	20.31	14.44	79.45	83.86	55.18
